"paper_id","title","authors","year","venue","doi","url","dblp_id"
"doi:10.1145/3631529","Critical Data Backup with Hybrid Flash-Based Consumer Devices","Longfei Luo","2024","ACM-TACO","10.1145/3631529","https://doi.org/10.1145/3631529","journals/taco/LuoYLS24"
"doi:10.1145/3631527","DAG-Order: An Order-Based Dynamic DAG Scheduling for Real-Time Networks-on-Chip","Peng Chen","2024","ACM-TACO","10.1145/3631527","https://doi.org/10.1145/3631527","journals/taco/ChenCLLCG24"
"doi:10.1145/3631526","JiuJITsu: Removing Gadgets with Safe Register Allocation for JIT Code Generation","Zhang Jiang","2024","ACM-TACO","10.1145/3631526","https://doi.org/10.1145/3631526","journals/taco/JiangCGZWY24"
"doi:10.1145/3631709","Autovesk: Automatic Vectorized Code Generation from Unstructured Static Kernels Using Graph Transformations","Hayfa Tayeb","2024","ACM-TACO","10.1145/3631709","https://doi.org/10.1145/3631709","journals/taco/TayebPB24"
"doi:10.1145/3632956","Fast Convolution Meets Low Precision: Exploring Efficient Quantized Winograd Convolution on Modern CPUs","Xueying Wang","2024","ACM-TACO","10.1145/3632956","https://doi.org/10.1145/3632956","journals/taco/WangLJFW24"
"doi:10.1145/3632955","QoS-pro: A QoS-enhanced Transaction Processing Framework for Shared SSDs","Hao Fan","2024","ACM-TACO","10.1145/3632955","https://doi.org/10.1145/3632955","journals/taco/FanYIHLXWYSJ24"
"doi:10.1145/3632957","SAC: An Ultra-Efficient Spin-based Architecture for Compressed DNNs","Yunping Zhao","2024","ACM-TACO","10.1145/3632957","https://doi.org/10.1145/3632957","journals/taco/ZhaoMLHD24"
"doi:10.1145/3629525","Efficient Cross-platform Multiplexing of Hardware Performance Counters via Adaptive Grouping","Tong-Yu Liu","2024","ACM-TACO","10.1145/3629525","https://doi.org/10.1145/3629525","journals/taco/LiuGH24"
"doi:10.1145/3631525","QuCloud+: A Holistic Qubit Mapping Scheme for Single/Multi-programming on 2D/3D NISQ Quantum Computers","Lei Liu","2024","ACM-TACO","10.1145/3631525","https://doi.org/10.1145/3631525","journals/taco/LiuD24"
"doi:10.1145/3632952","Abakus: Accelerating k-mer Counting with Storage Technology","Lingxi Wu","2024","ACM-TACO","10.1145/3632952","https://doi.org/10.1145/3632952","journals/taco/WuZXVRS24"
"doi:10.1145/3632951","ISP Agent: A Generalized In-storage-processing Workload Offloading Framework by Providing Multiple Optimization Opportunities","Seokwon Kang","2024","ACM-TACO","10.1145/3632951","https://doi.org/10.1145/3632951","journals/taco/KangKLLSJSP24"
"doi:10.1145/3633331","COWS for High Performance: Cost Aware Work Stealing for Irregular Parallel Loop","Prasoon Mishra","2024","ACM-TACO","10.1145/3633331","https://doi.org/10.1145/3633331","journals/taco/MishraN24"
"doi:10.1145/3632954","Hardware-hardened Sandbox Enclaves for Trusted Serverless Computing","Joongun Park","2024","ACM-TACO","10.1145/3632954","https://doi.org/10.1145/3632954","journals/taco/ParkKLKPKH24"
