"paper_id","title","authors","year","venue","doi","url","dblp_id"
"doi:10.1145/3617232.3624864","Amanda: Unified Instrumentation Framework for Deep Neural Networks","Yue Guan","2024","ASPLOS","10.1145/3617232.3624864","https://doi.org/10.1145/3617232.3624864","conf/asplos/GuanQL0YLF0Z00L24"
"doi:10.1145/3617232.3624873","Automatic Generation of Vectorizing Compilers for Customizable Digital Signal Processors","Samuel Thomas","2024","ASPLOS","10.1145/3617232.3624873","https://doi.org/10.1145/3617232.3624873","conf/asplos/ThomasB24"
"doi:10.1145/3617232.3624854","BypassD: Enabling fast userspace access to shared SSDs","Sujay Yadalam","2024","ASPLOS","10.1145/3617232.3624854","https://doi.org/10.1145/3617232.3624854","conf/asplos/YadalamAKGS24"
"doi:10.1145/3617232.3624868","CC-NIC: a Cache-Coherent Interface to the NIC","Henry N. Schuh","2024","ASPLOS","10.1145/3617232.3624868","https://doi.org/10.1145/3617232.3624868","conf/asplos/SchuhKCLRKS24"
"doi:10.1145/3617232.3624865","Cocco: Hardware-Mapping Co-Exploration towards Memory Capacity-Communication Optimization","Zhanhong Tan","2024","ASPLOS","10.1145/3617232.3624865","https://doi.org/10.1145/3617232.3624865","conf/asplos/TanZM24"
"doi:10.1145/3617232.3624866","CodeCrunch: Improving Serverless Performance via Function Compression and Cost-Aware Warmup Location Optimization","Rohan Basu Roy","2024","ASPLOS","10.1145/3617232.3624866","https://doi.org/10.1145/3617232.3624866","conf/asplos/RoyP0T24"
"doi:10.1145/3617232.3624872","CrossPrefetch: Accelerating I/O Prefetching for Modern Storage","Shaleen Garg","2024","ASPLOS","10.1145/3617232.3624872","https://doi.org/10.1145/3617232.3624872","conf/asplos/GargZPPXK24"
"doi:10.1145/3617232.3624851","EagleEye: Nanosatellite constellation design for high-coverage, high-resolution sensing","Zhuo Cheng","2024","ASPLOS","10.1145/3617232.3624851","https://doi.org/10.1145/3617232.3624851","conf/asplos/ChengDML24"
"doi:10.1145/3617232.3624867","Everywhere All at Once: Co-Location Attacks on Public Cloud FaaS","Zirui Neil Zhao","2024","ASPLOS","10.1145/3617232.3624867","https://doi.org/10.1145/3617232.3624867","conf/asplos/Zhao0FT24"
"doi:10.1145/3617232.3624853","Expanding Datacenter Capacity with DVFS Boosting: A safe and scalable deployment experience","Leonardo Piga","2024","ASPLOS","10.1145/3617232.3624853","https://doi.org/10.1145/3617232.3624853","conf/asplos/PigaNSSDMCHDM24"
"doi:10.1145/3617232.3624860","Exploiting Human Color Discrimination for Memory- and Energy-Efficient Image Encoding in Virtual Reality","Nisarg Ujjainkar","2024","ASPLOS","10.1145/3617232.3624860","https://doi.org/10.1145/3617232.3624860","conf/asplos/UjjainkarSCDS024"
"doi:10.1145/3617232.3624859","Formal Mechanised Semantics of CHERI C: Capabilities, Undefined Behaviour, and Provenance","Vadim Zaliva","2024","ASPLOS","10.1145/3617232.3624859","https://doi.org/10.1145/3617232.3624859","conf/asplos/ZalivaMA0DRC0SW24"
"doi:10.1145/3617232.3624855","GPU-based Private Information Retrieval for On-Device Machine Learning Inference","Maximilian Lam","2024","ASPLOS","10.1145/3617232.3624855","https://doi.org/10.1145/3617232.3624855","conf/asplos/LamJ0MGLLLRLRW024"
"doi:10.1145/3617232.3624850","HIDA: A Hierarchical Dataflow Compiler for High-Level Synthesis","Hanchen Ye","2024","ASPLOS","10.1145/3617232.3624850","https://doi.org/10.1145/3617232.3624850","conf/asplos/YeJC24"
"doi:10.1145/3617232.3624862","Lightweight, Modular Verification for WebAssembly-to-Native Instruction Selection","Alexa VanHattum","2024","ASPLOS","10.1145/3617232.3624862","https://doi.org/10.1145/3617232.3624862","conf/asplos/VanHattumPFSB24"
"doi:10.1145/3617232.3624861","Loupe: Driving the Development of OS Compatibility Layers","Hugo Lefeuvre","2024","ASPLOS","10.1145/3617232.3624861","https://doi.org/10.1145/3617232.3624861","conf/asplos/LefeuvreGBDSRHO24"
"doi:10.1145/3617232.3624848","ngAP: Non-blocking Large-scale Automata Processing on GPUs","Tianao Ge","2024","ASPLOS","10.1145/3617232.3624848","https://doi.org/10.1145/3617232.3624848","conf/asplos/GeZ024"
"doi:10.1145/3617232.3624858","Optimizing Deep Learning Inference via Global Analysis and Tensor Expressions","Chunwei Xia","2024","ASPLOS","10.1145/3617232.3624858","https://doi.org/10.1145/3617232.3624858","conf/asplos/XiaZSWWYFC24"
"doi:10.1145/3617232.3624870","Performance-aware Scale Analysis with Reserve for Homomorphic Encryption","Yongwoo Lee","2024","ASPLOS","10.1145/3617232.3624870","https://doi.org/10.1145/3617232.3624870","conf/asplos/0001C0L024"
"doi:10.1145/3617232.3624849","Proteus: A High-Throughput Inference-Serving System with Accuracy Scaling","Sohaib Ahmad","2024","ASPLOS","10.1145/3617232.3624849","https://doi.org/10.1145/3617232.3624849","conf/asplos/AhmadGFWSW24"
"doi:10.1145/3617232.3624871","RainbowCake: Mitigating Cold-starts in Serverless with Layer-wise Container Caching and Sharing","Hanfei Yu","2024","ASPLOS","10.1145/3617232.3624871","https://doi.org/10.1145/3617232.3624871","conf/asplos/YuRFTLZWP24"
"doi:10.1145/3617232.3624857","Scaling Up Memory Disaggregated Applications with SMART","Feng Ren","2024","ASPLOS","10.1145/3617232.3624857","https://doi.org/10.1145/3617232.3624857","conf/asplos/RenZCXCW24"
