"paper_id","title","authors","year","venue","doi","url","dblp_id"
"doi:10.1145/3579990.3583093","PyTorch 2.0: The Journey to Bringing Compiler Technologies to the Core of PyTorch (Keynote)","Peng Wu","2023","CGO","10.1145/3579990.3583093","https://doi.org/10.1145/3579990.3583093","conf/cgo/Wu23"
"doi:10.1145/3579990.3580006","Code Generation for In-Place Stencils","Mohamed Essadki","2023","CGO","10.1145/3579990.3580006","https://doi.org/10.1145/3579990.3580006","conf/cgo/EssadkiMMZV023"
"doi:10.1145/3579990.3580024","To Pack or Not to Pack: A Generalized Packing Analysis and Transformation","Caio Salvador Rohwedder","2023","CGO","10.1145/3579990.3580024","https://doi.org/10.1145/3579990.3580024","conf/cgo/RohwedderHCCA23"
"doi:10.1145/3579990.3580021","Code Synthesis for Sparse Tensor Format Conversion and Optimization","Tobi Popoola","2023","CGO","10.1145/3579990.3580021","https://doi.org/10.1145/3579990.3580021","conf/cgo/PopoolaZGBSHO23"
"doi:10.1145/3579990.3580020","Looplets: A Language for Structured Coiteration","Willow Ahrens","2023","CGO","10.1145/3579990.3580020","https://doi.org/10.1145/3579990.3580020","conf/cgo/AhrensDKA23"
"doi:10.1145/3579990.3580007","Khaos: The Impact of Inter-procedural Code Obfuscation on Binary Diffing Techniques","Peihua Zhang","2023","CGO","10.1145/3579990.3580007","https://doi.org/10.1145/3579990.3580007","conf/cgo/Zhang0PZYLKWW23"
"doi:10.1145/3579990.3580008","Lifting Code Generation of Cardiac Physiology Simulation to Novel Compiler Technology","Arun Thangamani","2023","CGO","10.1145/3579990.3580008","https://doi.org/10.1145/3579990.3580008","conf/cgo/ThangamaniJLGB23"
"doi:10.1145/3579990.3580010","DJXPerf: Identifying Memory Inefficiencies via Object-Centric Profiling for Java","Bolun Li","2023","CGO","10.1145/3579990.3580010","https://doi.org/10.1145/3579990.3580010","conf/cgo/Li0CJ023"
"doi:10.1145/3579990.3580022","Fast Polynomial Evaluation for Correctly Rounded Elementary Functions using the RLIBM Approach","Mridul Aanjaneya","2023","CGO","10.1145/3579990.3580022","https://doi.org/10.1145/3579990.3580022","conf/cgo/AanjaneyaN23"
"doi:10.1145/3579990.3580012","A Game-Based Framework to Compare Program Classifiers and Evaders","Thaís Damásio","2023","CGO","10.1145/3579990.3580012","https://doi.org/10.1145/3579990.3580012","conf/cgo/DamasioCPBSP23"
"doi:10.1145/3579990.3580013","WARDen: Specializing Cache Coherence for High-Level Parallel Languages","Michael Wilkins","2023","CGO","10.1145/3579990.3580013","https://doi.org/10.1145/3579990.3580013","conf/cgo/WilkinsWKBSDCAD23"
"doi:10.1145/3579990.3580023","Compiling Functions onto Digital Microfluidics","Tyson Loveless","2023","CGO","10.1145/3579990.3580023","https://doi.org/10.1145/3579990.3580023","conf/cgo/LovelessB23"
"doi:10.1145/3579990.3580016","Fine-Tuning Data Structures for Query Processing","Amir Shaikhha","2023","CGO","10.1145/3579990.3580016","https://doi.org/10.1145/3579990.3580016","conf/cgo/ShaikhhaKG23"
"doi:10.1145/3579990.3580014","D2X: An eXtensible conteXtual Debugger for Modern DSLs","Ajay Brahmakshatriya","2023","CGO","10.1145/3579990.3580014","https://doi.org/10.1145/3579990.3580014","conf/cgo/Brahmakshatriya23"
"doi:10.1145/3579990.3580018","Bridging Control-Centric and Data-Centric Optimization","Tal Ben-Nun","2023","CGO","10.1145/3579990.3580018","https://doi.org/10.1145/3579990.3580018","conf/cgo/Ben-NunACH23"
"doi:10.1145/3579990.3580019","Parsimony: Enabling SIMD/Vector Programming in Standard Compiler Flows","Vijay Kandiah","2023","CGO","10.1145/3579990.3580019","https://doi.org/10.1145/3579990.3580019","conf/cgo/KandiahLVNH23"
"doi:10.1145/3579990.3580011","Program State Element Characterization","Enrico Armenio Deiana","2023","CGO","10.1145/3579990.3580011","https://doi.org/10.1145/3579990.3580011","conf/cgo/DeianaSWHMDDHC23"
"doi:10.1145/3579990.3580025","Flexer: Out-of-Order Scheduling for Multi-NPUs","Hyemi Min","2023","CGO","10.1145/3579990.3580025","https://doi.org/10.1145/3579990.3580025","conf/cgo/MinKE23"
"doi:10.1145/3579990.3580017","Pin or Fuse? Exploiting Scratchpad Memory to Reduce Off-Chip Data Transfer in DNN Accelerators","Hyuk-Jin Jeong","2023","CGO","10.1145/3579990.3580017","https://doi.org/10.1145/3579990.3580017","conf/cgo/JeongYBP23"
"doi:10.1145/3579990.3580015","Accelerating Deep Neural Networks on Mobile Multicore NPUs","Hanwoong Jung","2023","CGO","10.1145/3579990.3580015","https://doi.org/10.1145/3579990.3580015","conf/cgo/JungJPONPQFGNLK23"
"doi:10.1145/3579990.3580009","PIMFlow: Compiler and Runtime Support for CNN Models on Processing-in-Memory DRAM","Yongwon Shin","2023","CGO","10.1145/3579990.3580009","https://doi.org/10.1145/3579990.3580009","conf/cgo/ShinPCS23"
