"paper_id","title","authors","year","venue","doi","url","dblp_id"
"doi:10.1109/DAC63849.2025.11133339","LearnGraph: A Learning-Based Architecture for Dynamic Graph Processing","Lingling Zhang","2025","DAC","10.1109/DAC63849.2025.11133339","https://doi.org/10.1109/DAC63849.2025.11133339","conf/dac/ZhangWJZL25"
"doi:10.1109/DAC63849.2025.11133204","Simulation-based Parallel Sweeping: A New Perspective on Combinational Equivalence Checking","Tianji Liu","2025","DAC","10.1109/DAC63849.2025.11133204","https://doi.org/10.1109/DAC63849.2025.11133204","conf/dac/LiuY25"
"doi:10.1109/DAC63849.2025.11132096","All-in-Memory Stochastic Computing using ReRAM","João Paulo C. de Lima","2025","DAC","10.1109/DAC63849.2025.11132096","https://doi.org/10.1109/DAC63849.2025.11132096","conf/dac/LimaMACNK25"
"doi:10.1109/DAC63849.2025.11133064","Unlocking a New Rust Programming Experience: Fast and Slow Thinking with LLMs to Conquer Undefined Behaviors","Renshuang Jiang","2025","DAC","10.1109/DAC63849.2025.11133064","https://doi.org/10.1109/DAC63849.2025.11133064","conf/dac/JiangDDSFDMZJ25"
"doi:10.1109/DAC63849.2025.11133263","Scalable Community Detection Using Quantum Hamiltonian Descent and QUBO Formulation","Jinglei Cheng","2025","DAC","10.1109/DAC63849.2025.11133263","https://doi.org/10.1109/DAC63849.2025.11133263","conf/dac/ChengZGQL25"
"doi:10.1109/DAC63849.2025.11132391","Adora Compiler: End-to-End Optimization for High-Efficiency Dataflow Acceleration and Task Pipelining on CGRAs","Jiahang Lou","2025","DAC","10.1109/DAC63849.2025.11132391","https://doi.org/10.1109/DAC63849.2025.11132391","conf/dac/LouZDZYW25"
"doi:10.1109/DAC63849.2025.11132533","From Flatland to Forest: Exploring Pareto-optimal Design through RTL Hierarchy Trees","Donger Luo","2025","DAC","10.1109/DAC63849.2025.11132533","https://doi.org/10.1109/DAC63849.2025.11132533","conf/dac/LuoSLZYG25"
"doi:10.1109/DAC63849.2025.11133309","Weighted Range-Constrained Ising-Model Decoder for Quantum Error Correction","Xinyi Guo","2025","DAC","10.1109/DAC63849.2025.11133309","https://doi.org/10.1109/DAC63849.2025.11133309","conf/dac/GuoAS25"
"doi:10.1109/DAC63849.2025.11133067","Can Short Hypervectors Drive Feature-Rich GNNs? Strengthening the Graph Representation of Hyperdimensional Computing for Memory-efficient GNNs","Jihe Wang","2025","DAC","10.1109/DAC63849.2025.11133067","https://doi.org/10.1109/DAC63849.2025.11133067","conf/dac/WangHW25"
"doi:10.1109/DAC63849.2025.11132989","Finding the Pareto Frontier of Low-Precision Data Formats and MAC Architecture for LLM Inference","Brian Crafton","2025","DAC","10.1109/DAC63849.2025.11132989","https://doi.org/10.1109/DAC63849.2025.11132989","conf/dac/CraftonPSLZKA25"
"doi:10.1109/DAC63849.2025.11132572","ESM: A Framework for Building Effective Surrogate Models for Hardware-Aware Neural Architecture Search","Azaz-Ur-Rehman Nasir","2025","DAC","10.1109/DAC63849.2025.11132572","https://doi.org/10.1109/DAC63849.2025.11132572","conf/dac/NasirSHS25"
"doi:10.1109/DAC63849.2025.11132674","RE3: Finding Refinement Relations with Relational Mapping Abstraction","You Li","2025","DAC","10.1109/DAC63849.2025.11132674","https://doi.org/10.1109/DAC63849.2025.11132674","conf/dac/LiZHZ25"
"doi:10.1109/DAC63849.2025.11132682","TetrisLock: Quantum Circuit Split Compilation with Interlocking Patterns","Qian Wang","2025","DAC","10.1109/DAC63849.2025.11132682","https://doi.org/10.1109/DAC63849.2025.11132682","conf/dac/WangJDL25"
"doi:10.1109/DAC63849.2025.11133278","Truly Pre-Routing Timing Prediction via Considering Power Delivery Network","Yuyang Ye","2025","DAC","10.1109/DAC63849.2025.11133278","https://doi.org/10.1109/DAC63849.2025.11133278","conf/dac/YeHRZCYS25"
"doi:10.1109/DAC63849.2025.11133396","Construction of DAG Models for Autonomous Systems","Jing Huang","2025","DAC","10.1109/DAC63849.2025.11133396","https://doi.org/10.1109/DAC63849.2025.11133396","conf/dac/HuangJWLC25"
