"paper_id","title","authors","year","venue","doi","url","dblp_id"
"doi:10.23919/DATE56975.2023.10136887","AI-Based Detection of Droplets and Bubbles in Digital Microfluidic Biochips","Jianan Xu","2023","DATE","10.23919/DATE56975.2023.10136887","https://doi.org/10.23919/DATE56975.2023.10136887","conf/date/XuFMTP23"
"doi:10.23919/DATE56975.2023.10136888","Warm-Boot Attack on Modern DRAMs","Yichen Jiang","2023","DATE","10.23919/DATE56975.2023.10136888","https://doi.org/10.23919/DATE56975.2023.10136888","conf/date/JiangWFJ23"
"doi:10.23919/DATE56975.2023.10136889","Rethinking NPN Classification from Face and Point Characteristics of Boolean Functions","Jiaxi Zhang","2023","DATE","10.23919/DATE56975.2023.10136889","https://doi.org/10.23919/DATE56975.2023.10136889","conf/date/ZhangZNLL23"
"doi:10.23919/DATE56975.2023.10136890","Polyglot Modal Models through Lingua Franca","Alexander Schulz-Rosengarten","2023","DATE","10.23919/DATE56975.2023.10136890","https://doi.org/10.23919/DATE56975.2023.10136890","conf/date/SchulzRosengartenHLBL23"
"doi:10.23919/DATE56975.2023.10136891","Split Additive Manufacturing for Printed Neuromorphic Circuits","Haibin Zhao","2023","DATE","10.23919/DATE56975.2023.10136891","https://doi.org/10.23919/DATE56975.2023.10136891","conf/date/ZhaoHBT23"
"doi:10.23919/DATE56975.2023.10136894","MA-Opt: Reinforcement Learning-based Analog Circuit Optimization using Multi-Actors","Youngchang Choi","2023","DATE","10.23919/DATE56975.2023.10136894","https://doi.org/10.23919/DATE56975.2023.10136894","conf/date/ChoiCLK23"
"doi:10.23919/DATE56975.2023.10136895","Thermal Management for S-NUCA Many-Cores via Synchronous Thread Rotations","Yixian Shen","2023","DATE","10.23919/DATE56975.2023.10136895","https://doi.org/10.23919/DATE56975.2023.10136895","conf/date/ShenNPP23"
"doi:10.23919/DATE56975.2023.10136899","Analysis of Quantization Across DNN Accelerator Architecture Paradigms","Tom Glint","2023","DATE","10.23919/DATE56975.2023.10136899","https://doi.org/10.23919/DATE56975.2023.10136899","conf/date/GlintJAM23"
"doi:10.23919/DATE56975.2023.10136901","FSL-HD: Accelerating Few-Shot Learning on ReRAM using Hyperdimensional Computing","Weihong Xu","2023","DATE","10.23919/DATE56975.2023.10136901","https://doi.org/10.23919/DATE56975.2023.10136901","conf/date/XuKR23"
"doi:10.23919/DATE56975.2023.10136902","Smart Knowledge Transfer-based Runtime Power Management","Lin Chen","2023","DATE","10.23919/DATE56975.2023.10136902","https://doi.org/10.23919/DATE56975.2023.10136902","conf/date/ChenLJLX23"
"doi:10.23919/DATE56975.2023.10136903","Attacking ReRAM-based Architectures using Repeated Writes","Biresh Kumar Joardar","2023","DATE","10.23919/DATE56975.2023.10136903","https://doi.org/10.23919/DATE56975.2023.10136903","conf/date/JoardarC23"
"doi:10.23919/DATE56975.2023.10136904","High-Level Synthesis versus Hardware Construction","Alexander Kamkin","2023","DATE","10.23919/DATE56975.2023.10136904","https://doi.org/10.23919/DATE56975.2023.10136904","conf/date/KamkinCLSG23"
"doi:10.23919/DATE56975.2023.10136907","Using High-Level Synthesis to model System Verilog procedural timing controls","Luca Ezio Pozzoni","2023","DATE","10.23919/DATE56975.2023.10136907","https://doi.org/10.23919/DATE56975.2023.10136907","conf/date/PozzoniFMPP23"
"doi:10.23919/DATE56975.2023.10136908","TPP: Accelerate Application Launch via Two-Phase Prefetching on Smartphone","Ying Yuan","2023","DATE","10.23919/DATE56975.2023.10136908","https://doi.org/10.23919/DATE56975.2023.10136908","conf/date/YuanTWYQWL23"
"doi:10.23919/DATE56975.2023.10136909","MemPool Meets Systolic: Flexible Systolic Computation in a Large Shared-Memory Processor Cluster","Samuel Riedel","2023","DATE","10.23919/DATE56975.2023.10136909","https://doi.org/10.23919/DATE56975.2023.10136909","conf/date/RiedelKMCAB23"
"doi:10.23919/DATE56975.2023.10136910","Autonomy-driven Emerging Directions in Software-defined Vehicles","Unmesh D. Bordoloi","2023","DATE","10.23919/DATE56975.2023.10136910","https://doi.org/10.23919/DATE56975.2023.10136910","conf/date/BordoloiCJJRR23"
"doi:10.23919/DATE56975.2023.10136911","Bitstream- Level Interconnect Fault Characterization for SRAM-based FPGAs","Christian Fibich","2023","DATE","10.23919/DATE56975.2023.10136911","https://doi.org/10.23919/DATE56975.2023.10136911","conf/date/FibichHO23"
"doi:10.23919/DATE56975.2023.10136912","Data Freshness Optimization on Networked Intermittent Systems","Hao-Jan Huang","2023","DATE","10.23919/DATE56975.2023.10136912","https://doi.org/10.23919/DATE56975.2023.10136912","conf/date/HuangLTWC23"
