"paper_id","title","authors","year","venue","doi","url","dblp_id"
"doi:10.1145/3627703.3650063","WiseGraph: Optimizing GNN with Joint Workload Partition of Graph and Operations","Kezhao Huang","2024","EuroSys","10.1145/3627703.3650063","https://doi.org/10.1145/3627703.3650063","conf/eurosys/HuangZ0WJZZZYS24"
"doi:10.1145/3627703.3629571","Core Graph: Exploiting Edge Centrality to Speedup the Evaluation of Iterative Graph Queries","Xiaolin Jiang","2024","EuroSys","10.1145/3627703.3629571","https://doi.org/10.1145/3627703.3629571","conf/eurosys/0002A0A024"
"doi:10.1145/3627703.3650076","LSGraph: A Locality-centric High-performance Streaming Graph Engine","Hao Qi","2024","EuroSys","10.1145/3627703.3650076","https://doi.org/10.1145/3627703.3650076","conf/eurosys/QiWHZLC0Z024"
"doi:10.1145/3627703.3629589","Contigra: Graph Mining with Containment Constraints","Joanna Che","2024","EuroSys","10.1145/3627703.3629589","https://doi.org/10.1145/3627703.3629589","conf/eurosys/CheJV24"
"doi:10.1145/3627703.3650062","Halflife: An Adaptive Flowlet-based Load Balancer with Fading Timeout in Data Center Networks","Sen Liu","2024","EuroSys","10.1145/3627703.3650062","https://doi.org/10.1145/3627703.3650062","conf/eurosys/LiuGCYXLYTS0024"
"doi:10.1145/3627703.3629564","Hoda: a High-performance Open vSwitch Dataplane with Multiple Specialized Data Paths","Heng Pan","2024","EuroSys","10.1145/3627703.3629564","https://doi.org/10.1145/3627703.3629564","conf/eurosys/PanHLZWZDZX24"
"doi:10.1145/3627703.3650069","Astraea: Towards Fair and Efficient Learning-based Congestion Control","Xudong Liao","2024","EuroSys","10.1145/3627703.3650069","https://doi.org/10.1145/3627703.3650069","conf/eurosys/LiaoTZW024"
"doi:10.1145/3627703.3629574","Unison: A Parallel-Efficient and User-Transparent Network Simulation Kernel","Songyuan Bai","2024","EuroSys","10.1145/3627703.3629574","https://doi.org/10.1145/3627703.3629574","conf/eurosys/BaiZ00LJXXDC24"
"doi:10.1145/3627703.3629568","Serialization/Deserialization-free State Transfer in Serverless Workflows","Fangming Lu","2024","EuroSys","10.1145/3627703.3629568","https://doi.org/10.1145/3627703.3629568","conf/eurosys/LuWH0W024"
"doi:10.1145/3627703.3650086","Occam: A Programming System for Reliable Network Management","Jiarong Xing","2024","EuroSys","10.1145/3627703.3650086","https://doi.org/10.1145/3627703.3650086","conf/eurosys/XingHXCLZC24"
"doi:10.1145/3627703.3629554","Aceso: Efficient Parallel DNN Training through Iterative Bottleneck Alleviation","Guodong Liu","2024","EuroSys","10.1145/3627703.3629554","https://doi.org/10.1145/3627703.3629554","conf/eurosys/LiuMLSMYBW24"
"doi:10.1145/3627703.3629575","Totoro: A Scalable Federated Learning Engine for the Edge","Cheng-Wei Ching","2024","EuroSys","10.1145/3627703.3629575","https://doi.org/10.1145/3627703.3629575","conf/eurosys/ChingCKJWSH24"
"doi:10.1145/3627703.3650081","FLOAT: Federated Learning Optimizations with Automated Tuning","Ahmad Faraz Khan","2024","EuroSys","10.1145/3627703.3650081","https://doi.org/10.1145/3627703.3650081","conf/eurosys/KhanKAFB024"
"doi:10.1145/3627703.3650082","DeTA: Minimizing Data Leaks in Federated Learning via Decentralized and Trustworthy Aggregation","Pau-Chen Cheng","2024","EuroSys","10.1145/3627703.3650082","https://doi.org/10.1145/3627703.3650082","conf/eurosys/ChengEGJJVV24"
"doi:10.1145/3627703.3650083","ScheMoE: An Extensible Mixture-of-Experts Distributed Training System with Tasks Scheduling","Shaohuai Shi","2024","EuroSys","10.1145/3627703.3650083","https://doi.org/10.1145/3627703.3650083","conf/eurosys/ShiPWLRHYLC24"
"doi:10.1145/3627703.3650073","Dashing and Star: Byzantine Fault Tolerance with Weak Certificates","Sisi Duan","2024","EuroSys","10.1145/3627703.3650073","https://doi.org/10.1145/3627703.3650073","conf/eurosys/DuanZSHMDW24"
"doi:10.1145/3627703.3650091","Bandle: Asynchronous State Machine Replication Made Efficient","Bo Wang","2024","EuroSys","10.1145/3627703.3650091","https://doi.org/10.1145/3627703.3650091","conf/eurosys/WangLDW0ZZ024"
"doi:10.1145/3627703.3629579","Characterization and Reclamation of Frozen Garbage in Managed FaaS Workloads","Ziming Zhao","2024","EuroSys","10.1145/3627703.3629579","https://doi.org/10.1145/3627703.3629579","conf/eurosys/0003W0Z24"
"doi:10.1145/3627703.3629556","Pronghorn: Effective Checkpoint Orchestration for Serverless Hot-Starts","Sumer Kohli","2024","EuroSys","10.1145/3627703.3629556","https://doi.org/10.1145/3627703.3629556","conf/eurosys/KohliKBC024"
"doi:10.1145/3627703.3650064","Improving Resource and Energy Efficiency for Cloud 3D through Excessive Rendering Reduction","Tianyi Liu","2024","EuroSys","10.1145/3627703.3650064","https://doi.org/10.1145/3627703.3650064","conf/eurosys/LiuL0LW024"
"doi:10.1145/3627703.3650060","Draconis: Network-Accelerated Scheduling for Microsecond-Scale Workloads","Sreeharsha Udayashankar","2024","EuroSys","10.1145/3627703.3650060","https://doi.org/10.1145/3627703.3650060","conf/eurosys/UdayashankarAMA24"
"doi:10.1145/3627703.3629577","Snatch: Online Streaming Analytics at the Network Edge","Yunming Xiao","2024","EuroSys","10.1145/3627703.3629577","https://doi.org/10.1145/3627703.3629577","conf/eurosys/XiaoZLK24"
"doi:10.1145/3627703.3629558","Blaze: Holistic Caching for Iterative Data Processing","Won Wook Song","2024","EuroSys","10.1145/3627703.3629558","https://doi.org/10.1145/3627703.3629558","conf/eurosys/SongEUJC24"
"doi:10.1145/3627703.3650066","TTLs Matter: Efficient Cache Sizing with TTL-Aware Miss Ratio Curves and Working Set Sizes","Sari Sultan","2024","EuroSys","10.1145/3627703.3650066","https://doi.org/10.1145/3627703.3650066","conf/eurosys/SultanSLCS24"
"doi:10.1145/3627703.3650072","Trinity: A Fast Compressed Multi-attribute Data Store","Ziming Mao","2024","EuroSys","10.1145/3627703.3650072","https://doi.org/10.1145/3627703.3650072","conf/eurosys/MaoSK24"
"doi:10.1145/3627703.3650078","FLOWS: Balanced MRC Profiling for Heterogeneous Object-Size Cache","Xiaojun Guo","2024","EuroSys","10.1145/3627703.3650078","https://doi.org/10.1145/3627703.3650078","conf/eurosys/GuoWZJHX24"
"doi:10.1145/3627703.3629582","CCL-BTree: A Crash-Consistent Locality-Aware B+-Tree for Reducing XPBuffer-Induced Write Amplification in Persistent Memory","Zhenxin Li","2024","EuroSys","10.1145/3627703.3629582","https://doi.org/10.1145/3627703.3629582","conf/eurosys/LiHDHZWW24"
"doi:10.1145/3627703.3629590","Wormhole Filters: Caching Your Hash on Persistent Memory","Hancheng Wang","2024","EuroSys","10.1145/3627703.3629590","https://doi.org/10.1145/3627703.3629590","conf/eurosys/WangDGL0DCCLC24"
"doi:10.1145/3627703.3629559","Dordis: Efficient Federated Learning with Dropout-Resilient Differential Privacy","Zhifeng Jiang","2024","EuroSys","10.1145/3627703.3629559","https://doi.org/10.1145/3627703.3629559","conf/eurosys/Jiang0C24"
"doi:10.1145/3627703.3629563","Accelerating Privacy-Preserving Machine Learning With GeniBatch","Xinyang Huang","2024","EuroSys","10.1145/3627703.3629563","https://doi.org/10.1145/3627703.3629563","conf/eurosys/Huang0C0JHT024"
"doi:10.1145/3627703.3650074","GMorph: Accelerating Multi-DNN Inference via Model Fusion","Qizheng Yang","2024","EuroSys","10.1145/3627703.3650074","https://doi.org/10.1145/3627703.3650074","conf/eurosys/YangYXZWS024"
"doi:10.1145/3627703.3629580","HAP: SPMD DNN Training on Heterogeneous GPU Clusters with Automated Program Synthesis","Shiwei Zhang","2024","EuroSys","10.1145/3627703.3629580","https://doi.org/10.1145/3627703.3629580","conf/eurosys/ZhangD0CW024"
"doi:10.1145/3627703.3629585","DynaPipe: Optimizing Multi-task Training through Dynamic Pipelines","Chenyu Jiang","2024","EuroSys","10.1145/3627703.3629585","https://doi.org/10.1145/3627703.3629585","conf/eurosys/JiangJ00024"
"doi:10.1145/3627703.3650088","ZKML: An Optimizing System for ML Inference in Zero-Knowledge Proofs","Bing-Jyue Chen","2024","EuroSys","10.1145/3627703.3650088","https://doi.org/10.1145/3627703.3650088","conf/eurosys/ChenWSK24"
"doi:10.1145/3627703.3629555","Puddles: Application-Independent Recovery and Location-Independent Data for Persistent Memory","Suyash Mahar","2024","EuroSys","10.1145/3627703.3629555","https://doi.org/10.1145/3627703.3629555","conf/eurosys/MaharSSIS24"
"doi:10.1145/3627703.3629561","SplitFT: Fault Tolerance for Disaggregated Datacenters via Remote Memory Logging","Xuhao Luo","2024","EuroSys","10.1145/3627703.3629561","https://doi.org/10.1145/3627703.3629561","conf/eurosys/LuoAG24"
"doi:10.1145/3627703.3629566","CSAL: the Next-Gen Local Disks for the Cloud","Yanbo Zhou","2024","EuroSys","10.1145/3627703.3629566","https://doi.org/10.1145/3627703.3629566","conf/eurosys/ZhouXZKBGMKLLYH24"
"doi:10.1145/3627703.3629586","Exploring the Asynchrony of Slow Memory Filesystem with EasyIO","Bohong Zhu","2024","EuroSys","10.1145/3627703.3629586","https://doi.org/10.1145/3627703.3629586","conf/eurosys/ZhuCS24"
"doi:10.1145/3627703.3629588","ScaleCache: A Scalable Page Cache for Multiple Solid-State Drives","Kiet Tuan Pham","2024","EuroSys","10.1145/3627703.3629588","https://doi.org/10.1145/3627703.3629588","conf/eurosys/PhamCLNYJLKS24"
"doi:10.1145/3627703.3650090","Volley: Accelerating Write-Read Orders in Disaggregated Storage","Shaoxun Zeng","2024","EuroSys","10.1145/3627703.3650090","https://doi.org/10.1145/3627703.3650090","conf/eurosys/ZengLGL24"
