"paper_id","title","authors","year","venue","doi","url","dblp_id"
"doi:10.1109/HPCA56546.2023.10071102","SGCN: Exploiting Compressed-Sparse Features in Deep Graph Convolutional Network Accelerators","Mingi Yoo","2023","HPCA","10.1109/HPCA56546.2023.10071102","https://doi.org/10.1109/HPCA56546.2023.10071102","conf/hpca/YooSLKKL23"
"doi:10.1109/HPCA56546.2023.10070931","PhotoFourier: A Photonic Joint Transform Correlator-Based Neural Network Accelerator","Shurui Li","2023","HPCA","10.1109/HPCA56546.2023.10070931","https://doi.org/10.1109/HPCA56546.2023.10070931","conf/hpca/LiYWSG23"
"doi:10.1109/HPCA56546.2023.10070992","INCA: Input-stationary Dataflow at Outside-the-box Thinking about Deep Learning Accelerators","Bokyung Kim","2023","HPCA","10.1109/HPCA56546.2023.10070992","https://doi.org/10.1109/HPCA56546.2023.10070992","conf/hpca/KimLL23"
"doi:10.1109/HPCA56546.2023.10070983","GROW: A Row-Stationary Sparse-Dense GEMM Accelerator for Memory-Efficient Graph Convolutional Neural Networks","Ranggi Hwang","2023","HPCA","10.1109/HPCA56546.2023.10070983","https://doi.org/10.1109/HPCA56546.2023.10070983","conf/hpca/HwangKLKLR23"
"doi:10.1109/HPCA56546.2023.10071117","Logical/Physical Topology-Aware Collective Communication in Deep Learning Training","Jo Sanghoon","2023","HPCA","10.1109/HPCA56546.2023.10071117","https://doi.org/10.1109/HPCA56546.2023.10071117","conf/hpca/SanghoonSK23"
"doi:10.1109/HPCA56546.2023.10071031","Sibia: Signed Bit-slice Architecture for Dense DNN Acceleration with Slice-level Sparsity Exploitation","Dongseok Im","2023","HPCA","10.1109/HPCA56546.2023.10071031","https://doi.org/10.1109/HPCA56546.2023.10071031","conf/hpca/ImPLRY23"
"doi:10.1109/HPCA56546.2023.10070955","AstriFlash A Flash-Based System for Online Services","Siddharth Gupta","2023","HPCA","10.1109/HPCA56546.2023.10070955","https://doi.org/10.1109/HPCA56546.2023.10070955","conf/hpca/GuptaOYSBFH23"
"doi:10.1109/HPCA56546.2023.10070991","Thoth: Bridging the Gap Between Persistently Secure Memories and Memory Interfaces of Emerging NVMs","Xijing Han","2023","HPCA","10.1109/HPCA56546.2023.10070991","https://doi.org/10.1109/HPCA56546.2023.10070991","conf/hpca/HanTA23"
"doi:10.1109/HPCA56546.2023.10071009","Multi-Granularity Shadow Paging with NVM Write Optimization for Crash-Consistent Memory-Mapped I/O","Hongchao Du","2023","HPCA","10.1109/HPCA56546.2023.10071009","https://doi.org/10.1109/HPCA56546.2023.10071009","conf/hpca/DuLPKX23"
"doi:10.1109/HPCA56546.2023.10070946","MGC: Multiple-Gray-Code for 3D NAND Flash based High-Density SSDs","Yina Lv","2023","HPCA","10.1109/HPCA56546.2023.10070946","https://doi.org/10.1109/HPCA56546.2023.10070946","conf/hpca/LvSLGSLZ23"
"doi:10.1109/HPCA56546.2023.10071115","Baryon: Efficient Hybrid Memory Management with Compression and Sub-Blocking","Yiwei Li","2023","HPCA","10.1109/HPCA56546.2023.10071115","https://doi.org/10.1109/HPCA56546.2023.10071115","conf/hpca/LiG23"
"doi:10.1109/HPCA56546.2023.10071003","Root Crash Consistency of SGX-style Integrity Trees in Secure Non-Volatile Memory Systems","Jianming Huang","2023","HPCA","10.1109/HPCA56546.2023.10071003","https://doi.org/10.1109/HPCA56546.2023.10071003","conf/hpca/HuangH23"
"doi:10.1109/HPCA56546.2023.10071033","ACIC: Admission-Controlled Instruction Cache","Yunjin Wang","2023","HPCA","10.1109/HPCA56546.2023.10071033","https://doi.org/10.1109/HPCA56546.2023.10071033","conf/hpca/WangCSS23"
"doi:10.1109/HPCA56546.2023.10070968","Compression-Aware and Performance-Efficient Insertion Policies for Long-Lasting Hybrid LLCs","Carlos Escuin","2023","HPCA","10.1109/HPCA56546.2023.10070968","https://doi.org/10.1109/HPCA56546.2023.10070968","conf/hpca/EscuinKIMCV23"
"doi:10.1109/HPCA56546.2023.10071016","NOMAD: Enabling Non-blocking OS-managed DRAM Cache via Tag-Data Decoupling","Youngin Kim","2023","HPCA","10.1109/HPCA56546.2023.10071016","https://doi.org/10.1109/HPCA56546.2023.10071016","conf/hpca/KimKS23"
"doi:10.1109/HPCA56546.2023.10071113","Safety Hints for HTM Capacity Abort Mitigation","Anirudh Jain","2023","HPCA","10.1109/HPCA56546.2023.10071113","https://doi.org/10.1109/HPCA56546.2023.10071113","conf/hpca/JainKD23"
