"paper_id","title","authors","year","venue","doi","url","dblp_id"
"doi:10.1145/3508352.3561093","Why are Graph Neural Networks Effective for EDA Problems?: (Invited Paper)","Haoxing Ren","2022","ICCAD","10.1145/3508352.3561093","https://doi.org/10.1145/3508352.3561093","conf/iccad/RenNZCL22"
"doi:10.1145/3508352.3561094","On Advancing Physical Design Using Graph Neural Networks","Yi-Chen Lu","2022","ICCAD","10.1145/3508352.3561094","https://doi.org/10.1145/3508352.3561094","conf/iccad/LuL22"
"doi:10.1145/3508352.3561095","Applying GNNs to Timing Estimation at RTL","Daniela Sanchez Lopera","2022","ICCAD","10.1145/3508352.3561095","https://doi.org/10.1145/3508352.3561095","conf/iccad/LoperaE22"
"doi:10.1145/3508352.3561096","Embracing Graph Neural Networks for Hardware Security","Lilas Alrahis","2022","ICCAD","10.1145/3508352.3561096","https://doi.org/10.1145/3508352.3561096","conf/iccad/AlrahisP0S22"
"doi:10.1145/3508352.3549386","Fine-Granular Computation and Data Layout Reorganization for Improving Locality","Mahmut T. Kandemir","2022","ICCAD","10.1145/3508352.3549386","https://doi.org/10.1145/3508352.3549386","conf/iccad/KandemirTKK22"
"doi:10.1145/3508352.3549424","An MLIR-based Compiler Flow for System-Level Design and Hardware Acceleration","Nicolas Bohm Agostini","2022","ICCAD","10.1145/3508352.3549424","https://doi.org/10.1145/3508352.3549424","conf/iccad/AgostiniCA0MCMK22"
"doi:10.1145/3508352.3549378","Physics-Aware Differentiable Discrete Codesign for Diffractive Optical Neural Networks","Yingjie Li","2022","ICCAD","10.1145/3508352.3549378","https://doi.org/10.1145/3508352.3549378","conf/iccad/LiCGY22"
"doi:10.1145/3508352.3549447","Big-Little Chiplets for In-Memory Acceleration of DNNs: A Scalable Heterogeneous Architecture","Gokul Krishnan","2022","ICCAD","10.1145/3508352.3549447","https://doi.org/10.1145/3508352.3549447","conf/iccad/KrishnanGMWCSO022"
"doi:10.1145/3508352.3561097","Attacks on Image Sensors","Marilyn Wolf","2022","ICCAD","10.1145/3508352.3561097","https://doi.org/10.1145/3508352.3561097","conf/iccad/WolfS22"
"doi:10.1145/3508352.3561098","False Data Injection Attacks on Sensor Systems","Dimitrios Serpanos","2022","ICCAD","10.1145/3508352.3561098","https://doi.org/10.1145/3508352.3561098","conf/iccad/Serpanos22"
"doi:10.1145/3508352.3561099","Stochastic Mixed-Signal Circuit Design for In-Sensor Privacy","Ningyuan Cao","2022","ICCAD","10.1145/3508352.3561099","https://doi.org/10.1145/3508352.3561099","conf/iccad/CaoLCC22"
"doi:10.1145/3508352.3561100","Sensor Security: Current Progress, Research Challenges, and Future Roadmap (Invited Paper)","Anomadarshi Barua","2022","ICCAD","10.1145/3508352.3561100","https://doi.org/10.1145/3508352.3561100","conf/iccad/BaruaF22"
"doi:10.1145/3508352.3549390","SpecPart: A Supervised Spectral Framework for Hypergraph Partitioning Solution Improvement","Ismail Bustany","2022","ICCAD","10.1145/3508352.3549390","https://doi.org/10.1145/3508352.3549390","conf/iccad/BustanyKKPW22"
"doi:10.1145/3508352.3549438","HyperEF: Spectral Hypergraph Coarsening by Effective-Resistance Clustering","Ali Aghdaei","2022","ICCAD","10.1145/3508352.3549438","https://doi.org/10.1145/3508352.3549438","conf/iccad/AghdaeiF22"
"doi:10.1145/3508352.3549351","Design and Technology Co-Optimization Utilizing Multi-Bit Flip-Flop Cells","Soomin Kim","2022","ICCAD","10.1145/3508352.3549351","https://doi.org/10.1145/3508352.3549351","conf/iccad/KimK22"
"doi:10.1145/3508352.3549354","Transitive Closure Graph-Based Warpage-Aware Floorplanning for Package Designs","Yang Hsu","2022","ICCAD","10.1145/3508352.3549354","https://doi.org/10.1145/3508352.3549354","conf/iccad/HsuCCL22"
"doi:10.1145/3508352.3561378","A Mixed Open-Source and Proprietary EDA Commons for Education and Prototyping","Andrew B. Kahng","2022","ICCAD","10.1145/3508352.3561378","https://doi.org/10.1145/3508352.3561378","conf/iccad/Kahng22"
