"paper_id","title","authors","year","venue","doi","url","dblp_id"
"doi:10.1145/3524059.3532388","Low overhead and context sensitive profiling of CPU-accelerated applications","Keren Zhou","2022","ICS","10.1145/3524059.3532388","https://doi.org/10.1145/3524059.3532388","conf/ics/ZhouAMM22"
"doi:10.1145/3524059.3532390","Calipers: a criticality-aware framework for modeling processor performance","Hossein Golestani","2022","ICS","10.1145/3524059.3532390","https://doi.org/10.1145/3524059.3532390","conf/ics/GolestaniSYG22"
"doi:10.1145/3524059.3532391","Performance-detective: automatic deduction of cheap and accurate performance models","Larissa Schmid","2022","ICS","10.1145/3524059.3532391","https://doi.org/10.1145/3524059.3532391","conf/ics/SchmidCCWRSKH22"
"doi:10.1145/3524059.3532359","ASAP: automatic synthesis of area-efficient and precision-aware CGRAs","Cheng Tan","2022","ICS","10.1145/3524059.3532359","https://doi.org/10.1145/3524059.3532359","conf/ics/TanTZFGW0TGL22"
"doi:10.1145/3524059.3532377","Efficiently emulating high-bitwidth computation with low-bitwidth hardware","Zixuan Ma","2022","ICS","10.1145/3524059.3532377","https://doi.org/10.1145/3524059.3532377","conf/ics/MaWFZXH0Z22"
"doi:10.1145/3524059.3532375","SnuQS: scaling quantum circuit simulation using storage devices","Daeyoung Park","2022","ICS","10.1145/3524059.3532375","https://doi.org/10.1145/3524059.3532375","conf/ics/ParkKKKL22"
"doi:10.1145/3524059.3532361","LITE: a low-cost practical inter-operable GPU TEE","Ardhi Wiratama Baskara Yudha","2022","ICS","10.1145/3524059.3532361","https://doi.org/10.1145/3524059.3532361","conf/ics/YudhaMYZS22"
"doi:10.1145/3524059.3532360","Software-defined floating-point number formats and their application to graph processing","Hans Vandierendonck","2022","ICS","10.1145/3524059.3532360","https://doi.org/10.1145/3524059.3532360","conf/ics/Vandierendonck22"
"doi:10.1145/3524059.3532365","MASTIFF: structure-aware minimum spanning tree/forest","Mohsen Koohi Esfahani","2022","ICS","10.1145/3524059.3532365","https://doi.org/10.1145/3524059.3532365","conf/ics/EsfahaniKV22"
"doi:10.1145/3524059.3532368","Efficient exact K-nearest neighbor graph construction for billion-scale datasets using GPUs with tensor cores","Zhuoran Ji","2022","ICS","10.1145/3524059.3532368","https://doi.org/10.1145/3524059.3532368","conf/ics/JiW22"
"doi:10.1145/3524059.3532379","Bring orders into uncertainty: enabling efficient uncertain graph processing via novel path sampling on multi-accelerator systems","Heng Zhang","2022","ICS","10.1145/3524059.3532379","https://doi.org/10.1145/3524059.3532379","conf/ics/0005L0ZLHSTLHWS22"
"doi:10.1145/3524059.3532362","CEAZ: accelerating parallel I/O via hardware-algorithm co-designed adaptive lossy compression","Chengming Zhang","2022","ICS","10.1145/3524059.3532362","https://doi.org/10.1145/3524059.3532362","conf/ics/0006JGTLT22"
"doi:10.1145/3524059.3532378","Towards low-latency I/O services for mixed workloads using ultra-low latency SSDs","Mingzhe Liu","2022","ICS","10.1145/3524059.3532378","https://doi.org/10.1145/3524059.3532378","conf/ics/LiuLYL00ZH22"
"doi:10.1145/3524059.3532380","Optimized MPI collective algorithms for dragonfly topology","Guangnan Feng","2022","ICS","10.1145/3524059.3532380","https://doi.org/10.1145/3524059.3532380","conf/ics/FengDL22"
"doi:10.1145/3524059.3532386","SparseLNR: accelerating sparse tensor computations using loop nest restructuring","Adhitha Dias","2022","ICS","10.1145/3524059.3532386","https://doi.org/10.1145/3524059.3532386","conf/ics/DiasSS022"
"doi:10.1145/3524059.3532393","VICO: demand-driven verification for improving compiler optimizations","Sharjeel Khan","2022","ICS","10.1145/3524059.3532393","https://doi.org/10.1145/3524059.3532393","conf/ics/KhanCP22"
"doi:10.1145/3524059.3532389","Lifting C semantics for dataflow optimization","Alexandru Calotoiu","2022","ICS","10.1145/3524059.3532389","https://doi.org/10.1145/3524059.3532389","conf/ics/CalotoiuBKLSSH22"
"doi:10.1145/3524059.3532370","SnuHPL: high performance LINPACK for heterogeneous GPUs","Jinpyo Kim","2022","ICS","10.1145/3524059.3532370","https://doi.org/10.1145/3524059.3532370","conf/ics/KimKKPLL22"
"doi:10.1145/3524059.3532371","High throughput multidimensional tridiagonal system solvers on FPGAs","Kamalakkannan Kamalavasan","2022","ICS","10.1145/3524059.3532371","https://doi.org/10.1145/3524059.3532371","conf/ics/KamalakkannanMR22"
"doi:10.1145/3524059.3532376","AnySeq/GPU: a novel approach for faster sequence alignment on GPUs","André Müller","2022","ICS","10.1145/3524059.3532376","https://doi.org/10.1145/3524059.3532376","conf/ics/MullerSMLH22"
"doi:10.1145/3524059.3532382","Parallel K-clique counting on GPUs","Mohammad Almasri","2022","ICS","10.1145/3524059.3532382","https://doi.org/10.1145/3524059.3532382","conf/ics/AlmasriHNXH22"
"doi:10.1145/3524059.3532381","Cloak: tolerating non-volatile cache read latency","Apostolos Kokolis","2022","ICS","10.1145/3524059.3532381","https://doi.org/10.1145/3524059.3532381","conf/ics/KokolisMGTK22"
"doi:10.1145/3524059.3532383","Fast-track cache: a huge racetrack memory L1 data cache","Hugo Tárrega","2022","ICS","10.1145/3524059.3532383","https://doi.org/10.1145/3524059.3532383","conf/ics/TarregaVLPS22"
"doi:10.1145/3524059.3532387","Dynamic memory management in massively parallel systems: a case on GPUs","Minh Pham","2022","ICS","10.1145/3524059.3532387","https://doi.org/10.1145/3524059.3532387","conf/ics/PhamLYMRXT22"
"doi:10.1145/3524059.3532394","MegTaiChi: dynamic tensor-based memory management optimization for DNN training","Zhongzhe Hu","2022","ICS","10.1145/3524059.3532394","https://doi.org/10.1145/3524059.3532394","conf/ics/HuXDLZZMST22"
