"paper_id","title","authors","year","venue","doi","url","dblp_id"
"doi:10.1109/LCA.2023.3329443","gem5-accel: A Pre-RTL Simulation Toolchain for Accelerator Architecture Validation","João Vieira","2024","IEEE-CAL","10.1109/LCA.2023.3329443","https://doi.org/10.1109/LCA.2023.3329443","journals/cal/VieiraRFT24"
"doi:10.1109/LCA.2023.3339646","Tulip: Turn-Free Low-Power Network-on-Chip","Atiyeh Gheibi-Fetrat","2024","IEEE-CAL","10.1109/LCA.2023.3339646","https://doi.org/10.1109/LCA.2023.3339646","journals/cal/GheibiFetratAHS24"
"doi:10.1109/LCA.2023.3322700","Inter-Temperature Bandwidth Reduction in Cryogenic QAOA Machines","Yosuke Ueno","2024","IEEE-CAL","10.1109/LCA.2023.3322700","https://doi.org/10.1109/LCA.2023.3322700","journals/cal/UenoTTTTIN24"
"doi:10.1109/LCA.2023.3336841","FPGA-Accelerated Data Preprocessing for Personalized Recommendation Systems","Hyeseong Kim","2024","IEEE-CAL","10.1109/LCA.2023.3336841","https://doi.org/10.1109/LCA.2023.3336841","journals/cal/KimLR24"
"doi:10.1109/LCA.2024.3355178","DeMM: A Decoupled Matrix Multiplication Engine Supporting Relaxed Structured Sparsity","Christodoulos Peltekis","2024","IEEE-CAL","10.1109/LCA.2024.3355178","https://doi.org/10.1109/LCA.2024.3355178","journals/cal/PeltekisTND24"
"doi:10.1109/LCA.2024.3355109","Direct-Coding DNA With Multilevel Parallelism","Caden Corontzos","2024","IEEE-CAL","10.1109/LCA.2024.3355109","https://doi.org/10.1109/LCA.2024.3355109","journals/cal/CorontzosF24"
"doi:10.1109/LCA.2023.3340030","Enhancing the Reach and Reliability of Quantum Annealers by Pruning Longer Chains","Ramin Ayanzadeh","2024","IEEE-CAL","10.1109/LCA.2023.3340030","https://doi.org/10.1109/LCA.2023.3340030","journals/cal/AyanzadehQ24"
"doi:10.1109/LCA.2023.3341389","Supporting a Virtual Vector Instruction Set on a Commercial Compute-in-SRAM Accelerator","Courtney Golden","2024","IEEE-CAL","10.1109/LCA.2023.3341389","https://doi.org/10.1109/LCA.2023.3341389","journals/cal/GoldenIHZZB24"
"doi:10.1109/LCA.2024.3360709","Baobab Merkle Tree for Efficient Secure Memory","Samuel Thomas","2024","IEEE-CAL","10.1109/LCA.2024.3360709","https://doi.org/10.1109/LCA.2024.3360709","journals/cal/ThomasWIMCBIL24"
"doi:10.1109/LCA.2024.3363492","eDKM: An Efficient and Accurate Train-Time Weight Clustering for Large Language Models","Minsik Cho","2024","IEEE-CAL","10.1109/LCA.2024.3363492","https://doi.org/10.1109/LCA.2024.3363492","journals/cal/ChoAFAMRNZ24"
"doi:10.1109/LCA.2023.3341152","Accelerating Deep Reinforcement Learning via Phase-Level Parallelism for Robotics Applications","Yanggon Kim","2024","IEEE-CAL","10.1109/LCA.2023.3341152","https://doi.org/10.1109/LCA.2023.3341152","journals/cal/KimHSKK24"
"doi:10.1109/LCA.2024.3369940","JANM-IK: Jacobian Argumented Nelder-Mead Algorithm for Inverse Kinematics and its Hardware Acceleration","Yuxin Yang","2024","IEEE-CAL","10.1109/LCA.2024.3369940","https://doi.org/10.1109/LCA.2024.3369940","journals/cal/YangCH24"
"doi:10.1109/LCA.2024.3365149","Improving Energy-Efficiency of Capsule Networks on Modern GPUs","Mohammad Hafezan","2024","IEEE-CAL","10.1109/LCA.2024.3365149","https://doi.org/10.1109/LCA.2024.3365149","journals/cal/HafezanA24"
"doi:10.1109/LCA.2024.3370992","Achieving Forward Progress Guarantee in Small Hardware Transactions","Mahita Nagabhiru","2024","IEEE-CAL","10.1109/LCA.2024.3370992","https://doi.org/10.1109/LCA.2024.3370992","journals/cal/NagabhiruB24"
