"paper_id","title","authors","year","venue","doi","url","dblp_id"
"doi:10.1109/MM.2022.3229504","Environmentally Sustainable Computing","Lizy Kurian John","2023","IEEE-MICRO","10.1109/MM.2022.3229504","https://doi.org/10.1109/MM.2022.3229504","journals/micro/John23"
"doi:10.1109/MM.2022.3226362","Special Issue on Environmentally Sustainable Computing","Carole-Jean Wu","2023","IEEE-MICRO","10.1109/MM.2022.3226362","https://doi.org/10.1109/MM.2022.3226362","journals/micro/Wu23"
"doi:10.1109/MM.2022.3218034","Kaya for Computer Architects: Toward Sustainable Computer Systems","Lieven Eeckhout","2023","IEEE-MICRO","10.1109/MM.2022.3218034","https://doi.org/10.1109/MM.2022.3218034","journals/micro/Eeckhout23"
"doi:10.1109/MM.2022.3220399","Sustainable AI Processing at the Edge","Sébastien Ollivier","2023","IEEE-MICRO","10.1109/MM.2022.3220399","https://doi.org/10.1109/MM.2022.3220399","journals/micro/OllivierLTCCCZT23"
"doi:10.1109/MM.2022.3219803","Data Centers on Wheels: Emissions From Computing Onboard Autonomous Vehicles","Soumya Sudhakar","2023","IEEE-MICRO","10.1109/MM.2022.3219803","https://doi.org/10.1109/MM.2022.3219803","journals/micro/SudhakarSK23"
"doi:10.1109/MM.2022.3229244","Special Issue on Cool Chips","Ryusuke Egawa","2023","IEEE-MICRO","10.1109/MM.2022.3229244","https://doi.org/10.1109/MM.2022.3229244","journals/micro/EgawaW23"
"doi:10.1109/MM.2022.3226630","TCN-CUTIE: A 1, 036-TOp/s/W, 2.72-µJ/Inference, 12.2-mW All-Digital Ternary Accelerator in 22-nm FDX Technology","Moritz Scherer","2023","IEEE-MICRO","10.1109/MM.2022.3226630","https://doi.org/10.1109/MM.2022.3226630","journals/micro/SchererMFRB23"
"doi:10.1109/MM.2022.3226739","A Scalable Body Bias Optimization Method Toward Low-Power CGRAs","Takuya Kojima","2023","IEEE-MICRO","10.1109/MM.2022.3226739","https://doi.org/10.1109/MM.2022.3226739","journals/micro/KojimaOKA23"
"doi:10.1109/MM.2022.3193642","Enterprise-Class Multilevel Cache Design: Low Latency, Huge Capacity, and High Reliability","Deanna Postles Dunn Berger","2023","IEEE-MICRO","10.1109/MM.2022.3193642","https://doi.org/10.1109/MM.2022.3193642","journals/micro/BergerJWSCK23"
"doi:10.1109/MM.2022.3193949","Data Movement Accelerator Engines on a Prototype Power10 Processor","Yutaka Sugawara","2023","IEEE-MICRO","10.1109/MM.2022.3193949","https://doi.org/10.1109/MM.2022.3193949","journals/micro/SugawaraCHKRSSB23"
"doi:10.1109/MM.2022.3208746","RDMA Congestion Control: It Is Only for the Compliant","John Snyder","2023","IEEE-MICRO","10.1109/MM.2022.3208746","https://doi.org/10.1109/MM.2022.3208746","journals/micro/SnyderLZ23"
"doi:10.1109/MM.2022.3226101","Does Academic Research Drive Industrial Innovation in Computer Architecture? - Analyzing Citations to Academic Papers in Patents","Joshua J. Yi","2023","IEEE-MICRO","10.1109/MM.2022.3226101","https://doi.org/10.1109/MM.2022.3226101","journals/micro/Yi23"
"doi:10.1109/MM.2022.3228422","The Modern Digital Operating Model","Shane Greenstein","2023","IEEE-MICRO","10.1109/MM.2022.3228422","https://doi.org/10.1109/MM.2022.3228422","journals/micro/Greenstein23"
"doi:10.1109/MM.2023.3244677","Emerging System Interconnects Enabling More Opportunities Than Ever!","Lizy Kurian John","2023","IEEE-MICRO","10.1109/MM.2023.3244677","https://doi.org/10.1109/MM.2023.3244677","journals/micro/John23a"
"doi:10.1109/MM.2023.3240453","Special Issue on Emerging System Interconnects","John Kim","2023","IEEE-MICRO","10.1109/MM.2023.3240453","https://doi.org/10.1109/MM.2023.3240453","journals/micro/KimK23"
"doi:10.1109/MM.2023.3235972","Novel Composable and Scaleout Architectures Using Compute Express Link","Debendra Das Sharma","2023","IEEE-MICRO","10.1109/MM.2023.3235972","https://doi.org/10.1109/MM.2023.3235972","journals/micro/Sharma23"
"doi:10.1109/MM.2023.3240774","SMT: Software-Defined Memory Tiering for Heterogeneous Computing Systems With CXL Memory Expander","Kyungsan Kim","2023","IEEE-MICRO","10.1109/MM.2023.3240774","https://doi.org/10.1109/MM.2023.3240774","journals/micro/KimKSLIPCS23"
"doi:10.1109/MM.2023.3241586","Design Tradeoffs in CXL-Based Memory Pools for Public Cloud Platforms","Daniel S. Berger","2023","IEEE-MICRO","10.1109/MM.2023.3241586","https://doi.org/10.1109/MM.2023.3241586","journals/micro/BergerELZSRLHAHB23"
