"paper_id","title","authors","year","venue","doi","url","dblp_id"
"doi:10.1109/TC.2022.3227228","IEEE TC Special Issue on Real-Time Systems","Enrico Bini","2023","IEEE-TC","10.1109/TC.2022.3227228","https://doi.org/10.1109/TC.2022.3227228","journals/tc/BiniCCM23"
"doi:10.1109/TC.2022.3211421","Response Time Stochastic Analysis for Fixed-Priority Stable Real-Time Systems","Kevin Zagalo","2023","IEEE-TC","10.1109/TC.2022.3211421","https://doi.org/10.1109/TC.2022.3211421","journals/tc/ZagaloABC23"
"doi:10.1109/TC.2022.3198634","A Unified Blocking Analysis for Parallel Tasks With Spin Locks Under Global Fixed Priority Scheduling","Xu Jiang","2023","IEEE-TC","10.1109/TC.2022.3198634","https://doi.org/10.1109/TC.2022.3198634","journals/tc/JiangCYGTY23"
"doi:10.1109/TC.2022.3202721","A High-Resilience Imprecise Computing Architecture for Mixed-Criticality Systems","Zhe Jiang","2023","IEEE-TC","10.1109/TC.2022.3202721","https://doi.org/10.1109/TC.2022.3202721","journals/tc/JiangDBAGG23"
"doi:10.1109/TC.2022.3197078","Precise Mixed-Criticality Scheduling on Varying-Speed Multiprocessors","Sudharsan Vaidhun","2023","IEEE-TC","10.1109/TC.2022.3197078","https://doi.org/10.1109/TC.2022.3197078","journals/tc/VaidhunSGDYG23"
"doi:10.1109/TC.2022.3208203","Dynamic Scheduling Strategies for Firm Semi-Periodic Real-Time Tasks","Yiqin Gao","2023","IEEE-TC","10.1109/TC.2022.3208203","https://doi.org/10.1109/TC.2022.3208203","journals/tc/GaoPRV23"
"doi:10.1109/TC.2022.3202754","Energy-Resilient Real-Time Scheduling","Mahmoud Shirazi","2023","IEEE-TC","10.1109/TC.2022.3202754","https://doi.org/10.1109/TC.2022.3202754","journals/tc/ShiraziTK23"
"doi:10.1109/TC.2022.3197082","Comparing Communication Paradigms in Cause-Effect Chains","Yue Tang","2023","IEEE-TC","10.1109/TC.2022.3197082","https://doi.org/10.1109/TC.2022.3197082","journals/tc/TangJGJLY23"
"doi:10.1109/TC.2022.3204225","Network Calculus With Flow Prolongation - A Feedforward FIFO Analysis Enabled by ML","Fabien Geyer","2023","IEEE-TC","10.1109/TC.2022.3204225","https://doi.org/10.1109/TC.2022.3204225","journals/tc/GeyerSB23"
"doi:10.1109/TC.2022.3207115","Towards Hard Real-Time and Energy-Efficient Virtualization for Many-Core Embedded Systems","Zhe Jiang","2023","IEEE-TC","10.1109/TC.2022.3207115","https://doi.org/10.1109/TC.2022.3207115","journals/tc/JiangYMFAD23"
"doi:10.1109/TC.2022.3191739","Optimizing Inter-Core Communications Under the LET Paradigm using DMA Engines","Paolo Pazzaglia","2023","IEEE-TC","10.1109/TC.2022.3191739","https://doi.org/10.1109/TC.2022.3191739","journals/tc/PazzagliaCBN23"
"doi:10.1109/TC.2022.3188179","Fenglin-I: An Open-Source Time-Sensitive Networking Chip Enabling Agile Customization","Wenwen Fu","2023","IEEE-TC","10.1109/TC.2022.3188179","https://doi.org/10.1109/TC.2022.3188179","journals/tc/FuQYS23"
"doi:10.1109/TC.2022.3214117","Bounding Memory Access Times in Multi-Accelerator Architectures on FPGA SoCs","Francesco Restuccia","2023","IEEE-TC","10.1109/TC.2022.3214117","https://doi.org/10.1109/TC.2022.3214117","journals/tc/RestucciaPBMB23"
"doi:10.1109/TC.2022.3202720","Analyzing Arm's MPAM From the Perspective of Time Predictability","Matteo Zini","2023","IEEE-TC","10.1109/TC.2022.3202720","https://doi.org/10.1109/TC.2022.3202720","journals/tc/ZiniCB23"
"doi:10.1109/TC.2022.3200000","MINOTAuR: A Timing Predictable RISC-V Core Featuring Speculative Execution","Alban Gruin","2023","IEEE-TC","10.1109/TC.2022.3200000","https://doi.org/10.1109/TC.2022.3200000","journals/tc/GruinCRCS23"
"doi:10.1109/TC.2022.3187351","Operating System Noise in the Linux Kernel","Daniel Bristot de Oliveira","2023","IEEE-TC","10.1109/TC.2022.3187351","https://doi.org/10.1109/TC.2022.3187351","journals/tc/OliveiraCC23"
