"paper_id","title","authors","year","venue","doi","url","dblp_id"
"doi:10.1109/TCAD.2021.3054811","An Efficient Batch-Constrained Bayesian Optimization Approach for Analog Circuit Synthesis via Multiobjective Acquisition Ensemble","Shuhan Zhang","2022","IEEE-TCAD","10.1109/TCAD.2021.3054811","https://doi.org/10.1109/TCAD.2021.3054811","journals/tcad/ZhangYYZZ22"
"doi:10.1109/TCAD.2021.3054603","Approximate Logic Synthesis Using Boolean Matrix Factorization","Jingxiao Ma","2022","IEEE-TCAD","10.1109/TCAD.2021.3054603","https://doi.org/10.1109/TCAD.2021.3054603","journals/tcad/MaHR22"
"doi:10.1109/TCAD.2021.3053912","LOOPLock 2.0: An Enhanced Cyclic Logic Locking Approach","Xiang-Min Yang","2022","IEEE-TCAD","10.1109/TCAD.2021.3053912","https://doi.org/10.1109/TCAD.2021.3053912","journals/tcad/YangCCLCW22"
"doi:10.1109/TCAD.2021.3052856","Runtime Malware Detection Using Embedded Trace Buffers","Rana Elnaggar","2022","IEEE-TCAD","10.1109/TCAD.2021.3052856","https://doi.org/10.1109/TCAD.2021.3052856","journals/tcad/ElnaggarBCK22"
"doi:10.1109/TCAD.2021.3055487","Code Synthesis for Dataflow-Based Embedded Software Design","Zhuo Su","2022","IEEE-TCAD","10.1109/TCAD.2021.3055487","https://doi.org/10.1109/TCAD.2021.3055487","journals/tcad/SuWYJCFLS22"
"doi:10.1109/TCAD.2021.3053232","Mixed-Criticality Scheduling Upon Permitted Failure Probability and Dynamic Priority","Zhishan Guo","2022","IEEE-TCAD","10.1109/TCAD.2021.3053232","https://doi.org/10.1109/TCAD.2021.3053232","journals/tcad/GuoVSAWY22"
"doi:10.1109/TCAD.2021.3054329","Cooperative Communication Between Two Transiently Powered Sensor Nodes by Reinforcement Learning","Yawen Wu","2022","IEEE-TCAD","10.1109/TCAD.2021.3054329","https://doi.org/10.1109/TCAD.2021.3054329","journals/tcad/WuJFH22"
"doi:10.1109/TCAD.2021.3055489","EMT: Elegantly Measured Tanner for Key-Value Store on SSD","Tai Chang","2022","IEEE-TCAD","10.1109/TCAD.2021.3055489","https://doi.org/10.1109/TCAD.2021.3055489","journals/tcad/ChangHCL22"
"doi:10.1109/TCAD.2021.3051841","Test and Yield Loss Reduction of AI and Deep Learning Accelerators","Mehdi Sadi","2022","IEEE-TCAD","10.1109/TCAD.2021.3051841","https://doi.org/10.1109/TCAD.2021.3051841","journals/tcad/SadiG22"
"doi:10.1109/TCAD.2021.3052138","Cambricon-G: A Polyvalent Energy-Efficient Accelerator for Dynamic Graph Neural Networks","Xinkai Song","2022","IEEE-TCAD","10.1109/TCAD.2021.3052138","https://doi.org/10.1109/TCAD.2021.3052138","journals/tcad/SongZFZZLHDGC22"
"doi:10.1109/TCAD.2021.3054804","Modeling the Dependency of Analog Circuit Performance Parameters on Manufacturing Process Variations With Applications in Sensitivity Analysis and Yield Prediction","Elena-Diana Sandru","2022","IEEE-TCAD","10.1109/TCAD.2021.3054804","https://doi.org/10.1109/TCAD.2021.3054804","journals/tcad/SandruDKBBP22"
"doi:10.1109/TCAD.2021.3053223","Pin-Accessible Legalization for Mixed-Cell-Height Circuits","Haocheng Li","2022","IEEE-TCAD","10.1109/TCAD.2021.3053223","https://doi.org/10.1109/TCAD.2021.3053223","journals/tcad/LiCCYY22"
