"paper_id","title","authors","year","venue","doi","url","dblp_id"
"doi:10.1109/TPDS.2021.3085210","DeTraS: Delaying Stores for Friendly-Fire Mitigation in Hardware Transactional Memory","J. Rubén Titos Gil","2022","IEEE-TPDS","10.1109/TPDS.2021.3085210","https://doi.org/10.1109/TPDS.2021.3085210","journals/tpds/GilPRA22"
"doi:10.1109/TPDS.2021.3084104","Error-Compensated Sparsification for Communication-Efficient Decentralized Training in Edge Environment","Haozhao Wang","2022","IEEE-TPDS","10.1109/TPDS.2021.3084104","https://doi.org/10.1109/TPDS.2021.3084104","journals/tpds/WangGQLL22"
"doi:10.1109/TPDS.2021.3084816","Capelin: Data-Driven Compute Capacity Procurement for Cloud Datacenters Using Portfolios of Scenarios","Georgios Andreadis","2022","IEEE-TPDS","10.1109/TPDS.2021.3084816","https://doi.org/10.1109/TPDS.2021.3084816","journals/tpds/AndreadisMBI22"
"doi:10.1109/TPDS.2021.3086274","$run$ runData: Re-Distributing Data via Piggybacking for Geo-Distributed Data Analytics Over Edges","Yibo Jin","2022","IEEE-TPDS","10.1109/TPDS.2021.3086274","https://doi.org/10.1109/TPDS.2021.3086274","journals/tpds/JinQGZJL22"
"doi:10.1109/TPDS.2021.3087352","Optimal Repair-Scaling Trade-off in Locally Repairable Codes: Analysis and Evaluation","Si Wu","2022","IEEE-TPDS","10.1109/TPDS.2021.3087352","https://doi.org/10.1109/TPDS.2021.3087352","journals/tpds/WuSLX22"
"doi:10.1109/TPDS.2021.3084813","Optimizing Depthwise Separable Convolution Operations on GPUs","Gangzhao Lu","2022","IEEE-TPDS","10.1109/TPDS.2021.3084813","https://doi.org/10.1109/TPDS.2021.3084813","journals/tpds/LuZW22"
"doi:10.1109/TPDS.2021.3079202","Horus: Interference-Aware and Prediction-Based Scheduling in Deep Learning Systems","Gingfung Yeung","2022","IEEE-TPDS","10.1109/TPDS.2021.3079202","https://doi.org/10.1109/TPDS.2021.3079202","journals/tpds/YeungBYFHG22"
"doi:10.1109/TPDS.2021.3087349","COSCO: Container Orchestration Using Co-Simulation and Gradient Based Optimization for Fog Computing Environments","Shreshth Tuli","2022","IEEE-TPDS","10.1109/TPDS.2021.3087349","https://doi.org/10.1109/TPDS.2021.3087349","journals/tpds/TuliPSCJ22"
"doi:10.1109/TPDS.2021.3090315","FlitZip: Effective Packet Compression for NoC in MultiProcessor System-on-Chip","Dipika Deb","2022","IEEE-TPDS","10.1109/TPDS.2021.3090315","https://doi.org/10.1109/TPDS.2021.3090315","journals/tpds/DebKJ22"
"doi:10.1109/TPDS.2021.3090759","Efficient Distributed Approaches to Core Maintenance on Large Dynamic Graphs","Tongfeng Weng","2022","IEEE-TPDS","10.1109/TPDS.2021.3090759","https://doi.org/10.1109/TPDS.2021.3090759","journals/tpds/WengZLPL22"
"doi:10.1109/TPDS.2021.3064966","Elastic Deep Learning in Multi-Tenant GPU Clusters","Yidi Wu","2022","IEEE-TPDS","10.1109/TPDS.2021.3064966","https://doi.org/10.1109/TPDS.2021.3064966","journals/tpds/WuMYLCHCYY22"
"doi:10.1109/TPDS.2021.3090328","A Pattern-Based SpGEMM Library for Multi-Core and Many-Core Architectures","Zhen Xie","2022","IEEE-TPDS","10.1109/TPDS.2021.3090328","https://doi.org/10.1109/TPDS.2021.3090328","journals/tpds/XieTLS22"
"doi:10.1109/TPDS.2021.3090330","Scalable, Confidential and Survivable Software Updates","Federico Magnanini","2022","IEEE-TPDS","10.1109/TPDS.2021.3090330","https://doi.org/10.1109/TPDS.2021.3090330","journals/tpds/MagnaniniFC22"
"doi:10.1109/TPDS.2021.3090331","Communication-Efficient Federated Learning With Compensated Overlap-FedAvg","Yuhao Zhou","2022","IEEE-TPDS","10.1109/TPDS.2021.3090331","https://doi.org/10.1109/TPDS.2021.3090331","journals/tpds/ZhouYL22"
"doi:10.1109/TPDS.2021.3090587","Energy-Efficient Cache-Aware Scheduling on Heterogeneous Multicore Systems","Saad Zia Sheikh","2022","IEEE-TPDS","10.1109/TPDS.2021.3090587","https://doi.org/10.1109/TPDS.2021.3090587","journals/tpds/SheikhP22"
