"paper_id","title","authors","year","venue","doi","url","dblp_id"
"doi:10.1109/TVLSI.2023.3339268","Guest Editorial Selected Papers From IEEE Nordic Circuits and Systems Conference (NorCAS) 2022","Jari Nurmi","2024","IEEE-TVLSI","10.1109/TVLSI.2023.3339268","https://doi.org/10.1109/TVLSI.2023.3339268","journals/tvlsi/NurmiAS24"
"doi:10.1109/TVLSI.2023.3326159","Reconfigurable Signal Processing and DSP Hardware Generator for 5G and Beyond Transmitters","Agnimesh Ghosh","2024","IEEE-TVLSI","10.1109/TVLSI.2023.3326159","https://doi.org/10.1109/TVLSI.2023.3326159","journals/tvlsi/GhoshSCBSGVRKU24"
"doi:10.1109/TVLSI.2023.3317926","HW-FUTEX: Hardware-Assisted Futex Syscall","Lars Nolte","2024","IEEE-TVLSI","10.1109/TVLSI.2023.3317926","https://doi.org/10.1109/TVLSI.2023.3317926","journals/tvlsi/NolteTJHSWH24"
"doi:10.1109/TVLSI.2023.3308262","Fully Digital, Standard-Cell-Based Multifunction Compute-in-Memory Arrays for Genome Sequencing","Christian Lanius","2024","IEEE-TVLSI","10.1109/TVLSI.2023.3308262","https://doi.org/10.1109/TVLSI.2023.3308262","journals/tvlsi/LaniusG24"
"doi:10.1109/TVLSI.2023.3326876","A Review of IC Drivers for VCSELs in Datacom Applications","Siavash Mowlavi","2024","IEEE-TVLSI","10.1109/TVLSI.2023.3326876","https://doi.org/10.1109/TVLSI.2023.3326876","journals/tvlsi/MowlaviGGS24"
"doi:10.1109/TVLSI.2023.3315417","Noise Analysis and Design Methodology of Chopper Amplifiers With Analog DC-Servo Loop for Biopotential Acquisition Applications","Yu-Kai Huang","2024","IEEE-TVLSI","10.1109/TVLSI.2023.3315417","https://doi.org/10.1109/TVLSI.2023.3315417","journals/tvlsi/HuangR24"
"doi:10.1109/TVLSI.2023.3329360","Stream Processing Architectures for Continuous ECG Monitoring Using Subsampling- Based Classifiers","Johnson Loh","2024","IEEE-TVLSI","10.1109/TVLSI.2023.3329360","https://doi.org/10.1109/TVLSI.2023.3329360","journals/tvlsi/LohG24"
"doi:10.1109/TVLSI.2023.3320279","Design and Analysis of the Leapfrog Control-Bounded A/D Converter","Fredrik Feyling","2024","IEEE-TVLSI","10.1109/TVLSI.2023.3320279","https://doi.org/10.1109/TVLSI.2023.3320279","journals/tvlsi/FeylingMWLY24"
"doi:10.1109/TVLSI.2023.3318468","Optimized Two-Step Store Control for MTJ-Based Nonvolatile Flip-Flops to Minimize Store Energy Under Process and Temperature Variations","Kimiyoshi Usami","2024","IEEE-TVLSI","10.1109/TVLSI.2023.3318468","https://doi.org/10.1109/TVLSI.2023.3318468","journals/tvlsi/UsamiYKASHB24"
"doi:10.1109/TVLSI.2023.3305597","FPGA Crystal Oscillator Circuit Emulation Based on Wave Digital Filter","Abdulaziz Alshaya","2024","IEEE-TVLSI","10.1109/TVLSI.2023.3305597","https://doi.org/10.1109/TVLSI.2023.3305597","journals/tvlsi/AlshayaPP24"
"doi:10.1109/TVLSI.2023.3323562","Nonvolatile Latch Designs With Node-Upset Tolerance and Recovery Using Magnetic Tunnel Junctions and CMOS","Aibin Yan","2024","IEEE-TVLSI","10.1109/TVLSI.2023.3323562","https://doi.org/10.1109/TVLSI.2023.3323562","journals/tvlsi/YanWCHNGW24"
"doi:10.1109/TVLSI.2023.3328717","Soft-Error-Aware SRAM With Multinode Upset Tolerance for Aerospace Applications","Na Bai","2024","IEEE-TVLSI","10.1109/TVLSI.2023.3328717","https://doi.org/10.1109/TVLSI.2023.3328717","journals/tvlsi/BaiXXWWZ24"
"doi:10.1109/TVLSI.2023.3328592","CAUTS: Clock Tree Optimization via Skewed Cells With Complementary Asymmetrical Uniform Transistor Sizing","Pengcheng Huang","2024","IEEE-TVLSI","10.1109/TVLSI.2023.3328592","https://doi.org/10.1109/TVLSI.2023.3328592","journals/tvlsi/HuangWZY24"
"doi:10.1109/TVLSI.2023.3300910","PeakEngine: A Deterministic On-the-Fly Pruning Neural Network Accelerator for Hearing Instruments","Zuzana Jelcicová","2024","IEEE-TVLSI","10.1109/TVLSI.2023.3300910","https://doi.org/10.1109/TVLSI.2023.3300910","journals/tvlsi/JelcicovaKAS24"
