"paper_id","title","authors","year","venue","doi","url","dblp_id"
"doi:10.1145/3613424.3614272","Clockhands: Rename-free Instruction Set Architecture for Out-of-order Processors","Toru Koizumi","2023","MICRO","10.1145/3613424.3614272","https://doi.org/10.1145/3613424.3614272","conf/micro/0001SSADKIS23"
"doi:10.1145/3613424.3614255","Decoupled Vector Runahead","Ajeya Naithani","2023","MICRO","10.1145/3613424.3614255","https://doi.org/10.1145/3613424.3614255","conf/micro/NaithaniR00E23"
"doi:10.1145/3613424.3614311","CryptoMMU: Enabling Scalable and Secure Access Control of Third-Party Accelerators","Faiz Alam","2023","MICRO","10.1145/3613424.3614311","https://doi.org/10.1145/3613424.3614311","conf/micro/AlamLBA23"
"doi:10.1145/3613424.3614275","Phantom: Exploiting Decoder-detectable Mispredictions","Johannes Wikner","2023","MICRO","10.1145/3613424.3614275","https://doi.org/10.1145/3613424.3614275","conf/micro/WiknerTR23"
"doi:10.1145/3613424.3614280","AuRORA: Virtualized Accelerator Orchestration for Multi-Tenant Workloads","Seah Kim","2023","MICRO","10.1145/3613424.3614280","https://doi.org/10.1145/3613424.3614280","conf/micro/KimZANS23"
"doi:10.1145/3613424.3614282","UNICO: Unified Hardware Software Co-Optimization for Robust Neural Network Acceleration","Bahador Rashidi","2023","MICRO","10.1145/3613424.3614282","https://doi.org/10.1145/3613424.3614282","conf/micro/RashidiGLWZNS23"
"doi:10.1145/3613424.3623783","Spatula: A Hardware Accelerator for Sparse Matrix Factorization","Axel Feldmann","2023","MICRO","10.1145/3613424.3623783","https://doi.org/10.1145/3613424.3623783","conf/micro/Feldmann023"
"doi:10.1145/3613424.3614256","Demystifying CXL Memory with Genuine CXL-Ready Systems and Devices","Yan Sun","2023","MICRO","10.1145/3613424.3614256","https://doi.org/10.1145/3613424.3614256","conf/micro/SunYYKSHJALJ0AX23"
"doi:10.1145/3613424.3623795","Memento: Architectural Support for Ephemeral Memory Management in Serverless Environments","Ziqi Wang","2023","MICRO","10.1145/3613424.3623795","https://doi.org/10.1145/3613424.3623795","conf/micro/00070LJKM023"
"doi:10.1145/3613424.3614285","Simultaneous and Heterogenous Multithreading","Kuan-Chieh Hsu","2023","MICRO","10.1145/3613424.3614285","https://doi.org/10.1145/3613424.3614285","conf/micro/Hsu023"
"doi:10.1145/3613424.3614257","Accelerating RTL Simulation with Hardware-Software Co-Design","Fares Elsabbagh","2023","MICRO","10.1145/3613424.3614257","https://doi.org/10.1145/3613424.3614257","conf/micro/ElsabbaghSYNE023"
"doi:10.1145/3613424.3623794","Fast, Robust and Transferable Prediction for Hardware Logic Synthesis","Ceyu Xu","2023","MICRO","10.1145/3613424.3623794","https://doi.org/10.1145/3613424.3623794","conf/micro/XuSWW23"
"doi:10.1145/3613424.3614301","Khronos: Fusing Memory Access for Improved Hardware RTL Simulation","Kexing Zhou","2023","MICRO","10.1145/3613424.3614301","https://doi.org/10.1145/3613424.3614301","conf/micro/Zhou0LWH23"
"doi:10.1145/3613424.3614273","SecureLoop: Design Space Exploration of Secure DNN Accelerators","Kyungmi Lee","2023","MICRO","10.1145/3613424.3614273","https://doi.org/10.1145/3613424.3614273","conf/micro/LeeYEC23"
"doi:10.1145/3613424.3623797","DOSA: Differentiable Model-Based One-Loop Search for DNN Accelerators","Charles Hong","2023","MICRO","10.1145/3613424.3623797","https://doi.org/10.1145/3613424.3623797","conf/micro/Hong0DSS23"
