"paper_id","title","authors","year","venue","doi","url","dblp_id"
"dblp:conf/osdi/LazarevGTACZD24","Sabre: Hardware-Accelerated Snapshot Compression for Serverless MicroVMs","Nikita Lazarev","2024","OSDI","","https://dblp.org/rec/conf/osdi/LazarevGTACZD24","conf/osdi/LazarevGTACZD24"
"dblp:conf/osdi/XiangLD0RY024","Nomad: Non-Exclusive Memory Tiering via Transactional Page Migration","Lingfeng Xiang","2024","OSDI","","https://dblp.org/rec/conf/osdi/XiangLD0RY024","conf/osdi/XiangLD0RY024"
"dblp:conf/osdi/ZhongBWWAAHKHCC24","Managing Memory Tiers with CXL in Virtualized Environments","Yuhong Zhong","2024","OSDI","","https://dblp.org/rec/conf/osdi/ZhongBWWAAHKHCC24","conf/osdi/ZhongBWWAAHKHCC24"
"dblp:conf/osdi/LuoSRS24","Harvesting Memory-bound CPU Stall Cycles in Software with MSH","Zhihong Luo","2024","OSDI","","https://dblp.org/rec/conf/osdi/LuoSRS24","conf/osdi/LuoSRS24"
"dblp:conf/osdi/ChenLWMQ00L0C0024","A Tale of Two Paths: Toward a Hybrid Data Plane for Efficient Far-Memory Applications","Lei Chen","2024","OSDI","","https://dblp.org/rec/conf/osdi/ChenLWMQ00L0C0024","conf/osdi/ChenLWMQ00L0C0024"
"dblp:conf/osdi/MaQLYNLW0K024","DRust: Language-Guided Distributed Shared Memory with Fine Granularity, Full Transparency, and Ultra Efficiency","Haoran Ma","2024","OSDI","","https://dblp.org/rec/conf/osdi/MaQLYNLW0K024","conf/osdi/MaQLYNLW0K024"
"dblp:conf/osdi/AgrawalKPMKGTR24","Taming Throughput-Latency Tradeoff in LLM Inference with Sarathi-Serve","Amey Agrawal","2024","OSDI","","https://dblp.org/rec/conf/osdi/AgrawalKPMKGTR24","conf/osdi/AgrawalKPMKGTR24"
"dblp:conf/osdi/FuXHBUPM24","ServerlessLLM: Low-Latency Serverless Inference for Large Language Models","Yao Fu","2024","OSDI","","https://dblp.org/rec/conf/osdi/FuXHBUPM24","conf/osdi/FuXHBUPM24"
"dblp:conf/osdi/LeeLSS24","InfiniGen: Efficient Generative Inference of Large Language Models with Dynamic KV Cache Management","Wonbeom Lee","2024","OSDI","","https://dblp.org/rec/conf/osdi/LeeLSS24","conf/osdi/LeeLSS24"
"dblp:conf/osdi/SunHZXZL024","Llumnix: Dynamic Scheduling for Large Language Model Serving","Biao Sun","2024","OSDI","","https://dblp.org/rec/conf/osdi/SunHZXZL024","conf/osdi/SunHZXZL024"
"dblp:conf/osdi/ZhongLCHZL0024","DistServe: Disaggregating Prefill and Decoding for Goodput-optimized Large Language Model Serving","Yinmin Zhong","2024","OSDI","","https://dblp.org/rec/conf/osdi/ZhongLCHZL0024","conf/osdi/ZhongLCHZL0024"
"dblp:conf/osdi/HeKZRLPBA24","ACCL+: an FPGA-Based Collective Engine for Distributed Applications","Zhenhao He","2024","OSDI","","https://dblp.org/rec/conf/osdi/HeKZRLPBA24","conf/osdi/HeKZRLPBA24"
"dblp:conf/osdi/YuZZSP024","Beaver: Practical Partial Snapshots for Distributed Cloud Services","Liangcheng Yu","2024","OSDI","","https://dblp.org/rec/conf/osdi/YuZZSP024","conf/osdi/YuZZSP024"
"dblp:conf/osdi/ZhangC0024","Fast and Scalable In-network Lock Management Using Lock Fission","Hanze Zhang","2024","OSDI","","https://dblp.org/rec/conf/osdi/ZhangC0024","conf/osdi/ZhangC0024"
"dblp:conf/osdi/CamaioniGMRVV24","Chop Chop: Byzantine Atomic Broadcast to the Network Limit","Martina Camaioni","2024","OSDI","","https://dblp.org/rec/conf/osdi/CamaioniGMRVV24","conf/osdi/CamaioniGMRVV24"
"dblp:conf/osdi/ZhaiYPZLLYJZ0Z24","Enabling Tensor Language Model to Assist in Generating High-Performance Tensor Programs for Deep Learning","Yi Zhai","2024","OSDI","","https://dblp.org/rec/conf/osdi/ZhaiYPZLLYJZ0Z24","conf/osdi/ZhaiYPZLLYJZ0Z24"
"dblp:conf/osdi/WangMCZX0ZM0C0Y24","Ladder: Enabling Efficient Low-Precision Deep Learning Computing through Hardware-aware Tensor Transformation","Lei Wang","2024","OSDI","","https://dblp.org/rec/conf/osdi/WangMCZX0ZM0C0Y24","conf/osdi/WangMCZX0ZM0C0Y24"
"dblp:conf/osdi/ZhangIBSZSO24","Caravan: Practical Online Learning of In-Network ML Models with Labeling Agents","Qizheng Zhang","2024","OSDI","","https://dblp.org/rec/conf/osdi/ZhangIBSZSO24","conf/osdi/ZhangIBSZSO24"
"dblp:conf/osdi/LinMZ0Z0MCSYXYZ24","nnScaler: Constraint-Guided Parallelization Plan Generation for Deep Learning Training","Zhiqi Lin","2024","OSDI","","https://dblp.org/rec/conf/osdi/LinMZ0Z0MCSYXYZ24","conf/osdi/LinMZ0Z0MCSYXYZ24"
"dblp:conf/osdi/Liu0DHJ0M24","ChameleonAPI: Automatic and Efficient Customization of Neural Networks for ML Applications","Yuhan Liu","2024","OSDI","","https://dblp.org/rec/conf/osdi/Liu0DHJ0M24","conf/osdi/Liu0DHJ0M24"
"dblp:conf/osdi/LeBlancTBC24","SquirrelFS: using the Rust compiler to check file-system crash consistency","Hayley LeBlanc","2024","OSDI","","https://dblp.org/rec/conf/osdi/LeBlancTBC24","conf/osdi/LeBlancTBC24"
"dblp:conf/osdi/SkiadopoulosXZC24","High-throughput and Flexible Host Networking for Accelerated Computing","Athinagoras Skiadopoulos","2024","OSDI","","https://dblp.org/rec/conf/osdi/SkiadopoulosXZC24","conf/osdi/SkiadopoulosXZC24"
"dblp:conf/osdi/WuMI0JL24","IntOS: Persistent Embedded Operating System and Language Support for Multi-threaded Intermittent Computing","Yilun Wu","2024","OSDI","","https://dblp.org/rec/conf/osdi/WuMI0JL24","conf/osdi/WuMI0JL24"
"dblp:conf/osdi/0006024","Data-flow Availability: Achieving Timing Assurance in Autonomous Systems","Ao Li","2024","OSDI","","https://dblp.org/rec/conf/osdi/0006024","conf/osdi/0006024"
"dblp:conf/osdi/0001MJWLLLWHLYW24","Microkernel Goes General: Performance and Compatibility in the HongMeng Production Microkernel","Haibo Chen","2024","OSDI","","https://dblp.org/rec/conf/osdi/0001MJWLLLWHLYW24","conf/osdi/0001MJWLLLWHLYW24"
"dblp:conf/osdi/FaisalMBLD24","When will my ML Job finish? Toward providing Completion Time Estimates through Predictability-Centric Scheduling","Abdullah Bin Faisal","2024","OSDI","","https://dblp.org/rec/conf/osdi/FaisalMBLD24","conf/osdi/FaisalMBLD24"
"dblp:conf/osdi/KumarRMKPNLWT24","Optimizing Resource Allocation in Hyperscale Datacenters: Scalability, Usability, and Experiences","Neeraj Kumar","2024","OSDI","","https://dblp.org/rec/conf/osdi/KumarRMKPNLWT24","conf/osdi/KumarRMKPNLWT24"
"dblp:conf/osdi/WangGR0ZWFC024","μSlope: High Compression and Fast Search on Semi-Structured Logs","Rui Wang","2024","OSDI","","https://dblp.org/rec/conf/osdi/WangGR0ZWFC024","conf/osdi/WangGR0ZWFC024"
"dblp:conf/osdi/Chow0WHBZQMSZPW24","ServiceLab: Preventing Tiny Performance Regressions at Hyperscale through Pre-Production Testing","Mike Chow","2024","OSDI","","https://dblp.org/rec/conf/osdi/Chow0WHBZQMSZPW24","conf/osdi/Chow0WHBZQMSZPW24"
"dblp:conf/osdi/Choudhury0PSJLD24","MAST: Global Scheduling of ML Training across Geo-Distributed Datacenters at Hyperscale","Arnab Choudhury","2024","OSDI","","https://dblp.org/rec/conf/osdi/Choudhury0PSJLD24","conf/osdi/Choudhury0PSJLD24"
"dblp:conf/osdi/IyerAC24","Automatically Reasoning About How Systems Code Uses the CPU Cache","Rishabh R. Iyer","2024","OSDI","","https://dblp.org/rec/conf/osdi/IyerAC24","conf/osdi/IyerAC24"
"dblp:conf/osdi/ZhouACGHC24","VeriSMo: A Verified Security Module for Confidential VMs","Ziqiao Zhou","2024","OSDI","","https://dblp.org/rec/conf/osdi/ZhouACGHC24","conf/osdi/ZhouACGHC24"
"dblp:conf/osdi/Sun024","Validating the eBPF Verifier via State Embedding","Hao Sun","2024","OSDI","","https://dblp.org/rec/conf/osdi/Sun024","conf/osdi/Sun024"
"dblp:conf/osdi/Zou00024","Using Dynamically Layered Definite Releases for Verifying the RefFS File System","Mo Zou","2024","OSDI","","https://dblp.org/rec/conf/osdi/Zou00024","conf/osdi/Zou00024"
"dblp:conf/osdi/0013MGMCH0PSSX24","Anvil: Verifying Liveness of Cluster Management Controllers","Xudong Sun","2024","OSDI","","https://dblp.org/rec/conf/osdi/0013MGMCH0PSSX24","conf/osdi/0013MGMCH0PSSX24"
"dblp:conf/osdi/AguileraBGMXZ24","DSig: Breaking the Barrier of Signatures in Data Centers","Marcos K. Aguilera","2024","OSDI","","https://dblp.org/rec/conf/osdi/AguileraBGMXZ24","conf/osdi/AguileraBGMXZ24"
"dblp:conf/osdi/WangSXWTSLLDLZW24","Ransom Access Memories: Achieving Practical Ransomware Protection in Cloud with DeftPunk","Zhongyu Wang","2024","OSDI","","https://dblp.org/rec/conf/osdi/WangSXWTSLLDLZW24","conf/osdi/WangSXWTSLLDLZW24"
"dblp:conf/osdi/ConnellFSDP24","Secret Key Recovery in a Global-Scale End-to-End Encryption System","Graeme Connell","2024","OSDI","","https://dblp.org/rec/conf/osdi/ConnellFSDP24","conf/osdi/ConnellFSDP24"
"dblp:conf/osdi/KavianiTKP24","Flock: A Framework for Deploying On-Demand Distributed Trust","Darya Kaviani","2024","OSDI","","https://dblp.org/rec/conf/osdi/KavianiTKP24","conf/osdi/KavianiTKP24"
"dblp:conf/osdi/McAllisterWBBAB24","FairyWREN: A Sustainable Cache for Emerging Write-Read-Erase Flash Interfaces","Sara McAllister","2024","OSDI","","https://dblp.org/rec/conf/osdi/McAllisterWBBAB24","conf/osdi/McAllisterWBBAB24"
"dblp:conf/osdi/QianG24","Massively Parallel Multi-Versioned Transaction Processing","Shujian Qian","2024","OSDI","","https://dblp.org/rec/conf/osdi/QianG24","conf/osdi/QianG24"
"dblp:conf/osdi/ShuQZL024","Burstable Cloud Block Storage with Data Processing Units","Junyi Shu","2024","OSDI","","https://dblp.org/rec/conf/osdi/ShuQZL024","conf/osdi/ShuQZL024"
"dblp:conf/osdi/Zhang0Y24","Motor: Enabling Multi-Versioning for Distributed Transactions on Disaggregated Memory","Ming Zhang","2024","OSDI","","https://dblp.org/rec/conf/osdi/Zhang0Y24","conf/osdi/Zhang0Y24"
"dblp:conf/osdi/Jiang024","Detecting Logic Bugs in Database Engines via Equivalent Expression Transformation","Zu-Ming Jiang","2024","OSDI","","https://dblp.org/rec/conf/osdi/Jiang024","conf/osdi/Jiang024"
"dblp:conf/osdi/ZhangHKCP24","Inductive Invariants That Spark Joy: Using Invariant Taxonomies to Streamline Distributed Protocol Proofs","Tony Nuda Zhang","2024","OSDI","","https://dblp.org/rec/conf/osdi/ZhangHKCP24","conf/osdi/ZhangHKCP24"
"dblp:conf/osdi/0002IKEBC24","Performance Interfaces for Hardware Accelerators","Jiacheng Ma","2024","OSDI","","https://dblp.org/rec/conf/osdi/0002IKEBC24","conf/osdi/0002IKEBC24"
"dblp:conf/osdi/GoldweberYVK24","IronSpec: Increasing the Reliability of Formal Specifications","Eli Goldweber","2024","OSDI","","https://dblp.org/rec/conf/osdi/GoldweberYVK24","conf/osdi/GoldweberYVK24"
"dblp:conf/osdi/AhnHKJ24","Identifying On-/Off-CPU Bottlenecks Together with Blocked Samples","Minwoo Ahn","2024","OSDI","","https://dblp.org/rec/conf/osdi/AhnHKJ24","conf/osdi/AhnHKJ24"
"dblp:conf/osdi/WuZZSL024","dLoRA: Dynamically Orchestrating Requests and Adapters for LoRA LLM Serving","Bingyang Wu","2024","OSDI","","https://dblp.org/rec/conf/osdi/WuZZSL024","conf/osdi/WuZZSL024"
"dblp:conf/osdi/LinHZ00CQ24","Parrot: Efficient Serving of LLM-based Applications with Semantic Variable","Chaofan Lin","2024","OSDI","","https://dblp.org/rec/conf/osdi/LinHZ00CQ24","conf/osdi/LinHZ00CQ24"
"dblp:conf/osdi/ShubhaSI24","USHER: Holistic Interference Avoidance for Resource Optimized ML Inference","Sudipta Saha Shubha","2024","OSDI","","https://dblp.org/rec/conf/osdi/ShubhaSI24","conf/osdi/ShubhaSI24"
"dblp:conf/osdi/0007CLZ0ZGS24","Fairness in Serving Large Language Models","Ying Sheng","2024","OSDI","","https://dblp.org/rec/conf/osdi/0007CLZ0ZGS24","conf/osdi/0007CLZ0ZGS24"
"dblp:conf/osdi/ZhuangZXQB0S24","MonoNN: Enabling a New Monolithic Optimization Space for Neural Network Inference Tasks on Modern GPU-Centric Architectures","Donglin Zhuang","2024","OSDI","","https://dblp.org/rec/conf/osdi/ZhuangZXQB0S24","conf/osdi/ZhuangZXQB0S24"
