"paper_id","title","authors","year","venue","doi","url","dblp_id"
"doi:10.1007/978-3-031-41673-6_1","Automation of Programming for Promising High-Performance Computing Systems","Vladimir A. Bakhtin","2023","PACT","10.1007/978-3-031-41673-6_1","https://doi.org/10.1007/978-3-031-41673-6_1","conf/pact/BakhtinZKKY23"
"doi:10.1007/978-3-031-41673-6_2","Automatic Parallelization of Iterative Loops Nests on Distributed Memory Computing Systems","Anton P. Bagliy","2023","PACT","10.1007/978-3-031-41673-6_2","https://doi.org/10.1007/978-3-031-41673-6_2","conf/pact/BagliyMS23"
"doi:10.1007/978-3-031-41673-6_3","Didal: Distributed Data Library for Development of Parallel Fragmented Programs","Victor Malyshkin","2023","PACT","10.1007/978-3-031-41673-6_3","https://doi.org/10.1007/978-3-031-41673-6_3","conf/pact/MalyshkinS23"
"doi:10.1007/978-3-031-41673-6_4","Trace Balancing Technique for Trace Playback in LuNA System","Victor Malyshkin","2023","PACT","10.1007/978-3-031-41673-6_4","https://doi.org/10.1007/978-3-031-41673-6_4","conf/pact/MalyshkinPL23"
"doi:10.1007/978-3-031-41673-6_5","Case Study for Running Memory-Bound Kernels on RISC-V CPUs","Valentin Volokitin","2023","PACT","10.1007/978-3-031-41673-6_5","https://doi.org/10.1007/978-3-031-41673-6_5","conf/pact/VolokitinKKLM23"
"doi:10.1007/978-3-031-41673-6_6","Pair of Genes: Technical Validation of Distributed Causal Role Attribution to Gene Network Expansion","Diana Dolgaleva","2023","PACT","10.1007/978-3-031-41673-6_6","https://doi.org/10.1007/978-3-031-41673-6_6","conf/pact/DolgalevaPPBCAR23"
"doi:10.1007/978-3-031-41673-6_7","HiTViSc: High-Throughput Virtual Screening as a Service","Natalia Nikitina","2023","PACT","10.1007/978-3-031-41673-6_7","https://doi.org/10.1007/978-3-031-41673-6_7","conf/pact/NikitinaI23"
"doi:10.1007/978-3-031-41673-6_8","Expanding the Cellular Automata Topologies Library for Parallel Implementation of Synchronous Cellular Automata","Yuri Medvedev","2023","PACT","10.1007/978-3-031-41673-6_8","https://doi.org/10.1007/978-3-031-41673-6_8","conf/pact/MedvedevKT23"
"doi:10.1007/978-3-031-41673-6_9","Parallel-Batched Interpolation Search Tree","Vitaly Aksenov","2023","PACT","10.1007/978-3-031-41673-6_9","https://doi.org/10.1007/978-3-031-41673-6_9","conf/pact/AksenovKM23"
"doi:10.1007/978-3-031-41673-6_10","Parallel Generation and Analysis of Optimal Chordal Ring Networks Using Python Tools on Kunpeng Processors","Oleg G. Monakhov","2023","PACT","10.1007/978-3-031-41673-6_10","https://doi.org/10.1007/978-3-031-41673-6_10","conf/pact/MonakhovMK23"
"doi:10.1007/978-3-031-41673-6_11","Combinatorial Aspect of Code Restructuring for Virtual Memory Computer Systems Under WS Swapping Strategy","Stepan Vyazigin","2023","PACT","10.1007/978-3-031-41673-6_11","https://doi.org/10.1007/978-3-031-41673-6_11","conf/pact/VyaziginM23"
"doi:10.1007/978-3-031-41673-6_12","Probabilistic Resources Allocation with Group Dependencies in Distributed Computing","Victor V. Toporkov","2023","PACT","10.1007/978-3-031-41673-6_12","https://doi.org/10.1007/978-3-031-41673-6_12","conf/pact/ToporkovYB23"
"doi:10.1007/978-3-031-41673-6_13","Multicriteria Task Distribution Problem for Resource-Saving Data Processing","Anna Klimenko","2023","PACT","10.1007/978-3-031-41673-6_13","https://doi.org/10.1007/978-3-031-41673-6_13","conf/pact/KlimenkoB23"
"doi:10.1007/978-3-031-41673-6_14","Scheduling of Workflows with Task Resource Requirements in Cluster Environments","Oleg V. Sukhoroslov","2023","PACT","10.1007/978-3-031-41673-6_14","https://doi.org/10.1007/978-3-031-41673-6_14","conf/pact/Sukhoroslov23"
"doi:10.1007/978-3-031-41673-6_15","Verifying the Correctness of HPC Performance Monitoring Data","Danil Kashin","2023","PACT","10.1007/978-3-031-41673-6_15","https://doi.org/10.1007/978-3-031-41673-6_15","conf/pact/KashinV23"
