"paper_id","title","authors","year","venue","doi","url","dblp_id"
"doi:10.1145/3519939.3523445","Modular information flow through ownership","Will Crichton","2022","PLDI","10.1145/3519939.3523445","https://doi.org/10.1145/3519939.3523445","conf/pldi/CrichtonPAH22"
"doi:10.1145/3519939.3523725","ANOSY: approximated knowledge synthesis with refinement types for declassification","Sankha Narayan Guria","2022","PLDI","10.1145/3519939.3523725","https://doi.org/10.1145/3519939.3523725","conf/pldi/GuriaVGP22"
"doi:10.1145/3519939.3523708","Hardening attack surfaces with formally proven binary format parsers","Nikhil Swamy","2022","PLDI","10.1145/3519939.3523708","https://doi.org/10.1145/3519939.3523708","conf/pldi/SwamyRRSNMVTCG22"
"doi:10.1145/3519939.3523717","P4BID: information flow control in p4","Karuna Grewal","2022","PLDI","10.1145/3519939.3523717","https://doi.org/10.1145/3519939.3523717","conf/pldi/GrewalDH22"
"doi:10.1145/3519939.3523730","Turning manual concurrent memory reclamation into automatic reference counting","Daniel Anderson","2022","PLDI","10.1145/3519939.3523730","https://doi.org/10.1145/3519939.3523730","conf/pldi/AndersonBW22"
"doi:10.1145/3519939.3523440","Low-latency, high-throughput garbage collection","Wenyu Zhao","2022","PLDI","10.1145/3519939.3523440","https://doi.org/10.1145/3519939.3523440","conf/pldi/ZhaoBM22"
"doi:10.1145/3519939.3523441","Mako: a low-pause, high-throughput evacuating collector for memory-disaggregated datacenters","Haoran Ma","2022","PLDI","10.1145/3519939.3523441","https://doi.org/10.1145/3519939.3523441","conf/pldi/MaLWQBBKX22"
"doi:10.1145/3519939.3523733","PaC-trees: supporting parallel and compressed purely-functional collections","Laxman Dhulipala","2022","PLDI","10.1145/3519939.3523733","https://doi.org/10.1145/3519939.3523733","conf/pldi/DhulipalaB0022"
"doi:10.1145/3519939.3523450","Type-directed program synthesis for RESTful APIs","Zheng Guo","2022","PLDI","10.1145/3519939.3523450","https://doi.org/10.1145/3519939.3523450","conf/pldi/GuoCT0SP22"
"doi:10.1145/3519939.3523709","Visualization question answering using introspective program synthesis","Yanju Chen","2022","PLDI","10.1145/3519939.3523709","https://doi.org/10.1145/3519939.3523709","conf/pldi/ChenY022"
"doi:10.1145/3519939.3523711","WebRobot: web robotic process automation using interactive programming-by-demonstration","Rui Dong","2022","PLDI","10.1145/3519939.3523711","https://doi.org/10.1145/3519939.3523711","conf/pldi/DongHLCW22"
"doi:10.1145/3519939.3523712","Synthesizing analytical SQL queries from computation demonstration","Xiangyu Zhou","2022","PLDI","10.1145/3519939.3523712","https://doi.org/10.1145/3519939.3523712","conf/pldi/ZhouBCW22"
"doi:10.1145/3519939.3523427","Finding typing compiler bugs","Stefanos Chaliasos","2022","PLDI","10.1145/3519939.3523427","https://doi.org/10.1145/3519939.3523427","conf/pldi/ChaliasosSSGLM22"
"doi:10.1145/3519939.3523700","IRDL: an IR definition language for SSA compilers","Mathieu Fehr","2022","PLDI","10.1145/3519939.3523700","https://doi.org/10.1145/3519939.3523700","conf/pldi/FehrNRA0G22"
"doi:10.1145/3519939.3523718","Sequential reasoning for optimizing compilers under weak memory concurrency","Minki Cho","2022","PLDI","10.1145/3519939.3523718","https://doi.org/10.1145/3519939.3523718","conf/pldi/ChoLLHL22"
"doi:10.1145/3519939.3523429","Can reactive synthesis and syntax-guided synthesis be friends?","Wonhyuk Choi","2022","PLDI","10.1145/3519939.3523429","https://doi.org/10.1145/3519939.3523429","conf/pldi/ChoiFPS22"
"doi:10.1145/3519939.3523726","Recursion synthesis with unrealizability witnesses","Azadeh Farzan","2022","PLDI","10.1145/3519939.3523726","https://doi.org/10.1145/3519939.3523726","conf/pldi/FarzanLN22"
"doi:10.1145/3519939.3523716","""Synthesizing input grammars"": a replication study","Bachir Bendrissou","2022","PLDI","10.1145/3519939.3523716","https://doi.org/10.1145/3519939.3523716","conf/pldi/BendrissouGZ22"
"doi:10.1145/3519939.3523442","Autoscheduling for sparse tensor algebra with an asymptotic cost model","Willow Ahrens","2022","PLDI","10.1145/3519939.3523442","https://doi.org/10.1145/3519939.3523442","conf/pldi/AhrensKA22"
"doi:10.1145/3519939.3523437","DISTAL: the distributed tensor algebra compiler","Rohan Yadav","2022","PLDI","10.1145/3519939.3523437","https://doi.org/10.1145/3519939.3523437","conf/pldi/YadavAK22"
"doi:10.1145/3519939.3523701","All you need is superword-level parallelism: systematic control-flow vectorization with SLP","Yishen Chen","2022","PLDI","10.1145/3519939.3523701","https://doi.org/10.1145/3519939.3523701","conf/pldi/ChenMA22"
"doi:10.1145/3519939.3523714","Warping cache simulation of polyhedral programs","Canberk Morelli","2022","PLDI","10.1145/3519939.3523714","https://doi.org/10.1145/3519939.3523714","conf/pldi/MorelliR22"
"doi:10.1145/3519939.3523735","Certified mergeable replicated data types","Vimala Soundarapandian","2022","PLDI","10.1145/3519939.3523735","https://doi.org/10.1145/3519939.3523735","conf/pldi/Soundarapandian22"
"doi:10.1145/3519939.3523426","Hamband: RDMA replicated data types","Farzin Houshmand","2022","PLDI","10.1145/3519939.3523426","https://doi.org/10.1145/3519939.3523426","conf/pldi/HoushmandSL22"
"doi:10.1145/3519939.3523724","RunTime-assisted convergence in replicated data types","Gowtham Kaki","2022","PLDI","10.1145/3519939.3523724","https://doi.org/10.1145/3519939.3523724","conf/pldi/KakiPL22"
"doi:10.1145/3519939.3523444","Adore: atomic distributed objects with certified reconfiguration","Wolf Honoré","2022","PLDI","10.1145/3519939.3523444","https://doi.org/10.1145/3519939.3523444","conf/pldi/HonoreSKS22"
"doi:10.1145/3519939.3523731","CycleQ: an efficient basis for cyclic equational reasoning","Eddie Jones","2022","PLDI","10.1145/3519939.3523731","https://doi.org/10.1145/3519939.3523731","conf/pldi/JonesOR22"
"doi:10.1145/3519939.3523449","Finding the dwarf: recovering precise types from WebAssembly binaries","Daniel Lehmann","2022","PLDI","10.1145/3519939.3523449","https://doi.org/10.1145/3519939.3523449","conf/pldi/0002P22"
"doi:10.1145/3519939.3523453","Abstract interpretation repair","Roberto Bruni","2022","PLDI","10.1145/3519939.3523453","https://doi.org/10.1145/3519939.3523453","conf/pldi/BruniGGR22"
"doi:10.1145/3519939.3523435","Differential cost analysis with simultaneous potentials and anti-potentials","Dorde Zikelic","2022","PLDI","10.1145/3519939.3523435","https://doi.org/10.1145/3519939.3523435","conf/pldi/ZikelicCBR22"
"doi:10.1145/3519939.3523443","A flexible type system for fearless concurrency","Mae Milano","2022","PLDI","10.1145/3519939.3523443","https://doi.org/10.1145/3519939.3523443","conf/pldi/MilanoTM22"
"doi:10.1145/3519939.3523720","A study of real-world data races in Golang","Milind Chabbi","2022","PLDI","10.1145/3519939.3523720","https://doi.org/10.1145/3519939.3523720","conf/pldi/ChabbiR22"
"doi:10.1145/3519939.3523723","Checking robustness to weak persistency models","Hamed Gorjiara","2022","PLDI","10.1145/3519939.3523723","https://doi.org/10.1145/3519939.3523723","conf/pldi/GorjiaraLLXD22"
"doi:10.1145/3519939.3523727","Sound sequentialization for concurrent program verification","Azadeh Farzan","2022","PLDI","10.1145/3519939.3523727","https://doi.org/10.1145/3519939.3523727","conf/pldi/FarzanKP22"
"doi:10.1145/3519939.3523452","Choosing mathematical function implementations for speed and accuracy","Ian Briggs","2022","PLDI","10.1145/3519939.3523452","https://doi.org/10.1145/3519939.3523452","conf/pldi/BriggsP22"
"doi:10.1145/3519939.3523721","Guaranteed bounds for posterior inference in universal probabilistic programming","Raven Beutner","2022","PLDI","10.1145/3519939.3523721","https://doi.org/10.1145/3519939.3523721","conf/pldi/BeutnerOZ22"
"doi:10.1145/3519939.3523447","Progressive polynomial approximations for fast correctly rounded math libraries","Mridul Aanjaneya","2022","PLDI","10.1145/3519939.3523447","https://doi.org/10.1145/3519939.3523447","conf/pldi/AanjaneyaLN22"
"doi:10.1145/3519939.3523710","A typed continuation-passing translation for lexical effect handlers","Philipp Schuster","2022","PLDI","10.1145/3519939.3523710","https://doi.org/10.1145/3519939.3523710","conf/pldi/SchusterB0O22"
"doi:10.1145/3519939.3523430","Deep and shallow types for gradual languages","Ben Greenman","2022","PLDI","10.1145/3519939.3523430","https://doi.org/10.1145/3519939.3523430","conf/pldi/Greenman22"
