"paper_id","title","authors","year","venue","doi","url","dblp_id"
"doi:10.1145/3731569.3764818","LithOS: An Operating System for Efficient Machine Learning on GPUs","Patrick H. Coppock","2025","SOSP","10.1145/3731569.3764818","https://doi.org/10.1145/3731569.3764818","conf/sosp/CoppockZSKYSSM025"
"doi:10.1145/3731569.3764809","μFork: Supporting POSIX fork Within a Single-Address-Space OS","John Alistair Kressel","2025","SOSP","10.1145/3731569.3764809","https://doi.org/10.1145/3731569.3764809","conf/sosp/KresselLO25"
"doi:10.1145/3731569.3764828","Tock: From Research To Securing 10 Million Computers","Leon Schuermann","2025","SOSP","10.1145/3731569.3764828","https://doi.org/10.1145/3731569.3764828","conf/sosp/SchuermannCGLLP25"
"doi:10.1145/3731569.3764811","Proto: A Guided Journey through Modern OS Construction","Wonkyo Choe","2025","SOSP","10.1145/3731569.3764811","https://doi.org/10.1145/3731569.3764811","conf/sosp/ChoeWBL25"
"doi:10.1145/3731569.3764844","CHERIoT RTOS: An OS for Fine-Grained Memory-Safe Compartments on Low-Cost Embedded Devices","Saar Amar","2025","SOSP","10.1145/3731569.3764844","https://doi.org/10.1145/3731569.3764844","conf/sosp/AmarCCFLLLMNSTW25"
"doi:10.1145/3731569.3764826","The Design and Implementation of a Virtual Firmware Monitor","Charly Castes","2025","SOSP","10.1145/3731569.3764826","https://doi.org/10.1145/3731569.3764826","conf/sosp/CastesCKRFBB25"
"doi:10.1145/3731569.3764812","Oasis: Pooling PCIe Devices Over CXL to Boost Utilization","Yuhong Zhong","2025","SOSP","10.1145/3731569.3764812","https://doi.org/10.1145/3731569.3764812","conf/sosp/ZhongBZS0PPFC25"
"doi:10.1145/3731569.3764805","Spirit: Fair Allocation of Interdependent Resources in Remote Memory Systems","SeungSeob Lee","2025","SOSP","10.1145/3731569.3764805","https://doi.org/10.1145/3731569.3764805","conf/sosp/LeePMK25"
"doi:10.1145/3731569.3764842","Scalable Far Memory: Balancing Faults and Evictions","Yueyang Pan","2025","SOSP","10.1145/3731569.3764842","https://doi.org/10.1145/3731569.3764842","conf/sosp/PanLURLBKK25"
"doi:10.1145/3731569.3764795","Device-Assisted Live Migration of RDMA Devices","Artem Y. Polyakov","2025","SOSP","10.1145/3731569.3764795","https://doi.org/10.1145/3731569.3764795","conf/sosp/PolyakovSSYDKSL25"
"doi:10.1145/3731569.3764801","Demeter: A Scalable and Elastic Tiered Memory Solution for Virtualized Cloud via Guest Delegation","Junliang Hu","2025","SOSP","10.1145/3731569.3764801","https://doi.org/10.1145/3731569.3764801","conf/sosp/HuHWY25"
"doi:10.1145/3731569.3764838","Robust LLM Training Infrastructure at ByteDance","Borui Wan","2025","SOSP","10.1145/3731569.3764838","https://doi.org/10.1145/3731569.3764838","conf/sosp/WanLSWZSWWWLYZJ25"
"doi:10.1145/3731569.3764839","Sailor: Automating Distributed Training over Dynamic, Heterogeneous, and Geo-distributed Clusters","Foteini Strati","2025","SOSP","10.1145/3731569.3764839","https://doi.org/10.1145/3731569.3764839","conf/sosp/StratiZMP0CB0DK25"
"doi:10.1145/3731569.3764849","DCP: Addressing Input Dynamism In Long-Context Training via Dynamic Context Parallelism","Chenyu Jiang","2025","SOSP","10.1145/3731569.3764849","https://doi.org/10.1145/3731569.3764849","conf/sosp/0002CT00025"
"doi:10.1145/3731569.3764850","TrainVerify: Equivalence-Based Verification for Distributed LLM Training","Yunchi Lu","2025","SOSP","10.1145/3731569.3764850","https://doi.org/10.1145/3731569.3764850","conf/sosp/LuM00Z0025"
"doi:10.1145/3731569.3764848","Mycroft: Tracing Dependencies in Collective Communication Towards Reliable LLM Training","Yangtao Deng","2025","SOSP","10.1145/3731569.3764848","https://doi.org/10.1145/3731569.3764848","conf/sosp/DengZWZZJXWSLBW25"
"doi:10.1145/3731569.3764835","Mitigating Application Resource Overload with Targeted Task Cancellation","Yigong Hu","2025","SOSP","10.1145/3731569.3764835","https://doi.org/10.1145/3731569.3764835","conf/sosp/HuZLGLKH25"
"doi:10.1145/3731569.3764832","Orthrus: Efficient and Timely Detection of Silent User Data Corruption in the Cloud with Resource-Adaptive Computation Validation","Chenxiao Liu","2025","SOSP","10.1145/3731569.3764832","https://doi.org/10.1145/3731569.3764832","conf/sosp/LiuZLXQDL0CD0W25"
"doi:10.1145/3731569.3764858","Optimistic Recovery for High-Availability Software via Partial Process State Preservation","Yuzhuo Jing","2025","SOSP","10.1145/3731569.3764858","https://doi.org/10.1145/3731569.3764858","conf/sosp/JingMCCHQCH25"
"doi:10.1145/3731569.3764846","COpter: Efficient Large-Scale Resource-Allocation via Continual Optimization","Suhas Jayaram Subramanya","2025","SOSP","10.1145/3731569.3764846","https://doi.org/10.1145/3731569.3764846","conf/sosp/SubramanyaDSG25"
"doi:10.1145/3731569.3764825","Fast End-to-End Performance Simulation of Accelerated Hardware-Software Stacks","Jiacheng Ma","2025","SOSP","10.1145/3731569.3764825","https://doi.org/10.1145/3731569.3764825","conf/sosp/0002KGIBC25"
"doi:10.1145/3731569.3764808","Characterizing Mobile SoC for Accelerating Heterogeneous LLM Inference","Le Chen","2025","SOSP","10.1145/3731569.3764808","https://doi.org/10.1145/3731569.3764808","conf/sosp/ChenFFWZXX025"
