"paper_id","title","authors","year","venue","doi","url","dblp_id"
"dblp:conf/usenix/Tennenhouse22","Surprise-Inspired Networking","David L. Tennenhouse","2022","USENIX-ATC","","https://dblp.org/rec/conf/usenix/Tennenhouse22","conf/usenix/Tennenhouse22"
"dblp:conf/usenix/BergmanCBS22","ZNSwap: un-Block your Swap","Shai Bergman","2022","USENIX-ATC","","https://dblp.org/rec/conf/usenix/BergmanCBS22","conf/usenix/BergmanCBS22"
"dblp:conf/usenix/ZouXS0022","Building a High-performance Fine-grained Deduplication Framework for Backup Storage with High Deduplication Ratio","Xiangyu Zou","2022","USENIX-ATC","","https://dblp.org/rec/conf/usenix/ZouXS0022","conf/usenix/ZouXS0022"
"dblp:conf/usenix/Yang0L22","Secure and Lightweight Deduplicated Storage via Shielded Deduplication-Before-Encryption","Zuoru Yang","2022","USENIX-ATC","","https://dblp.org/rec/conf/usenix/Yang0L22","conf/usenix/Yang0L22"
"dblp:conf/usenix/LiC0GBTZWHG22","RunD: A Lightweight Secure Container Runtime for High-density Deployment and High-concurrency Startup in Serverless Computing","Zijun Li","2022","USENIX-ATC","","https://dblp.org/rec/conf/usenix/LiC0GBTZWHG22","conf/usenix/LiC0GBTZWHG22"
"dblp:conf/usenix/LiG0CXZSMY0G22","Help Rather Than Recycle: Alleviating Cold Startup in Serverless Computing Through Inter-Function Container Sharing","Zijun Li","2022","USENIX-ATC","","https://dblp.org/rec/conf/usenix/LiG0CXZSMY0G22","conf/usenix/LiG0CXZSMY0G22"
"dblp:conf/usenix/ZhouT22","RRC: Responsive Replicated Containers","Diyu Zhou","2022","USENIX-ATC","","https://dblp.org/rec/conf/usenix/ZhouT22","conf/usenix/ZhouT22"
"dblp:conf/usenix/GuerraouiMPXYZ22","uKharon: A Membership Service for Microsecond Applications","Rachid Guerraoui","2022","USENIX-ATC","","https://dblp.org/rec/conf/usenix/GuerraouiMPXYZ22","conf/usenix/GuerraouiMPXYZ22"
"dblp:conf/usenix/WeiL0022","KRCORE: A Microsecond-scale RDMA Control Plane for Elastic Computing","Xingda Wei","2022","USENIX-ATC","","https://dblp.org/rec/conf/usenix/WeiL0022","conf/usenix/WeiL0022"
"dblp:conf/usenix/0001W0Z22","Zero-Change Object Transmission for Distributed Big Data Analytics","Mingyu Wu","2022","USENIX-ATC","","https://dblp.org/rec/conf/usenix/0001W0Z22","conf/usenix/0001W0Z22"
"dblp:conf/usenix/MaAGGJKK22","Sift: Using Refinement-guided Automation to Verify Complex Distributed Systems","Haojun Ma","2022","USENIX-ATC","","https://dblp.org/rec/conf/usenix/MaAGGJKK22","conf/usenix/MaAGGJKK22"
"dblp:conf/usenix/Feng0WCWY0D22","Faith: An Efficient Framework for Transformer Verification on GPUs","Boyuan Feng","2022","USENIX-ATC","","https://dblp.org/rec/conf/usenix/Feng0WCWY0D22","conf/usenix/Feng0WCWY0D22"
"dblp:conf/usenix/Cui00WLZ0G22","DVABatch: Diversity-aware Multi-Entry Multi-Exit Batching for Efficient Processing of DNN Services on GPUs","Weihao Cui","2022","USENIX-ATC","","https://dblp.org/rec/conf/usenix/Cui00WLZ0G22","conf/usenix/Cui00WLZ0G22"
