"paper_id","arxiv_id","s2_paper_id","title","authors","year","venue","abstract","source","categories","citation_count","url","doi","published_date","crawled_date","keep","notes"
"doi:10.1145/3503222.3507706","","d3ad6c749678a8783d98b7b2e287e0a1a167bd09","TaskStream: accelerating task-parallel workloads by recovering program structure","Vidushi Dadu","2022","ASPLOS","[abstract unavailable]","dblp","Computer Science","24","https://doi.org/10.1145/3503222.3507706","10.1145/3503222.3507706","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507738","","2babc9ba9dd301d6e61117302bd2a200f7b422e2","DOTA: detect and omit weak attentions for scalable transformer acceleration","Zheng Qu","2022","ASPLOS","[abstract unavailable]","dblp","Computer Science","131","https://doi.org/10.1145/3503222.3507738","10.1145/3503222.3507738","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507767","2105.12842","afa72122ba06b6a694c21cf67d82620662e4917c","A full-stack search technique for domain optimized deep learning accelerators","Dan Zhang","2022","ASPLOS","The rapidly-changing deep learning landscape presents a unique opportunity for building inference accelerators optimized for specific datacenter-scale workloads. We propose Full-stack Accelerator Search Technique (FAST), a hardware accelerator search framework that defines a broad optimization environment covering key design decisions within the hardware-software stack, including hardware datapath, software scheduling, and compiler passes such as operation fusion and tensor padding. In this paper, we analyze bottlenecks in state-of-the-art vision and natural language processing (NLP) models, including EfficientNet and BERT, and use FAST to design accelerators capable of addressing these bottlenecks. FAST-generated accelerators optimized for single workloads improve Perf/TDP by 3.7× on average across all benchmarks compared to TPU-v3. A FAST-generated accelerator optimized for serving a suite of workloads improves Perf/TDP by 2.4× on average compared to TPU-v3. Our return on investment analysis shows that FAST-generated accelerators can potentially be practical for moderate-sized datacenter deployments.","dblp","Computer Science","60","https://doi.org/10.1145/3503222.3507767","10.1145/3503222.3507767","2021-05-26","2026-04-08","",""
"doi:10.1145/3503222.3507730","","84f8d0441396576a6e916dc9f395bd12c073c24b","FINGERS: exploiting fine-grained parallelism in graph mining accelerators","Qihang Chen","2022","ASPLOS","[abstract unavailable]","dblp","Computer Science","28","https://doi.org/10.1145/3503222.3507730","10.1145/3503222.3507730","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507746","","da547581300bc764c2b2b8926da24b698c606e96","BiSon-e: a lightweight and high-performance accelerator for narrow integer linear algebra computing on the edge","Enrico Reggiani","2022","ASPLOS","[abstract unavailable]","dblp","Computer Science","12","https://doi.org/10.1145/3503222.3507746","10.1145/3503222.3507746","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507774","","858b0f1a68fc8cd95f761166ce250532398a188a","Software-defined address mapping: a case on 3D memory","Jialiang Zhang","2022","ASPLOS","[abstract unavailable]","dblp","Computer Science","13","https://doi.org/10.1145/3503222.3507774","10.1145/3503222.3507774","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507720","","8d71358f756cef3b7d1bfdfe4ce2f89d8887708e","Parallel virtualized memory translation with nested elastic cuckoo page tables","Jovan Stojkovic","2022","ASPLOS","A major reason why nested or virtualized address translations are slow is because current systems organize page tables in a multi-level tree that is accessed in a sequential manner. A nested translation may potentially require up to twenty-four sequential memory accesses. To address this problem, this paper presents the first page table design that supports parallel nested address translation. The design is based on using hashed page tables (HPTs) for both guest and host. However, directly extending a native HPT design to a nested environment leads to minor gains. Instead, our design solves a new set of challenges that appear in nested environments. Our scheme eliminates all but three of the potentially twenty-four sequential steps of a nested translation—while judiciously limiting the number of parallel memory accesses issued to avoid over-consuming cache bandwidth. As a result, compared to conventional nested radix tables, our design speeds-up the execution of a set of applications by an average of 1.19x (for 4KB pages) and 1.24x (when huge pages are used). In addition, we also show a migration path from current nested radix page tables to our design.","dblp","Computer Science","20","https://doi.org/10.1145/3503222.3507720","10.1145/3503222.3507720","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507771","","7b4a36737be5976820aed3deed265616634e803a","CARAT CAKE: replacing paging via compiler/kernel cooperation","Brian Suchy","2022","ASPLOS","Virtual memory, specifically paging, is undergoing significant innovation due to being challenged by new demands from modern workloads. Recent work has demonstrated an alternative software only design that can result in simplified hardware requirements, even supporting purely physical addressing. While we have made the case for this Compiler- And Runtime-based Address Translation (CARAT) concept, its evaluation was based on a user-level prototype. We now report on incorporating CARAT into a kernel, forming Compiler- And Runtime-based Address Translation for CollAborative Kernel Environments (CARAT CAKE). In our implementation, a Linux-compatible x64 process abstraction can be based either on CARAT CAKE, or on a sophisticated paging implementation. Implementing CARAT CAKE involves kernel changes and compiler optimizations/transformations that must work on all code in the system, including kernel code. We evaluate CARAT CAKE in comparison with paging and find that CARAT CAKE is able to achieve the functionality of paging (protection, mapping, and movement properties) with minimal overhead. In turn, CARAT CAKE allows significant new benefits for systems including energy savings, larger L1 caches, and arbitrary granularity memory management.","dblp","Computer Science","15","https://doi.org/10.1145/3503222.3507771","10.1145/3503222.3507771","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507743","","807e5f01e86bc5006c2112b4901cf3d686f91761","NVAlloc: rethinking heap metadata management in persistent memory allocators","Zheng Dang","2022","ASPLOS","[abstract unavailable]","dblp","Computer Science","32","https://doi.org/10.1145/3503222.3507743","10.1145/3503222.3507743","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507718","","2ddbf01a61ee207ca37cb0960ea87844654a34f4","Every walk's a hit: making page walks single-access cache hits","Chang Hyun Park","2022","ASPLOS","[abstract unavailable]","dblp","Computer Science","42","https://doi.org/10.1145/3503222.3507718","10.1145/3503222.3507718","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507758","","0e6f0e1d0a0e934a2720edd7e4d0253c75c05626","GPM: leveraging persistent memory from a GPU","Shweta Pandey","2022","ASPLOS","[abstract unavailable]","dblp","Computer Science","19","https://doi.org/10.1145/3503222.3507758","10.1145/3503222.3507758","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507754","2105.05085","871be4fa6d5fb36ffcf72de0a4b725eaab071091","GPUReplay: a 50-KB GPU stack for client ML","Heejin Park","2022","ASPLOS","GPUReplay (GR) is a novel way for deploying GPU-accelerated computation on mobile and embedded devices. It addresses high complexity of a modern GPU stack for deployment ease and security. The idea is to record GPU executions on the full GPU stack ahead of time and replay the executions on new input at run time. We address key challenges towards making GR feasible, sound, and practical to use. The resultant replayer is a drop-in replacement of the original GPU stack. It is tiny (50 KB of executable), robust (replaying long executions without divergence), portable (running in a commodity OS, in TEE, and baremetal), and quick to launch (speeding up startup by up to two orders of magnitude). We show that GPUReplay works with a variety of integrated GPU hardware, GPU APIs, ML frameworks, and 33 neural network (NN) implementations for inference or training. The code is available at https://github.com/bakhi/GPUReplay.","dblp","Computer Science","11","https://doi.org/10.1145/3503222.3507754","10.1145/3503222.3507754","2021-05-04","2026-04-08","",""
"doi:10.1145/3503222.3507708","","ebc3da237631343a10d80a301f33483031067c16","ValueExpert: exploring value patterns in GPU-accelerated applications","Keren Zhou","2022","ASPLOS","[abstract unavailable]","dblp","Computer Science","21","https://doi.org/10.1145/3503222.3507708","10.1145/3503222.3507708","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507705","","e7f11a945bb268378371804536b5e8d4af42563a","SparseCore: stream ISA and processor specialization for sparse computation","Gengyu Rao","2022","ASPLOS","[abstract unavailable]","dblp","Computer Science","22","https://doi.org/10.1145/3503222.3507705","10.1145/3503222.3507705","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507719","","30886ea5b83d4668265ed371f16f0f268f6c07b5","JSONSki: streaming semi-structured data with bit-parallel fast-forwarding","Lin Jiang","2022","ASPLOS","[abstract unavailable]","dblp","Computer Science","12","https://doi.org/10.1145/3503222.3507719","10.1145/3503222.3507719","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507712","","f2460b1dc4c47205699e784a9e4324dc347c86d5","MineSweeper: a ""clean sweep"" for drop-in use-after-free prevention","Márton Erdos","2022","ASPLOS","[abstract unavailable]","dblp","Computer Science","23","https://doi.org/10.1145/3503222.3507712","10.1145/3503222.3507712","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507729","2105.06872","5b3236142c9139c4230c18c4ea05bba2d09122d5","Revizor: testing black-box CPUs against speculation contracts","Oleksii Oleksenko","2022","ASPLOS","Speculative execution attacks such as Spectre and Meltdown exploit microarchitectural optimizations to leak information across security domains. These vulnerabilities often stay undetected for years because we lack the tools for systematic analysis of CPUs to find them. In this article, we introduce such a tool, called Revizor, which automatically detects microarchitectural leakage in black-box CPUs. The key idea is to employ speculation contracts to model the expected information leaks, and then to use randomized testing to compare the CPU’s leakage against the model and thus detect unexpected leaks. We showcase the effectiveness of this approach on Intel CPUs, where we demonstrate that Revizor is capable of detecting both known and previously unknown speculative leaks.","dblp","Computer Science","52","https://doi.org/10.1145/3503222.3507729","10.1145/3503222.3507729","2021-05-14","2026-04-08","",""
"doi:10.1145/3503222.3507775","","14c7e2614f2dbd81850b40a6f310972c261f9cc2","Protecting adaptive sampling from information leakage on low-power sensors","Tejas Kannan","2022","ASPLOS","[abstract unavailable]","dblp","Computer Science","4","https://doi.org/10.1145/3503222.3507775","10.1145/3503222.3507775","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507768","","2d366f5b15f046ce1803421fbc264e347873a907","One size does not fit all: security hardening of MIPS embedded systems via static binary debloating for shared libraries","Haotian Zhang","2022","ASPLOS","Embedded systems have become prominent targets for cyberattacks. To exploit firmware’s memory corruption vulnerabilities, cybercriminals harvest reusable code gadgets from the large shared library codebase (e.g., uClibc). Unfortunately, unlike their desktop counterparts, embedded systems lack essential computing resources to enforce security hardening techniques. Recently, we have witnessed a surge of software debloating as a new defense mechanism against code-reuse attacks; it erases unused code to significantly diminish the possibilities of constructing reusable gadgets. Because of the single firmware image update style, static library debloating shows promise to fortify embedded systems without compromising performance and forward compatibility. However, static library debloating on stripped binaries (e.g., firmware’s shared libraries) is still an enormous challenge. In this paper, we show that this challenge is not insurmountable for MIPS firmware. We develop a novel system, named uTrimmer, to identify and wipe out unused basic blocks from shared libraries’ binary code, without causing additional runtime overhead or memory consumption. We propose a new method to identify address-taken blocks/functions, which further help us maintain an inter-procedural control flow graph to conservatively include library code that could be potentially used by firmware. By capturing address access patterns for position-independent code, we circumvent the challenge of determining code-pointer targets and safely eliminate unused code. We run uTrimmer to debloat shared libraries for SPEC CPU2017 benchmarks, popular firmware applications (e.g., Apache, BusyBox, and OpenSSL), and a real-world wireless router firmware image. Our experiments show that not only does uTrimmer deliver functional programs, but also it can cut the exposed code surface and eliminate various reusable code gadgets remarkably. uTrimmer’s debloating capability can compete with the static linking results.","dblp","Computer Science","22","https://doi.org/10.1145/3503222.3507768","10.1145/3503222.3507768","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507780","","4c793e74583876eee51914e9809696e07c068300","ViK: practical mitigation of temporal memory safety violations through object ID inspection","Haehyun Cho","2022","ASPLOS","[abstract unavailable]","dblp","Computer Science","22","https://doi.org/10.1145/3503222.3507780","10.1145/3503222.3507780","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507757","","015b5152cffb273b446373d1230722aaadb5c649","Eavesdropping user credentials via GPU side channels on smartphones","Boyuan Yang","2022","ASPLOS","[abstract unavailable]","dblp","Computer Science","14","https://doi.org/10.1145/3503222.3507757","10.1145/3503222.3507757","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507745","","d7a1ee7195ef46a2a5813c53c6a613cf49cf65b7","CRISP: critical slice prefetching","Heiner Litz","2022","ASPLOS","[abstract unavailable]","dblp","Computer Science","32","https://doi.org/10.1145/3503222.3507745","10.1145/3503222.3507745","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507724","","8c11dea350f79cf5c6b3804c16955c45ba85b0f0","Pinned loads: taming speculative loads in secure processors","Zirui Neil Zhao","2022","ASPLOS","In security frameworks for speculative execution, an instruction is said to reach its Visibility Point (VP) when it is no longer vulnerable to pipeline squashes. Before a potentially leaky instruction reaches its VP, it has to stall—unless a defense scheme such as invisible speculation provides protection. Unfortunately, either stalling or protecting the execution of pre-VP instructions typically has a performance cost. One way to attain low-overhead safe execution is to develop techniques that speed-up the advance of the VP from older to younger instructions. In this paper, we propose one such technique. We find that the progress of the VP for loads is mostly impeded by waiting until no memory consistency violations (MCVs) are possible. Hence, our technique, called , tries to make loads invulnerable to MCVs as early as possible—a process we call pinning the loads in the pipeline. The result is faster VP progress and a reduction in the execution overhead of defense schemes. In this paper, we describe the hardware needed by , and two possible designs with different tradeoffs between hardware requirements and performance. Our evaluation shows that is very effective: extending three popular defense schemes against speculative execution attacks with reduces their average execution overhead on SPEC17 and on SPLASH2/PARSEC applications by about 50%. For example, on SPEC17, the execution overhead of the three defense schemes decreases from to , from to , and from to .","dblp","Computer Science","10","https://doi.org/10.1145/3503222.3507724","10.1145/3503222.3507724","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507747","","78a50f88a3383c208647e7a98a0ab923d1084be1","DAGguise: mitigating memory timing side channels","Peter W. Deutsch","2022","ASPLOS","[abstract unavailable]","dblp","Computer Science","23","https://doi.org/10.1145/3503222.3507747","10.1145/3503222.3507747","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507777","2201.10095","ca28d25b11347507412295f69e0e46a059928ca3","RecShard: statistical feature-based memory optimization for industry-scale neural recommendation","Geet Sethi","2022","ASPLOS","We propose RecShard, a fine-grained embedding table (EMB) partitioning and placement technique for deep learning recommendation models (DLRMs). RecShard is designed based on two key observations. First, not all EMBs are equal, nor all rows within an EMB are equal in terms of access patterns. EMBs exhibit distinct memory characteristics, providing performance optimization opportunities for intelligent EMB partitioning and placement across a tiered memory hierarchy. Second, in modern DLRMs, EMBs function as hash tables. As a result, EMBs display interesting phenomena, such as the birthday paradox, leaving EMBs severely under-utilized. RecShard determines an optimal EMB sharding strategy for a set of EMBs based on training data distributions and model characteristics, along with the bandwidth characteristics of the underlying tiered memory hierarchy. In doing so, RecShard achieves over 6 times higher EMB training throughput on average for capacity constrained DLRMs. The throughput increase comes from improved EMB load balance by over 12 times and from the reduced access to the slower memory by over 87 times.","dblp","Computer Science","80","https://doi.org/10.1145/3503222.3507777","10.1145/3503222.3507777","2022-01-25","2026-04-08","",""
"doi:10.1145/3503222.3507723","","7171c5f56543c51ea584ed9edfe8ccd33375167d","AStitch: enabling a new multi-dimensional optimization space for memory-intensive ML training and inference on modern SIMT architectures","Zhen Zheng","2022","ASPLOS","This work reveals that memory-intensive computation is a rising performance-critical factor in recent machine learning models. Due to a unique set of new challenges, existing ML optimizing compilers cannot perform efficient fusion under complex two-level dependencies combined with just-in-time demand. They face the dilemma of either performing costly fusion due to heavy redundant computation, or skipping fusion which results in massive number of kernels. Furthermore, they often suffer from low parallelism due to the lack of support for real-world production workloads with irregular tensor shapes. To address these rising challenges, we propose AStitch, a machine learning optimizing compiler that opens a new multi-dimensional optimization space for memory-intensive ML computations. It systematically abstracts four operator-stitching schemes while considering multi-dimensional optimization objectives, tackles complex computation graph dependencies with novel hierarchical data reuse, and efficiently processes various tensor shapes via adaptive thread mapping. Finally, AStitch provides just-in-time support incorporating our proposed optimizations for both ML training and inference. Although AStitch serves as a stand-alone compiler engine that is portable to any version of TensorFlow, its basic ideas can be generally applied to other ML frameworks and optimization compilers. Experimental results show that AStitch can achieve an average of 1.84x speedup (up to 2.73x) over the state-of-the-art Google's XLA solution across five production workloads. We also deploy AStitch onto a production cluster for ML workloads with thousands of GPUs. The system has been in operation for more than 10 months and saves about 20,000 GPU hours for 70,000 tasks per week.","dblp","Computer Science","90","https://doi.org/10.1145/3503222.3507723","10.1145/3503222.3507723","2022-02-28","2026-04-08","",""
"doi:10.1145/3503222.3507735","","9c1afdff4be1c3d116e31dbcf8cb0c02f9abc962","NASPipe: high performance and reproducible pipeline parallel supernet training via causal synchronous parallelism","Shixiong Zhao","2022","ASPLOS","[abstract unavailable]","dblp","Computer Science","14","https://doi.org/10.1145/3503222.3507735","10.1145/3503222.3507735","2022-02-28","2026-04-08","",""
