"paper_id","arxiv_id","s2_paper_id","title","authors","year","venue","abstract","source","categories","citation_count","url","doi","published_date","crawled_date","keep","notes"
"doi:10.1109/DAC56929.2023.10247656","","30eb21ab52645b2e7c51d53b4565df7ceda1146e","Late Breaking Results: An Efficient Bridge-based Compression Algorithm for Topologically Quantum Error Corrected Circuits","Wei-Hsiang Tseng","2023","DAC","Topological quantum error correction (TQEC) is a promising method for fault-tolerant quantum circuits. A TQEC circuit can be visualized as the defect movement along the time axis and modeled as a 3D space-time volume to estimate the required resource. A quantum algorithm must minimize the space-time volume for a feasible physical qubit number and computational time, especially for large-scale designs. Previous work presents quadratic-time simultaneous primal and dual bridge compression for a TQEC circuit, which is infeasible for large-scale problems. This paper presents an efficient divide-and-conquer approach to primal and dual bridge compression, which can support different code distances between qubits. Compared with the previous work, experimental results show that our algorithm is effective and efficient even for large-scale problems.","dblp","Computer Science","1","https://doi.org/10.1109/DAC56929.2023.10247656","10.1109/DAC56929.2023.10247656","2023-07-09","2026-04-08","",""
"doi:10.1109/DAC56929.2023.10247657","","6433b00701b5d1a44f5ea72d9b758b8942991934","PTStore: Lightweight Architectural Support for Page Table Isolation","Wende Tan","2023","DAC","Page tables are critical data structures in kernels, serving as the trust base of most mitigation solutions. Their integrity is thus crucial but is often taken for granted. Existing page table protection solutions usually provide insufficient security guarantees, require heavy hardware, or introduce high overheads. In this paper, we present a novel lightweight hardware-software co-design solution, PTStore, consisting of a secure region storing page tables and tokens verifying page table pointers. Evaluation results on FPGA-based prototypes show that PTStore only introduces <0.92% hardware overheads and <0.86% performance overheads, but provides strong security guarantees, showing that PTStore is efficient and effective.","dblp","Computer Science","3","https://doi.org/10.1109/DAC56929.2023.10247657","10.1109/DAC56929.2023.10247657","2023-07-09","2026-04-08","",""
"doi:10.1109/DAC56929.2023.10247660","","4351ee9bb2c0de85b2af8326971a8859c2b9e49a","Mitigating Distribution Shift for Congestion Optimization in Global Placement","Su Zheng","2023","DAC","The placement and routing (PnR) flow plays a critical role in physical design. Poor routing congestion is a possible problem causing severe routing detours, which can lead to deteriorated timing performance or even routing failure. Deep-learning-based congestion prediction model is designed to guide the global placement process in previous work. However, the distribution shift problem in this method limits its performance. In this paper, we mitigate the distribution shift problem with a look-ahead mechanism inspired by optical flow prediction and an invariant feature space learning technique. With the proposed method, we can achieve better congestion prediction performance and less-congested placement results.","dblp","Computer Science","16","https://doi.org/10.1109/DAC56929.2023.10247660","10.1109/DAC56929.2023.10247660","2023-07-09","2026-04-08","",""
"doi:10.1109/DAC56929.2023.10247661","","d59154f137657387ca1921a5162ba641f5c88a60","SPET: Transparent SRAM Allocation and Model Partitioning for Real-time DNN Tasks on Edge TPU","Changhun Han","2023","DAC","Deep neural networks (DNNs) have been deployed in many safety-critical real-time embedded systems. To support DNN tasks in real-time, most previous studies focused on GPU or CPU. However, Edge TPU has not yet been studied for real-time guarantees. This paper presents a real-time DNNs framework for Edge TPU to satisfy multiple DNN inference tasks’ timing requirements. The proposed framework provides 1) SRAM allocation and model partitioning techniques and 2) a MIP-based algorithm that determines the amount of SRAM and the number of segments for each task. The experiment result shows that our framework provides 79% higher schedulability than the existing Edge TPU system.","dblp","Computer Science","7","https://doi.org/10.1109/DAC56929.2023.10247661","10.1109/DAC56929.2023.10247661","2023-07-09","2026-04-08","",""
"doi:10.1109/DAC56929.2023.10247662","","86b7a99ad2201977d3aa258cb22bb767e4270334","AdaS: A Fast and Energy-Efficient CNN Accelerator Exploiting Bit-Sparsity","Xiaolong Lin","2023","DAC","Bit-sparsity has shown its promise in CNN acceleration. However, prior bit-sparse accelerators have two drawbacks: 1) a large number of zero values are involved in the computation and data movement; 2) the distribution of non-zero bits is not considered in PE design. To address these issues, we propose AdaS. At the multiplier level, we dynamically serialize the operands that have fewer non-zero bits. At the dataflow level, we propose a group-wise bi-directional inner-join for workload extraction and balancing. Results show that AdaS can achieve 3.28×, 2.05× speedup, and 1.99×, 1.80× energy efficiency over Bit-Pragmatic and Laconic, respectively.","dblp","Computer Science","10","https://doi.org/10.1109/DAC56929.2023.10247662","10.1109/DAC56929.2023.10247662","2023-07-09","2026-04-08","",""
"doi:10.1109/DAC56929.2023.10247663","2306.15513","9c266051b01a1502f0d4a4f8441a060529194de5","PASNet: Polynomial Architecture Search Framework for Two-party Computation-based Secure Neural Network Deployment","Hongwu Peng","2023","DAC","Two-party computation (2PC) is promising to enable privacy-preserving deep learning (DL). However, the 2PC-based privacy-preserving DL implementation comes with high comparison protocol overhead from the non-linear operators. This work presents PASNet, a novel systematic framework that enables low latency, high energy efficiency & accuracy, and security-guaranteed 2PC-DL by integrating the hardware latency of the cryptographic building block into the neural architecture search loss function. We develop a cryptographic hardware scheduler and the corresponding performance model for Field Programmable Gate Arrays (FPGA) as a case study. The experimental results demonstrate that our light-weighted model PASNet-A and heavily-weighted model PASNet-B achieve 63 ms and 228 ms latency on private inference on ImageNet, which are 147 and 40 times faster than the SOTA CryptGPU system, and achieve 70.54% & 78.79% accuracy and more than 1000 times higher energy efficiency. The pretrained PASNet models and test code can be found on Github1.","dblp","Computer Science","10","https://doi.org/10.1109/DAC56929.2023.10247663","10.1109/DAC56929.2023.10247663","2023-06-27","2026-04-08","",""
"doi:10.1109/DAC56929.2023.10247664","2406.07453","3b808bc0bf22e34fce5de067db63b00548060640","HTVM: Efficient Neural Network Deployment On Heterogeneous TinyML Platforms","Josse Van Delm","2023","DAC","Optimal deployment of deep neural networks (DNNs) on state-of-the-art Systems-on-Chips (SoCs) is crucial for tiny machine learning (TinyML) at the edge. The complexity of these SoCs makes deployment non-trivial, as they typically contain multiple heterogeneous compute cores with limited, programmer-managed memory to optimize latency and energy efficiency. We propose HTVM – a compiler that merges TVM with DORY to maximize the utilization of heterogeneous accelerators and minimize data movements. HTVM allows deploying the MLPerf™ Tiny suite on DIANA, an SoC with a RISC-V CPU, and digital and analog compute-in-memory AI accelerators, at 120x improved performance over plain TVM deployment.","dblp","Computer Science","12","https://doi.org/10.1109/DAC56929.2023.10247664","10.1109/DAC56929.2023.10247664","2023-07-09","2026-04-08","",""
"doi:10.1109/DAC56929.2023.10247666","","cfe5389f79bed552a7efcef869616b9c6cddad73","INVITED: Design Automation Needs for Monolithic 3D ICs: Accomplishments and Gaps","Lingjun Zhu","2023","DAC","In this paper, we provide an overview of design automation tools and methodology for Monolithic 3D ICs, focusing on the accomplishments in recent years and the gaps that remain to be filled. Monolithic 3D integration is an emerging technology with high 3D interconnect density and performance benefits, but it proposes new challenges for computer-aided design tools. In this paper, we first revisit the current status of design automation tools for Monolithic 3D and highlight the recent developments in tier partitioning, 3D placement and routing, inter-tier via controls, and power and thermal integrity analysis. Then, we discuss the gaps to be met for next-generation system-level heterogeneous Monolithic 3D IC design. Finally, we present our vision for the future of design automation developments for Monolithic 3D ICs.","dblp","Computer Science","2","https://doi.org/10.1109/DAC56929.2023.10247666","10.1109/DAC56929.2023.10247666","2023-07-09","2026-04-08","",""
"doi:10.1109/DAC56929.2023.10247667","2304.06299","b5cacb75d1929da5877c9c777390e1a2b1c36588","Algorithms and Hardware for Efficient Processing of Logic-based Neural Networks","Jingkai Hong","2023","DAC","Recent efforts to improve the performance of neural network (NN) accelerators that meet today’s application requirements have given rise to a new trend of logic-based NN inference relying on fixed-function combinational logic (FFCL). This paper presents an innovative optimization methodology for compiling and mapping NNs utilizing FFCL into a logic processor. The presented method maps FFCL blocks to a set of Boolean functions where Boolean operations in each function are mapped to high-performance, low-latency, parallelized processing elements. Graph partitioning and scheduling algorithms are presented to handle FFCL blocks that cannot straightforwardly fit the logic processor. Our experimental evaluations across several datasets and NNs demonstrate the superior performance of our framework in terms of the inference throughput compared to prior art NN accelerators. We achieve 25x higher throughput compared with the XNOR-based accelerator for VGG16 model that can be amplified 5x deploying the graph partitioning and merging algorithms.","dblp","Computer Science","0","https://doi.org/10.1109/DAC56929.2023.10247667","10.1109/DAC56929.2023.10247667","2023-04-13","2026-04-08","",""
"doi:10.1109/DAC56929.2023.10247669","","fb9fa81ef7662dc076639419c05bbd0181c27239","Cryogenic In-Memory Matrix-Vector Multiplication using Ferroelectric Superconducting Quantum Interference Device (FE-SQUID)","Shamiul Alam","2023","DAC","Next-generation quantum computing (QC) systems, comprising thousands of qubits, are envisioned to accommodate the quantum substrate (qubits) and classical components (control processor, and a digital memory block) in a cryogenic (< 4 Kelvin) environment. Such homogeneous integration will pave the way for superconducting interconnects and reduce the noise arising from thermal gradient. However, in the existing QC systems, cryogenic control processors and memory blocks are still operated following the von Neumann architecture. This leads to significant performance overhead due to the repetitive data movement between physically distinct memory and processing units. Thus, it becomes challenging to implement computationally expensive machine learning (ML) algorithms for efficient error correction and control of qubits in a QC. In-memory implementation of ML algorithms at cryogenic temperature can be a game-changer for a practical QC. Here, we demonstrate a unique technique for cryogenic in-memory matrix vector multiplication (MVM), the most frequently performed operation in ML algorithms, utilizing a ferroelectric superconducting quantum interference device (FE-SQUID)-based memory array. FE-SQUID is a promising cryogenic memory device thanks to its non-volatile nature, voltage-controlled switching, scalability, and compatibility with commercially available superconducting device fabrication processes. Moreover, due to having separate read-write paths, the read operation can be optimized without imposing any limit on the read bias and hence, multiple levels of read current with notable separation can be used to map the inputs for the MVM operation. We use an experimentally-calibrated compact model for FE-SQUID to design and test our proposed system. We evaluate FE-SQUID-based in-memory MVM by performing several classification tasks using MNIST handwritten digits, fashion, and emotion datasets. We achieve 93.83%, 80.49%, and 92.5% accuracy for handwritten digits, fashion, and sentiment classifications, respectively.","dblp","Computer Science","10","https://doi.org/10.1109/DAC56929.2023.10247669","10.1109/DAC56929.2023.10247669","2023-07-09","2026-04-08","",""
