"paper_id","arxiv_id","s2_paper_id","title","authors","year","venue","abstract","source","categories","citation_count","url","doi","published_date","crawled_date","keep","notes"
"doi:10.23919/DATE58400.2024.10546792","","b5ac8fc5725814b11619f67f025d2ca19d1e73a4","Towards an Embedded System for Failure Diagnosis in Drones Using AI and SAC-DM on FPGA","Rafael Batista","2024","DATE","We present a way of failure detection in real-time unmanned aerial vehicles (UAVs) by integrating Chaos Theory and AI techniques on an FPGA board. The Signal Analysis based on Chaos using the Density of Maxima (SAC-DM) validates the input of the Machine Learning (ML) model due to the relation between the density of maxima and autocorrelation length. While the accuracies achieved solely by SAC-DM are not remarkably high, the ML model demonstrates an accuracy of 92.46% when utilizing sac-dm results as inputs. The unprecedented integration of SAC-DM on FPGA board serves as a solution for high-speed onboard processing, parallel integrated data synchronization and fusion, and an enhanced low-power architecture.","dblp","Computer Science","0","https://doi.org/10.23919/DATE58400.2024.10546792","10.23919/DATE58400.2024.10546792","2024-03-25","2026-04-08","",""
"doi:10.23919/DATE58400.2024.10546593","","9e3690639ff9ff627ef273f0bab4af3f6fb76496","From Master Equation to SPICE: A Platform to Model Cryo-CMOS Control for Qubits","Vladimir Pesic","2024","DATE","Cryogenic classical electronics for the control of qubits can be placed near quantum processors for a more compact system, ultimately enabling a highly scalable one. However, cryogenic operation poses very strict power requirements on electronics, in addition to heavy constraints on precision in both amplitude and phase, as well as noise, so as to achieve the necessary fidelity. To test all the trade-offs that arise from these requirements, detailed simulations based on the physics of qubits and on the effects that circuits may have on them are needed. This paper focuses on the models and the simulation framework needed for quantum processors that can be efficiently executed on classical hardware. These models allow circuit design and specification derivation at all levels of the design. The suitability of the approach is demonstrated with superconducting qubit platforms and their control and characterization.","dblp","Computer Science","2","https://doi.org/10.23919/DATE58400.2024.10546593","10.23919/DATE58400.2024.10546593","2024-03-25","2026-04-08","",""
"doi:10.23919/DATE58400.2024.10546564","","6847b33e571ac960664690e4340021423a8c00f4","A Stakeholder Analysis of Operational Design Domains of Automated Driving Systems","Marcel Aguirre Mehlhorn","2024","DATE","Developing an automated driving system (ADS) involves collaboration between various stakeholders. To support this process, the concept of operational design domain (ODD) has emerged. Nonetheless, stakeholders require variable levels of information from an ODD. A thorough investigation has identified eight main stakeholder categories. Furthermore, a stakeholder analysis is used to assess their expectations, interests, and influence. These findings briefly summarise all necessary ODD engineering requirements and deliverables for all ODD stakeholders.","dblp","Computer Science","3","https://doi.org/10.23919/DATE58400.2024.10546564","10.23919/DATE58400.2024.10546564","2024-03-25","2026-04-08","",""
"doi:10.23919/DATE58400.2024.10546576","","e5927b289a293e22b1ea1486d064f35ff996200f","Formal Verification of Secure Boot Process","Sriram Vasudevan","2024","DATE","Formal verification is widely used for checking the correctness of a system with respect to the succinct properties at early design phase. In recent times, these methods are also adopted to validate the security of a system by rightly abstracting the security-oriented properties. In this work, we focus on a recently reported attack on the secure boot process of Zynq-7000 platform. We study the vulnerability with formal analysis of its boot loader code. The challenge is to model the system and identify the right set of properties so that, the vulnerability is exposed quickly. It is shown that the UPPAAL model checking analysis can be used, which helps to find the vulnerability instantaneously with the help of four properties and a virtual memory usage peak of about 50MB to test each property. To the best of our knowledge, we perform the first analysis of UPPAAL on a concrete software implementation and perform a case study on a real security vulnerability reported in a CVE [1].","dblp","Computer Science","1","https://doi.org/10.23919/DATE58400.2024.10546576","10.23919/DATE58400.2024.10546576","2024-03-25","2026-04-08","",""
"doi:10.23919/DATE58400.2024.10546550","","fd037b52b37639457be369672ac9c29c3b805b9a","Bitstream Fault Injection Attacks on CRYSTALS Kyber Implementations on FPGAs","Ziying Ni","2024","DATE","CRYSTALS-Kyber is the only Public-key Encryption (PKE)/ Key-encapsulation Mechanism (KEM) scheme that was chosen for standardization by the National Institute of Standards and Technology initiated Post-quantum Cryptography competition (so called NIST PQC). In this paper, we show the first successfully malicious modifications of the bitstream of a Kyber FPGA implementation. We successfully demonstrate 4 different attacks on Kyber hardware implementations on Artix-7 FPGAs that either reduce the complexity of polynomial multiplication operations or enable direct secret key/ message recovery by: disabling BRAMs, disabling DSPs, zeroing NTT ROM and tampering with CBD2 results. Two of our attacks are generic in nature and the other two require reverse-engineering or a detailed knowledge of the design. We evaluate the feasibility of the four attacks, among which the zeroing NTT ROM and tampering with the CBD2 result attacks produce higher public key and ciphertext complexity and thus are difficult to be detected. Two countermeasures are proposed to prevent the attacks proposed in this paper.","dblp","Computer Science","4","https://doi.org/10.23919/DATE58400.2024.10546550","10.23919/DATE58400.2024.10546550","2024-03-25","2026-04-08","",""
"doi:10.23919/DATE58400.2024.10546755","","9bae172c5889329b35711bcaa0499efdf51d3953","Bit-Trimmer: Ineffectual Bit-Operation Removal for CLM Architecture","Yintao He","2024","DATE","ReRAM-based accelerator of bit-slicing architecture is a promising solution to neural network inference, which allows ineffectual bit-operation removal for greater potential gains. However, existing techniques mostly exploit the removal of weight-associated ineffectual operations, which cannot eliminate the activation-induced ineffectual operations. Alternatively, some approaches adopt an isolated two-stage approach to remove at the weight and activation-level, which leaves a big proportion of ineffectual bit-level operations. Therefore, in contrast to all these coarse-grained operation removal techniques, it is challenging to jointly eliminate ineffectual bit-operation induced by either activation or weight bit-slices for ReRAM-based accelerators. This work presents a novel ineffectual bit-operation removal approach and the accompanied ReRAM-based bit-operation clipping architecture that skips all those bit-level operations that make negligible impacts on neural network outputs. In experiments, the proposed bit-operation clipping ReRAM accelerator, Bit-Trimmer, achieves $5.28 \times$ energy efficiency and $2.04 \times$ speedup on average. Besides, compared with two SOTA ReRAM accelerator designs with bit-operation removal, it outperforms by $1.56 \times$ and $1.88 \times$ energy efficiency.","dblp","Computer Science","0","https://doi.org/10.23919/DATE58400.2024.10546755","10.23919/DATE58400.2024.10546755","2024-03-25","2026-04-08","",""
"doi:10.23919/DATE58400.2024.10546877","","","Subgraph Extraction-Based Feedback-Guided Iterative Scheduling for HLS","Hanchen Ye","2024","DATE","[abstract unavailable]","dblp","","0","https://doi.org/10.23919/DATE58400.2024.10546877","10.23919/DATE58400.2024.10546877","","2026-04-08","",""
"doi:10.23919/DATE58400.2024.10546518","","","A System Development Kit for Big Data Applications on FPGA-based Clusters: The EVEREST Approach","Christian Pilato","2024","DATE","[abstract unavailable]","dblp","","0","https://doi.org/10.23919/DATE58400.2024.10546518","10.23919/DATE58400.2024.10546518","","2026-04-08","",""
"doi:10.23919/DATE58400.2024.10546727","","","NOVA: NoC-based Vector Unit for Mapping Attention Layers on a CNN Accelerator","Mohit Upadhyay","2024","DATE","[abstract unavailable]","dblp","","0","https://doi.org/10.23919/DATE58400.2024.10546727","10.23919/DATE58400.2024.10546727","","2026-04-08","",""
"doi:10.23919/DATE58400.2024.10546567","","3fed068cf67e92ef5d939fbd8dbeed31e865eb1b","DNA-Based Similar Image Retrieval via Triplet Network-Driven Encoder","Takefumi Koike","2024","DATE","With the exponential growth of digital data, DNA has emerged as an attractive medium for storage and computing. Design methods for encoding, storing, and searching digital data within DNA storage are thus of utmost importance. This paper introduces image classification as a measurable task for evaluating the performance of DNA encoders in similar image searches. In addition, we propose a triplet network-based DNA encoder to improve accuracy and efficiency. The evaluation using the CIFAR-100 dataset demonstrates that the proposed encoder outperforms existing encoders in retrieving similar images, with an accuracy of 0.77, which is equivalent to 94 % of the practical upper limit, and achieves 16 times faster training time.","dblp","Computer Science","0","https://doi.org/10.23919/DATE58400.2024.10546567","10.23919/DATE58400.2024.10546567","2024-03-25","2026-04-08","",""
"doi:10.23919/DATE58400.2024.10546572","","333746124797ed7d1f0bcded59138b23c26effd7","IoT-GRAF: IoT Graph Learning-Based Anomaly and Intrusion Detection Through Multi-Modal Data Fusion","Rozhin Yasaei","2024","DATE","In the current technological landscape, Internet of Things (IoT) systems are deeply embedded in numerous facets of daily life, from domestic settings to critical infrastructure, which underscores the importance of these systems security and integrity. The constrained nature of IoT devices, in terms of computational capacity, economic limitations, or time-to-market, makes them vulnerable to security breaches and system failures. Additionally, the hybrid essence of IoT- combining the physical domain via sensor interfaces and the cyber domain through communication networks and cloud connectivity- further complicates mitigating these threats. While numerous techniques for either network intrusion detection or sensor anomaly detection exist, an integrated approach that synergistically combines information from both domains is absent. This paper proposes a multi-modal data fusion technique, which, for the first time, melds sensor and communication data. This approach underscores the interdependencies between the components, provides contextual embeddings for data from each element, and integrates the system's physical and cyber features into a graph-based representation. Harnessing the power of Graph Neural Networks (GNNs), we capture the normal state and context of the system, facilitating the detection of anomalies and intrusions. Additionally, our model discerns between network and sensor-based attacks, pinpointing the anomaly's origin, thereby expediting post-incident recovery. Optimized for fog-computing environments, our solution ensures real-time oversight. Rigorous testing on greenhouse IoT systems indicates the efficacy of our model, with a commendable 22% improvement in Fl-score over singular modal techniques.","dblp","Computer Science","9","https://doi.org/10.23919/DATE58400.2024.10546572","10.23919/DATE58400.2024.10546572","2024-03-25","2026-04-08","",""
"doi:10.23919/DATE58400.2024.10546737","","","DIAC: Design Exploration of Intermittent-Aware Computing Realizing Batteryless Systems","Sepehr Tabrizchi","2024","DATE","[abstract unavailable]","dblp","","0","https://doi.org/10.23919/DATE58400.2024.10546737","10.23919/DATE58400.2024.10546737","","2026-04-08","",""
"doi:10.23919/DATE58400.2024.10546718","","","Enhancing Reliability of Neural Networks at the Edge: Inverted Normalization with Stochastic Affine Transformations","Soyed Tuhin Ahmed","2024","DATE","[abstract unavailable]","dblp","","0","https://doi.org/10.23919/DATE58400.2024.10546718","10.23919/DATE58400.2024.10546718","","2026-04-08","",""
"doi:10.23919/DATE58400.2024.10546647","","","Low Power and Temperature- Resilient Compute-In-Memory Based on Subthreshold-FeFET","Yifei Zhou","2024","DATE","[abstract unavailable]","dblp","","0","https://doi.org/10.23919/DATE58400.2024.10546647","10.23919/DATE58400.2024.10546647","","2026-04-08","",""
"doi:10.23919/DATE58400.2024.10546605","","","Zero-Shot Classification Using Hyperdimensional Computing","Samuele Ruffino","2024","DATE","[abstract unavailable]","dblp","","0","https://doi.org/10.23919/DATE58400.2024.10546605","10.23919/DATE58400.2024.10546605","","2026-04-08","",""
