"paper_id","arxiv_id","s2_paper_id","title","authors","year","venue","abstract","source","categories","citation_count","url","doi","published_date","crawled_date","keep","notes"
"doi:10.1109/ICCAD57390.2023.10323544","","8e16c6732216c47c461614a8ae0e13a2340cd880","Meltrix: A RRAM-Based Polymorphic Architecture Enhanced by Function Synthesis","Boyu Long","2023","ICCAD","Field-programmable gate arrays (FPGAs) are popular for computational intensive applications and hardware accelerators recently. But they face limitations in memory capacity and its growth, resulting in excessive time spent on data access. The fixed capacity of embedded memory blocks also leads inflexibility and resource waste. Moreover, logic blocks in FPGAs which are insufficient for large-scale applications and fixed memory block positions both lead to high routing overhead. To address these issues, we propose a software-hardware co-designed polymorphic architecture called Meltrix. The hardware architecture, which uses RRAM arrays as the fundamental block, creates a unified fabric that can be reconfigured into logic, storage, and interconnection modes. We achieve multiple times of logic capacity compared with FPGAs' logic blocks and multi-level interconnections inside the tiles, which are used to solve the routing overhead problem in FPGAs. Moreover, the global routing complexity is further reduced by the proposed function synthesis framework, which isolates logic and memory components, synthesizes and maps them to configured tiles of Meltrix. Experiments show that, when comparing with commercial FPGAs and state-out-of-art Liquid-Silicon, Meltrix achieves 1.89-3.14× performance improvement and 2.08-4.17× power reduction in both logic-intensive and memory-intensive applications.","dblp","Computer Science","1","https://doi.org/10.1109/ICCAD57390.2023.10323544","10.1109/ICCAD57390.2023.10323544","2023-10-28","2026-04-08","",""
"doi:10.1109/ICCAD57390.2023.10323545","","4cde4882aaa4f00099c8b2a94c42a496b28a330a","PDNSig: Identifying Multi-Tenant Cloud FPGAs with Power Distribution Network-Based Signatures","Huifeng Zhu","2023","ICCAD","The increasing use of Field Programmable Gate Arrays (FPGAs) in modern cloud data centers, such as Amazon's EC2 F1 instances, has led to a rising concern regarding remote side-channel attacks, which necessitates thorough investigation and analysis. Existing threat models crucially depend on a critical assumption: attackers could uniquely identify the target FPGA chip (or the specific die in a chip). However, this assumption is impractical in real cloud scenarios since security measures routinely implemented by cloud FPGA providers can anonymize the devices. To address this critical limitation, we propose PDNSig-a power distribution network (PDN)-based signature generation framework. By recognizing the complexity and irregularity of the PDN network and its susceptibility to process variation, we reveal that the impedance profile of an FPGA's PDN can uniquely distinguish different FPGAs. Particularly, we inject pseudo-random noises into the PDN by turning on or off power-hungry circuits (e.g., ring oscillators). The corresponding response of PDN is subsequently captured by on-chip sensors (e.g., time-to-digital converter), followed by a statistical analysis to obtain the PDN impedance at different frequencies. This proposed novel random process-based PDN measurement methodology can be directly applied to prior attack infrastructures with low hardware overhead. We perform thorough characterizations and demonstrate the effectiveness of PDNSig by conducting multiple real-world experiments on 40 Amazon cloud FPGA chips (including 120 dies). Experimental results show that the extracted PDN-based signatures can distinguish all 40 chips reliably. Additionally, a 99% true positive rate and 0.4% false positive rate are also achieved when identifying the 120 distinctive dies associated with these FPGA chips.","dblp","Computer Science","2","https://doi.org/10.1109/ICCAD57390.2023.10323545","10.1109/ICCAD57390.2023.10323545","2023-10-28","2026-04-08","",""
"doi:10.1109/ICCAD57390.2023.10323608","","fd65764a8c8e9b38bb495ff0fd7c2a55412b1a1d","HAPIC: A Scalable, Lightweight and Reactive Cache for Persistent-Memory-Based Index","Chih-Ting Lo","2023","ICCAD","In-memory index delivers low-latency responses for data services. It has been ported to high-capacity persistent memory (PM) to accommodate more data. However, read-heavy, extremely-skewed, and highly-dynamic workloads can suffer from degraded performance on PM-based indexes. We present HAPIC, a scalable cache over PM-based indexes to capture the constantly-changing query hotspots in skewed workloads. HAPIC embodies the data access frequency gradient in a hierarchy of hash tables to efficiently identify hotspots and reacts quickly to workload changes with epoch-based promotion. Compared with the state-of-the-art strategy, HAPIC reacts to hotspot shifts significantly faster, with up to 14% higher stable read throughput, 26% lower median latency, and 13% lower P99 latency.","dblp","Computer Science","0","https://doi.org/10.1109/ICCAD57390.2023.10323608","10.1109/ICCAD57390.2023.10323608","2023-10-28","2026-04-08","",""
"doi:10.1109/ICCAD57390.2023.10323609","","72720d73b9fdd12cff2d39a623a8cbe988a35641","Floorplanning for Embedded Multi-Die Interconnect Bridge Packages","Chung-Chia Lee","2023","ICCAD","Modern heterogeneous integration requires dense IO interconnections among chips, such as CPU and memory, to facilitate bandwidth-aware packaging. The embedded multi-die interconnect bridge (EMIB) has attracted much attention recently by providing a high wiring density and low manufacturing cost. However, EMIB optimization must consider constrained wire orientations and crosstalk. This paper presents the first work on floorplanning for EMIB-based packaging. We first model the floorplanning problem for EMIB-based packaging. Based on a hybrid structure of transitive closure graphs and B*-trees, we present a novel simulated-annealing-based algorithm to efficiently generate the desired EMIB-aware floorplans. We employ maximum-spanning-tree-based partitioning and tree-based classification for already found partial topologies to search for desired solutions more efficiently. Experimental results show that our algorithm can significantly improve the area, total wirelength, and computation time compared with simulated annealing based on TCGs alone.","dblp","Computer Science","6","https://doi.org/10.1109/ICCAD57390.2023.10323609","10.1109/ICCAD57390.2023.10323609","2023-10-28","2026-04-08","",""
"doi:10.1109/ICCAD57390.2023.10323611","","","Invited Paper: CircuitOps: An ML Infrastructure Enabling Generative AI for VLSI Circuit Optimization","Rongjian Liang","2023","ICCAD","[abstract unavailable]","dblp","","0","https://doi.org/10.1109/ICCAD57390.2023.10323611","10.1109/ICCAD57390.2023.10323611","","2026-04-08","",""
"doi:10.1109/ICCAD57390.2023.10323612","","1e167f73c8b3baa22f1a932528e64f46a6615d8e","FLEX: Introducing FLEXible Execution on CGRA with Spatio-Temporal Vector Dataflow","Thilini Kaushalya Bandara","2023","ICCAD","Coarse-Grained Reconfigurable Arrays (CGRAs) are well-suited to resource-constrained edge devices due to their optimal combination of performance, energy efficiency, and adaptability. However, CGRAs typically follow a rigid execution model - either spatio-temporal or spatial - irrespective of the workload, limiting their efficiency. Spatio-temporal execution requires per-cycle reconfiguration, resulting in higher energy consumption. Conversely, spatial execution maintains the same configuration over a longer period; but this fixed mapping constraint can hinder the performance of complex applications and increase data memory accesses, leading to higher energy consumption. We introduce FLEX, a CGRA with a novel, flexible spatio-temporal vector dataflow execution model. This model processes a vector of data sequentially and chains them spatio-temporally. FLEX also supports variable vector lengths determined at compile time, enabling a more flexible execution paradigm. Our execution model reduces the reconfiguration frequency inherent in purely spatio-temporal mapping and mitigates the performance limitations and extra data memory accesses associated with purely spatial mapping. FLEX matches the performance of spatio-temporal CGRA but with 45% less energy and a 1.9 ×power efficiency improvement. Moreover, compared to a baseline spatial CGRA, FLEX consumes 35% less energy and delivers a 1.6× improvement in power efficiency at 1.5× higher throughput.","dblp","Computer Science","15","https://doi.org/10.1109/ICCAD57390.2023.10323612","10.1109/ICCAD57390.2023.10323612","2023-10-28","2026-04-08","",""
"doi:10.1109/ICCAD57390.2023.10323613","2312.17612","5d2c26d829aadcb53008f28f11d9a5237626dd32","Bespoke Approximation of Multiplication-Accumulation and Activation Targeting Printed Multilayer Perceptrons","Florentia Afentaki","2023","ICCAD","Printed Electronics (PE) feature distinct and remarkable characteristics that make them a prominent technology for achieving true ubiquitous computing. This is particularly relevant in application domains that require conformal and ultra-low cost solutions, which have experienced limited penetration of computing until now. Unlike silicon-based technologies, PE offer unparalleled features such as non-recurring engineering costs, ultra-low manufacturing cost, and on-demand fabrication of conformal, flexible, non-toxic, and stretchable hardware. However, PE face certain limitations due to their large feature sizes, that impede the realization of complex circuits, such as machine learning classifiers. In this work, we address these limitations by leveraging the principles of Approximate Computing and Bespoke (fully-customized) design. We propose an automated framework for designing ultra-low power Multilayer Perceptron (MLP) classifiers which employs, for the first time, a holistic approach to approximate all functions of the MLP's neurons: multiplication, accumulation, and activation. Through comprehensive evaluation across various MLPs of varying size, our framework demonstrates the ability to enable battery-powered operation of even the most intricate MLP architecture examined, significantly surpassing the current state of the art.","dblp","Computer Science","13","https://doi.org/10.1109/ICCAD57390.2023.10323613","10.1109/ICCAD57390.2023.10323613","2023-10-28","2026-04-08","",""
"doi:10.1109/ICCAD57390.2023.10323617","","9eac82fc9c70b565b287f48c06b3911c4708422f","Side Channel-Assisted Inference Attacks on Machine Learning-Based ECG Classification","Jialin Liu","2023","ICCAD","The Electrocardiogram (ECG) measures the electrical cardiac activity generated by the heart to detect abnormal heartbeats and heart attacks. However, the irregular occurrence of the abnormalities demands continuous monitoring of heartbeats. Machine learning techniques are leveraged to automate this task, reducing the labor required during monitoring. In recent years, many companies have launched products with ECG monitoring and irregular heartbeat alerts. Among all classification algorithms, the time series-based algorithm dynamic time warping (DTW) is widely adopted to undertake the ECG classification task. Though progress has been achieved, the DTW-based ECG classification also introduces a new attack vector: the potential leakage of patients' diagnostic results. This paper investigates the potential of side channel-assisted inference attacks on the prevalent DTW-based ECG classification model. In particular, we first identify a vulnerability of DTW for ECG classification, that is, the correlation between warping path choice and prediction results. Based on the vulnerability, we further leverage two types of side-channel attacks, i.e., cache-based side-channel attack Flus+Reload, and trace-based side-channel attack with hardware performance counters, to assess the potential of stealing machine learning-based ECG input samples' labels. Afterward, we build prototypes that leverage Flush+Reload and hardware performance counters to monitor warping path selection with training ECG data, and then construct a predictor to establish a relation between side-channel observations and labels of input ECG samples. Based on experiments, we find that the Flush+Reload-based inference leakage can achieve up to 92.1% and 81.1% attack success rate with Flush+Reload and hardware performance counters to identify the labels of the two ECG samples in DTW.","dblp","Computer Science","4","https://doi.org/10.1109/ICCAD57390.2023.10323617","10.1109/ICCAD57390.2023.10323617","2023-10-28","2026-04-08","",""
"doi:10.1109/ICCAD57390.2023.10323622","","dc3dc64099007dd0ec0c16da0d3ecc3f7a0b008e","Path-Based Processing using In-Memory Systolic Arrays for Accelerating Data-Intensive Applications","Muhammad Rashedul Haq Rashed","2023","ICCAD","The next wave of scientific discovery is predicated on unleashing beyond-exascale simulation capabilities using in-memory computing. Path-based computing is a promising in-memory logic style for accelerating Boolean logic with deterministic precision. However, existing studies on path-based computing are limited to executing small combinational circuits. In this paper, we propose a framework called PSYS to accelerate data-intensive scientific computing applications using path-based in-memory systolic arrays. The approach leverages path-based computing for multiplying known constants with an unknown operand, which substantially reduces the computational complexity compared with general purpose multiplication of two unknown operands. The systolic arrays minimize data movement by storing the matrix elements using non-volatile memory and performing processing in-place. The framework decomposes unstructured computations to the systolic arrays while considering the non-regular computational patterns of the applications. Our experimental evaluations employ applications from the domains of engineering, physics, and mathematics. The experimental results demonstrate that compared with the state-of-the-art, the PSYS framework improves energy and latency by a factor of 101x and 23x, respectively.","dblp","Computer Science","0","https://doi.org/10.1109/ICCAD57390.2023.10323622","10.1109/ICCAD57390.2023.10323622","2023-10-28","2026-04-08","",""
"doi:10.1109/ICCAD57390.2023.10323626","","7852404bd273251b373d9763979b090d7fe6142f","Clock Aware Low Power Placement","Jinghao Ding","2023","ICCAD","In modern VLSI design, more than 30% of power consumption is caused by clock networks due to their large capacitance demand and high switching frequency. Prior research on clock power optimization primarily focuses on improving the routing and synthesis processes, where the planning flexibility is restricted by the placed registers. In this paper, we develop a novel co-optimization framework to conduct analytic placement and clock tree synthesis simultaneously. A numerical engine is proposed to balance the power demand between clock and regular signal networks by effectively and efficiently updating the clock tree topology, generating the network synthesis solution, and aligning it with the placement objective using the ePlace infrastructure. The experimental results validate the high performance of our proposed algorithm on all eight CLKISPD05 benchmarks, achieving a 45.1% reduction in clock-net wirelength and a 12.7% reduction in total switching power compared to RePlAce. Moreover, our algorithm outperforms the state-of-the-art clock aware placement algorithm SimPL+Lopper, achieving a 25% reduction in clock-net wirelength and a 10.5% reduction in total switching power.","dblp","Computer Science","5","https://doi.org/10.1109/ICCAD57390.2023.10323626","10.1109/ICCAD57390.2023.10323626","2023-10-28","2026-04-08","",""
"doi:10.1109/ICCAD57390.2023.10323627","","1de6a8d588da62dfbe31a08704a370aa7016c957","A General Wavelength-Routed Optical Networks-on-Chip Model with Applications to Provably Good Customized and Fault-Tolerant Topology Designs","Yan-Lin Chen","2023","ICCAD","The wavelength-routed optical network-on-chip (WRONoC) is a promising solution for advanced signal communication because of its high-bandwidth, low-latency, and power-efficient signal transmissions. Existing WRONoC topology designs rely on pre-defined network templates with limited solution space and design purposes. To remedy these disadvantages, we present a general model for WRONoC topologies. Based on this model, we propose a novel design flow for customized and fault-tolerant topologies to minimize the maximum insertion loss and the wavelength and micro-ring resonator (MRR) usage. Besides, we present two fault-tolerant topologies for full-connectivity netlists, namely the Actin-STAR and Zygo-STAR topologies. We prove that the Actin-STAR topology has a performance bound of 2.22 in the primary-path maximum insertion loss, and the Zygo-STAR topology has a performance bound of 1.39 in the backup-path one. Experimental results show that our designs significantly outperform the state-of-the-art designs in wavelength, MRR usage, and maximum insertion loss.","dblp","Computer Science","5","https://doi.org/10.1109/ICCAD57390.2023.10323627","10.1109/ICCAD57390.2023.10323627","2023-10-28","2026-04-08","",""
"doi:10.1109/ICCAD57390.2023.10323630","","5607558cddfcaa4cd2559851eec676d650c3c448","Routability Prediction and Optimization Using Explainable AI","Seonghyeon Park","2023","ICCAD","Machine learning (ML) techniques have been widely studied to predict routability in early-stage. To reduce the design turn-around time during the placement and routing iterations, it is crucial to predict the design rule violation (DRV) hotspots precisely before actual detailed routing. However, complex network architectures of ML make it challenging for humans to understand how ML generates predictions and to identify the factors that significantly influence the predictions. This black-box nature of ML limits the efficient integration of the prediction techniques into an optimization process. Explainable artificial intelligence enables the interpretation of decision rationales in the ML model and brings us the reasons underlying the prediction of the model. In this paper, we propose a routability optimization framework that analyzes the input features relevant to the predicted DRV hotspots using an explainable model and selects the most suitable optimization methods. The proposed framework comprises three steps - (1) predicting DRV hotspots in the early-global routing stage, (2) calculating how much each input feature contributes to the predictions and (3) applying a proper optimization method to improve the routability. We reduced the number of DRVs by 78% on average in 16 design layouts without degrading the design Quality.","dblp","Computer Science","11","https://doi.org/10.1109/ICCAD57390.2023.10323630","10.1109/ICCAD57390.2023.10323630","2023-10-28","2026-04-08","",""
