"paper_id","arxiv_id","s2_paper_id","title","authors","year","venue","abstract","source","categories","citation_count","url","doi","published_date","crawled_date","keep","notes"
"doi:10.1109/MM.2022.3229504","","42c61359d2effbfaa112bae7b9db86d5ca6663bb","Environmentally Sustainable Computing","Lizy Kurian John","2023","IEEE-MICRO","[abstract unavailable]","dblp","Computer Science","0","https://doi.org/10.1109/MM.2022.3229504","10.1109/MM.2022.3229504","2023-01-01","2026-04-08","",""
"doi:10.1109/MM.2022.3226362","","20e8cf09b189e43584a7e0d8035aa475f8d0be87","Special Issue on Environmentally Sustainable Computing","Carole-Jean Wu","2023","IEEE-MICRO","[abstract unavailable]","dblp","Computer Science","2","https://doi.org/10.1109/MM.2022.3226362","10.1109/MM.2022.3226362","2023-01-01","2026-04-08","",""
"doi:10.1109/MM.2022.3218034","","cf70481d6810925d951a49afcc0eb4d6462c61b0","Kaya for Computer Architects: Toward Sustainable Computer Systems","Lieven Eeckhout","2023","IEEE-MICRO","This article reformulates the well-known Kaya identity to understand computer systems’ impact on sustainability and its total carbon footprint. By making a distinction between embodied and operational carbon emissions, we are able to understand 1) how the global carbon footprint of computing is likely to scale in the future, and 2) what we, as computer architects, can do to reduce the environmental impact of computing. We conclude that computer architects should first and foremost design smaller chips; reducing lifetime energy consumption is of secondary importance, yet still significant.","dblp","Computer Science","18","https://doi.org/10.1109/MM.2022.3218034","10.1109/MM.2022.3218034","2023-01-01","2026-04-08","",""
"doi:10.1109/MM.2022.3220399","2207.01209","a1f83c63eb2c328abbfb228dc9cfb3dba5063f34","Sustainable AI Processing at the Edge","Sébastien Ollivier","2023","IEEE-MICRO","Edge computing is a popular paradigm for accelerating light- to medium-weight machine learning algorithms initiated from mobile devices without requiring the long communication latencies to send them to remote datacenters in the cloud. Edge servers primarily consider traditional concerns, such as size, weight, and power constraints for their installations. However, such metrics are not entirely sufficient to consider environmental impacts from computing given the significant contributions from embodied energy and carbon. In this article we explore the tradeoffs of hardware strategies for convolutional neural network acceleration engines considering inference and online training. In particular, we explore the use of mobile graphics processing unit (GPU) accelerators, recently released edge-class field-programmable gate arrays, and novel processing in memory (PIM) using dynamic random-access memory (DRAM) and emerging Racetrack memory. Given edge servers already employ DRAM and sometimes GPU accelerators, we consider the sustainability implications using breakeven analysis of replacing or augmenting DDR3 with Racetrack memory. We also consider the implications for provisioning edge servers with different accelerators using indifference analysis. While mobile GPUs are typically much more energy efficient, their significant embodied energy can make them less sustainable than PIM solutions in certain scenarios that consider activity time and compute effort.","dblp","Computer Science","19","https://doi.org/10.1109/MM.2022.3220399","10.1109/MM.2022.3220399","2022-07-04","2026-04-08","",""
"doi:10.1109/MM.2022.3219803","","91c3524fa680662092875ba0ad602126178e5215","Data Centers on Wheels: Emissions From Computing Onboard Autonomous Vehicles","Soumya Sudhakar","2023","IEEE-MICRO","While much attention has been paid to data centers’ greenhouse gas emissions, less attention has been paid to autonomous vehicles’ (AVs) potential emissions. In this work, we introduce a framework to probabilistically model the emissions from computing onboard a global fleet of AVs and show that the emissions have the potential to make a nonnegligible impact on global emissions, comparable to that of all data centers today. Based on current trends, a widespread AV adoption scenario where approximately 95% of all vehicles are autonomous requires computer power to be less than 1.2 kW for emissions from computing on AVs to be less than emissions from all data centers in 2018 in 90% of modeled scenarios. Anticipating a future scenario with high adoption of AVs, business-as-usual decarbonization, and workloads doubling every three years, hardware efficiency must double every 1.1 years for emissions in 2050 to equal 2018 data center emissions. The rate of increase in hardware efficiency needed in many scenarios to contain emissions is faster than the current rate. We discuss several avenues of future research unique to AVs to further analyze and potentially reduce the carbon footprint of AVs.","dblp","Computer Science","49","https://doi.org/10.1109/MM.2022.3219803","10.1109/MM.2022.3219803","2023-01-01","2026-04-08","",""
"doi:10.1109/MM.2022.3229244","","","Special Issue on Cool Chips","Ryusuke Egawa","2023","IEEE-MICRO","[abstract unavailable]","dblp","","0","https://doi.org/10.1109/MM.2022.3229244","10.1109/MM.2022.3229244","","2026-04-08","",""
"doi:10.1109/MM.2022.3226630","2212.00688","20865de86adb0551489e91e6787541d78681c99b","TCN-CUTIE: A 1, 036-TOp/s/W, 2.72-µJ/Inference, 12.2-mW All-Digital Ternary Accelerator in 22-nm FDX Technology","Moritz Scherer","2023","IEEE-MICRO","Tiny machine learning (TinyML) applications impose µJ/inference constraints, with a maximum power consumption of tens of megawatt. It is extremely challenging to meet these requirements at a reasonable accuracy level. This work addresses the challenge with a flexible, fully digital ternary neural network (TNN) accelerator in a reduced instruction set computer-five (RISC-V)-based System-on-Chip (SoC). Besides supporting ternary convolutional neural networks, we introduce extensions to the accelerator design that enable the processing of time-dilated temporal convolutional neural networks (TCNs). The design achieves 5.5-µJ/inference, 12.2 mW, 8,000 inferences/s at 0.5 V for a dynamic vision sensor (DVS)-based TCN and an accuracy of 94.5%, and 2.72-µJ/inference, 12.2 mW, 3,200 inferences/s at 0.5 V for a nontrivial 9-layer, 96 channels-per-layer convolutional network with CIFAR-10 accuracy of 86%. The peak energy efficiency is 1,036 TOp/s/W, outperforming the state-of-the-art silicon-proven TinyML quantized accelerators by 1.67× while achieving competitive accuracy.","dblp","Computer Science","6","https://doi.org/10.1109/MM.2022.3226630","10.1109/MM.2022.3226630","2022-12-01","2026-04-08","",""
"doi:10.1109/MM.2022.3226739","","9b7ff3d8c522ab33bfee675faeb138af6d58aad6","A Scalable Body Bias Optimization Method Toward Low-Power CGRAs","Takuya Kojima","2023","IEEE-MICRO","Body biasing is one of the critical techniques to realize more energy-efficient computing with reconfigurable devices, such as coarse-grained reconfigurable architectures. Its benefit depends on the control granularity, whereas fine-grained control makes it challenging to find the best body bias voltage for each domain due to the complexity of the optimization problem. This work reformulates the optimization problem and introduces continuous relaxation to solve it faster than previous work based on an integer linear program. Experimental result shows the proposed method can solve the problem within 0.5 s for all benchmarks in any conditions. For a middle-class problem, up to 5.65× speedup and a geometric mean of 2.06× speedup are demonstrated compared to the previous method with negligible loss of accuracy. Besides, we explore finer body bias control considering the power- and area-overhead of an on-chip body bias generator and suggest the most reasonable design saves 66% of energy consumption.","dblp","Computer Science","0","https://doi.org/10.1109/MM.2022.3226739","10.1109/MM.2022.3226739","2023-01-01","2026-04-08","",""
"doi:10.1109/MM.2022.3193642","","da6ca8148775500c4516bf129ce5a61294798e23","Enterprise-Class Multilevel Cache Design: Low Latency, Huge Capacity, and High Reliability","Deanna Postles Dunn Berger","2023","IEEE-MICRO","The IBM Z computing platform is optimized for processing vast amounts of data and transactions with low latency in a highly virtualized and secured environment with sustained processor utilization of over 90%. The platform and its microprocessor chip are designed to deliver consistent system performance, throughput, and response times under all conditions. The innovative cache architecture of the IBM Telum Processor provides low latency, large capacity, and reliable L2 caches. Based on a novel horizontal cache persistence algorithm, these L2 caches also serves as system wide L3 and L4 caches delivering optimal enterprise application performance. When built into an IBM z16 system, these architectural features deliver 11% per-core performance improvement over the prior z15 hardware, running real-world enterprise applications.","dblp","Computer Science","5","https://doi.org/10.1109/MM.2022.3193642","10.1109/MM.2022.3193642","2023-01-01","2026-04-08","",""
"doi:10.1109/MM.2022.3193949","","3ba56a3d3a77ebef583b21503d8b25ac34f78771","Data Movement Accelerator Engines on a Prototype Power10 Processor","Yutaka Sugawara","2023","IEEE-MICRO","This article presents the design and implementation of active messaging engines (AMEs) on an IBM Power10 prototype chip. AMEs are tiny, simple, but fully programmable 64-bit processors, for offloading operations related to data movement. AMEs can offload the execution flow of the message passing interface and other messaging stacks from the host central processing unit, enabling truly asynchronous progress to overlap computation and communication. The AMEs are implemented as onboard OpenCAPI-compliant accelerators, leveraging existing OpenCAPI infrastructure. As realized in a 7-nm technology, each AME takes 0.034 mm2 of silicon area and 4.1 mW of power. AME performance is evaluated across several contiguous and noncontiguous memory copy scenarios. AMEs can perform up to the bandwidth limit of their access path to the main memory (32 GB/s) and incur a per-request overhead of about 600 ns. These results indicate that AMEs will confer advantages to general messaging libraries for processing, sending, and receiving on-node and off-node messages.","dblp","Computer Science","7","https://doi.org/10.1109/MM.2022.3193949","10.1109/MM.2022.3193949","2023-01-01","2026-04-08","",""
