"paper_id","arxiv_id","s2_paper_id","title","authors","year","venue","abstract","source","categories","citation_count","url","doi","published_date","crawled_date","keep","notes"
"doi:10.1109/TCAD.2023.3305934","","459ce0d315837a6a8524a27e746756b47327e47a","ISOP+: Machine Learning-Assisted Inverse Stack-Up Optimization for Advanced Package Design","Hyunsu Chae","2024","IEEE-TCAD","The future of computing requires heterogeneous integration, including the recent adoption of chiplet methodology, where high-speed cross-chip interconnects and packaging are critical for the overall system performance. As an example of advanced packaging, a high-density interconnect (HDI) printed circuit board (PCB) has been widely used in complex electronics ranging from cell phones to computing servers. A modern HDI PCB may have over 20 layers, each with its unique material properties and geometrical dimensions, i.e., stack-up, to meet various design constraints and performance requirements. Stack-up design is usually done manually in the industry, where experienced designers may devote many hours adjusting the physical dimensions and materials in order to meet the desired specifications. This process, however, is time-consuming, tedious, and suboptimal, largely depending on the designer’s expertise. In this article, we propose to automate the stack-up design with a new framework, ISOP+, using machine learning (ML) for inverse stack-up optimization for advanced package design with adaptive weight adjustment and multilevel optimization. Given a target design specification, ISOP+ automatically searches for ideal stack-up design parameters while optimizing performance. A novel ML-assisted hyperparameter optimization method is developed to make the search efficient and reliable. Experimental results demonstrate that ISOP+ is better in figure-of-merit (FoM) than conventional simulated annealing and Bayesian optimization algorithms, with all our design targets met with a shorter runtime. We also compare our fully automated ISOP+ with expert designers in the industry and achieve very promising results, with orders of magnitude reduction of turn-around time.","dblp","Computer Science","1","https://doi.org/10.1109/TCAD.2023.3305934","10.1109/TCAD.2023.3305934","2024-01-01","2026-04-08","",""
"doi:10.1109/TCAD.2023.3298698","","a3ce23c48addc436d0a33874846b8dd3c6a71a1f","Analog Defect Injection and Fault Simulation Techniques: A Systematic Literature Review","Sadia Azam","2024","IEEE-TCAD","Since the last century, the exponential growth of the semiconductor industry has led to the creation of tiny and complex integrated circuits, e.g., sensors, actuators, and smart power. Innovative techniques are needed to ensure the correct functionality of analog devices that are ubiquitous in every smart system. The ISO 26262 standard for functional safety in the automotive context specifies that fault injection is necessary to validate all electronic devices. For decades, standardization of defect modeling and injection mainly focused on digital circuits and, in a minor part, on analog ones. An initial attempt is being made with the IEEE P2427 draft standard that started to give a structured and formal organization to the analog testing field. Various methods have been proposed in the literature to speed up the fault simulation of the defect universe for an analog circuit. A more limited number of papers seek to reduce the overall simulation time by reducing the number of defects to be simulated. This literature survey describes the state-of-the-art of analog defect injection and the fault simulation methods. The survey is based on the preferred reporting items for systematic reviews and meta-analyses (PRISMA) methodological flow, allowing for a systematic and complete literature survey. Each selected paper has been categorized and presented to provide an overview of all the available approaches. In addition, the limitations of the various approaches are discussed by showing possible future directions.","dblp","Computer Science","14","https://doi.org/10.1109/TCAD.2023.3298698","10.1109/TCAD.2023.3298698","2024-01-01","2026-04-08","",""
"doi:10.1109/TCAD.2023.3306717","","08ee5eb3a0fe14bb424a98da831a4436cd196d28","Efficient Encodings for Scalable Exploration of Cyber-Physical System Architectures","Dmitrii Kirov","2024","IEEE-TCAD","We present a methodology for scalable exploration of cyber-physical system architectures. We propose a mathematical formulation of the architecture exploration problem as an optimized mapping problem that includes joint selection of system topologies and components taken from predefined libraries. Using a graph-based representation of an architecture, we introduce novel compact encodings of mapping constraints and path constraints that significantly improve the scalability of the formulation. We use the new encodings to instantiate design requirements, such as interconnection, routing, timing, and energy constraints, on the architecture model. We implement our methods in an extensible architecture exploration toolbox, and provide a pattern-based language for formal, yet flexible, requirement specification. Numerical evaluations on a set of design problems from wireless sensor networks, reconfigurable manufacturing systems, and electrical power systems demonstrate the effectiveness of our approach.","dblp","Computer Science","6","https://doi.org/10.1109/TCAD.2023.3306717","10.1109/TCAD.2023.3306717","2024-01-01","2026-04-08","",""
"doi:10.1109/TCAD.2023.3298699","","288de4cb383d45dca8bbeefd72ad76b9a4b4b9ed","Optimality-Guaranteed Design Space Pruning for CAN-FD Frame Packing","Wenhong Ma","2024","IEEE-TCAD","With the development of the automotive industry toward intelligence and automation, there is a trend of controller area network (CAN) migrating to CAN with flexible data-rate (CAN-FD), where frame packing (i.e., packing signals of various periods, deadlines, and payloads into frames following the standard CAN-FD format) is critical to address the high bandwidth demand with limited resources. Existing works have applied integer linear programming (ILP), which easily gets intractable as the number of signals to be packed increases, or proposed heuristics, which are not able to obtain the optimal solution. In addition, the security model employed does not meet the AUTOSAR SecOC specification. This article reports a novel frame-packing approach for CAN-FD with an AUTOSAR-compliant security model. We establish the theory that extending the existing frame to pack signals with the same period leads to shorter worst-case transmission time (WCTT) and thus lower bus utilization compared to creating a new frame. Following this principle, the design space is tremendously pruned, where the optimal solution is guaranteed to remain. With pruning, we are able to increase the optimally solvable size of the problem from 150 signals to 300 signals, which is sufficient for practical usage. When there are 300 signals, only 10−142 of the original design space needs to be explored. To further improve efficiency, we apply pruning to heuristics. When the signal size is 500, for simulated annealing (SA), the computation time can be reduced by 54.1% and the bus utilization can be saved by 10.5% with pruning being deployed. In addition, we propose the max–min ant system as an alternative, which achieves better bus utilization than SA in shorter computation. Our reported method is generally applicable to other CAN-based distributed networks demanding higher bandwidth as well, such as in industry automation.","dblp","Computer Science","3","https://doi.org/10.1109/TCAD.2023.3298699","10.1109/TCAD.2023.3298699","2024-01-01","2026-04-08","",""
"doi:10.1109/TCAD.2023.3309731","","6ee9a298abd2040f07f767b50d6cb463bbb7b2a9","DETERRENT: Detecting Trojans Using Reinforcement Learning","Vasudev Gohil","2024","IEEE-TCAD","The globalized nature of the integrated circuits supply chain has given rise to several security problems. The insertion of malicious components, called hardware Trojans, is one such serious problem. Since Trojans are activated only under extremely rare trigger conditions and the search space is exponentially large, detecting them is arduous. Researchers have attempted to detect Trojans by querying the design-under-test using appropriate test patterns and monitoring its logical or side-channel response. However, techniques in both these categories lack either in terms of detection accuracy or scalability for larger designs. In this work, we investigate why existing techniques fall short and use our findings to propose a new reinforcement learning (RL) framework for detecting Trojans. We carefully design two RL agents (one for each category) that navigate the exponential search space of the test patterns and return minimal sets of patterns that are most likely to detect Trojans. We overcome challenges related to scalability and efficacy through appropriate solutions. Experimental results on a variety of benchmarks demonstrate the scalability and efficacy of our RL agents, which reduce the number of test patterns significantly <inline-formula> <tex-math notation=""LaTeX"">$(169.68\times $ </tex-math></inline-formula> and <inline-formula> <tex-math notation=""LaTeX"">$34.73\times $ </tex-math></inline-formula> on average overall and <inline-formula> <tex-math notation=""LaTeX"">$27.59\times $ </tex-math></inline-formula> and <inline-formula> <tex-math notation=""LaTeX"">$3.72\times $ </tex-math></inline-formula> on average over large benchmarks) while maintaining or improving the Trojan-detection success rate compared to the state-of-the-art techniques.","dblp","Computer Science","0","https://doi.org/10.1109/TCAD.2023.3309731","10.1109/TCAD.2023.3309731","2024-01-01","2026-04-08","",""
"doi:10.1109/TCAD.2023.3301386","","edff76e2be7ae1ad3e61215f355b55cfddf5fe03","Design Guidelines and Feedback Structure of Ring Oscillator PUF for Performance Improvement","Zhengfeng Huang","2024","IEEE-TCAD","The physical unclonable function (PUF) is a hardware security primitive that is used to generate secret keys or identity authentication for chips using random manufacturing process variation (MPV). The PUF based on ring oscillator (RO PUF) has been extensively studied in recent years because of its high robustness and ease of design. Although the performance has been optimized in previous studies, several uniqueness, reliability, and theoretical foundation concerns still remain. This article presents a transistor-level parameters-based quantitative theoretical model, which clearly reveals several design guidelines for improving the reliability of RO PUF. Furthermore, a PUF based on a feedback ring oscillator (RO) structure is proposed, which combined the RO topology and the drafting effect of XOR gates to enhance the uniqueness and reliability. The correctness of the theoretical model was verified by the SPICE simulation experiment result. And in the FPGA experiment result, the uniqueness and the reliability of feedback RO PUF using the same hardware resources on the same chip was superior to that of RO PUF. The theoretical research method of RO PUF used can be widely applied to other PUFs using ring topology and feedback RO PUF is a great substitute for RO PUF.","dblp","Computer Science","26","https://doi.org/10.1109/TCAD.2023.3301386","10.1109/TCAD.2023.3301386","2024-01-01","2026-04-08","",""
"doi:10.1109/TCAD.2023.3301393","","c1c6154a4d9a457c4724c218175a02d1dcebf4bc","A Bloom-Filter-Based Unique Address Checking Approach for DAG-Based Blockchain Systems","Tianyu Wang","2024","IEEE-TCAD","Winternitz one-time signature (WOTS) is a quantum-resistant signature mechanism that has been widely used in direct acyclic graph (DAG)-based blockchain systems. However, it needs to generate a unique private/public key pair for each transaction, which severely limits blockchain performance by performing a time-consuming unique address checking process when generating transactions. This article proposes a bloom-filter-based approach, called ABACUS, to optimize the unique address checking process in WOTS. In ABACUS, we separate the large address space into multiple small subspaces and apply bloom filters to perform uniqueness checking for all addresses in one subspace. Specifically, we propose a two-level address space mechanism to strike a balance between the checking efficiency and the memory/storage space overhead of the bloom filter design. A bucket-based scalable bloom filter (SBF) design is proposed to match the growth of used addresses with efficient I/O access by storing all sub-bloom-filters together in one bucket. To further reduce disk I/Os, ABACUS incorporates an in-memory write buffer and a read-only cache. To reclaim wasted addresses, we also propose a layered address recycling mechanism by efficiently checking and reusing unused addresses that were identified as used due to false positives of bloom filters. We have implemented a fully functional prototype of ABACUS and integrated it into IOTA, a widely used DAG-based blockchain system. A series of experiments have been conducted on a private IOTA system. Experimental results show that ABACUS can significantly reduce the transaction generation time by up to four orders of magnitude, and achieve up to $3\times $ boost on the system throughput with more than 80% space-saving. We have released the open-source code of ABACUS for public access.","dblp","Computer Science","1","https://doi.org/10.1109/TCAD.2023.3301393","10.1109/TCAD.2023.3301393","2024-01-01","2026-04-08","",""
"doi:10.1109/TCAD.2023.3275531","","e5cb5e27b769dab9ca6244f83cfa764a037af8d5","Conflict-Free Parallel Data Access Technology for Matrix Calculation in Memory System of ASIP of 5G/6G Macro Base Stations","Wei Chen","2024","IEEE-TCAD","Among the physical layer baseband algorithms in macro base stations, the matrix processing has the dominant computing cost, large data access overhead, and complicated addressing mode. The existing data access methods are not the best solution for memory system of application-specific instruction set processor (ASIP) in 5G/6G macro stations. We hence proposed a parallel conflict-free data access method for matrix. Moreover, we proposed a nonredundant access method for positive-definite matrix that stores only trigonometric part, and the corresponding parallel addressing method with low storage overhead. Our method solves the problem of data conflict and minimizes the memory space of ASIP, and supports ASIP to approach the performance limit of architecture to the maximum extent under the constraint of architecture and data parallelism. We implemented the proposed method as a static memory optimizer, which provides a tool for the design and optimization of memory system of ASIP in 5G/6G macro base stations with low overhead. Experimental results show that for the ${64}\mathbf {\times }{64}$ positive-definite matrix inversion algorithm based on Cholesky decomposition, our addressing method can save 32% of the execution time, and the cost of memory space is reduced by half.","dblp","Computer Science","9","https://doi.org/10.1109/TCAD.2023.3275531","10.1109/TCAD.2023.3275531","2024-01-01","2026-04-08","",""
"doi:10.1109/TCAD.2023.3305573","","f03fcc436a5245ab9f5eb52197aa2cf83d8bbcb0","Highly VM-Scalable SSD in Cloud Storage Systems","Wonyoung Lee","2024","IEEE-TCAD","Solid-state drives (SSDs) are widely used in cloud storage. As the capacity of an SSD has been increasing, it has become common for many virtual machines (VMs) to share a single SSD to maximize resource utilization. However, this sharing can degrade the efficiency of internal operations, such as garbage collection, resulting in increased latencies. Existing literature in this field has mostly focused on interdevice isolation considering the storage device as a black-box entity or presumed an SSD to be shared by up to only eight VMs. In this study, we first analyze a realistic SSD usage environment in cloud systems and identify that block-level data isolation (BDI) should be guaranteed to efficiently scale up the number of VMs in an SSD with minimum latency increases. However, previous schemes cannot work efficiently with BDI when the SSD is shared by dozens of VMs. Based on this analysis, we propose an SSD internal resource management scheme in a cloud environment, called highly VM-scalable SSD (VMS). VMS dynamically partitions physical resources and allocates them to VMs, while the VMs share global buffer blocks to lower latency during abrupt fluctuations of write I/O intensities. Our experimental results show up to 29% of latency reduction. VMS exhibits reduced latencies even in the experiment with 64 VMs, where existing schemes do not function normally.","dblp","Computer Science","3","https://doi.org/10.1109/TCAD.2023.3305573","10.1109/TCAD.2023.3305573","2024-01-01","2026-04-08","",""
"doi:10.1109/TCAD.2023.3309744","2305.05105","9ee27cd95c5c028520a1a5c3faaad5fd8225a6e3","TinyML Design Contest for Life-Threatening Ventricular Arrhythmia Detection","Zhenge Jia","2024","IEEE-TCAD","The first ACM/IEEE TinyML Design Contest (TDC) held at the 41st International Conference on Computer-Aided Design (ICCAD) in 2022 is a challenging, multimonth, research and development competition. TDC’22 focuses on real-world medical problems that require the innovation and implementation of artificial intelligence/machine learning (AI/ML) algorithms on implantable devices. The challenge problem of TDC’22 is to develop a novel AI/ML-based real-time detection algorithm for life-threatening ventricular arrhythmia (VA) over low-power microcontrollers utilized in implantable cardioverter-defibrillators (ICDs). The dataset contains more than 38000 5-s intracardiac electrograms (IEGMs) segments over eight different types of rhythm from 90 subjects. The dedicated hardware platform is NUCLEO-L432KC manufactured by STMicroelectronics. TDC’22, which is open to multiperson teams world-wide, attracted more than 150 teams from over 50 organizations. This article first presents the medical problem, dataset, and evaluation procedure in detail. It further demonstrates and discusses the designs developed by the leading teams as well as representative results. This article concludes with the direction of improvement for the future TinyML design for health monitoring applications.","dblp","Computer Science; Engineering","15","https://doi.org/10.1109/TCAD.2023.3309744","10.1109/TCAD.2023.3309744","2023-05-09","2026-04-08","",""
