"paper_id","arxiv_id","s2_paper_id","title","authors","year","venue","abstract","source","categories","citation_count","url","doi","published_date","crawled_date","keep","notes"
"doi:10.1109/TVLSI.2022.3228023","","521d92988438f6556c5dfc4709b7bfee9d2cb07e","Opening of the 2023 Editorial Year - This Coda as Prelude of Next TVLSI Cycle With Sustained Growth","Massimo Alioto","2023","IEEE-TVLSI","[abstract unavailable]","dblp","Computer Science","0","https://doi.org/10.1109/TVLSI.2022.3228023","10.1109/TVLSI.2022.3228023","2023-01-01","2026-04-08","",""
"doi:10.1109/TVLSI.2022.3224011","","581a6c202503519f0ef6c1fdd478a45b962db7b8","Approximate Softmax Functions for Energy-Efficient Deep Neural Networks","Ke Chen","2023","IEEE-TVLSI","Approximate computing has emerged as a new paradigm that provides power-efficient and high-performance arithmetic designs by relaxing the stringent requirement of accuracy. Nonlinear functions (such as softmax, rectified linear unit (ReLU), Tanh, and Sigmoid) are extensively used in deep neural networks (DNNs). However, they incur significant power dissipation due to the high circuit complexity. As DNNs are error-tolerant, the design of approximation-linear functions is possible and desired. In this article, the design of an approximate softmax function (AxSF) is proposed. AxSF is based on a double hybrid structure (DHS). AxSF divides the input of the softmax function into two parts for different processing methods. The most significant bits (MSBs) are processed with lookup tables (LUTs) and an exact restoring array divider (EXDr). Taylor’s expansion and a logarithmic divider are used for the less significant bits (LSBs). An improved DHS (IDHS) is also proposed to reduce the hardware complexity. In IDHS, a novel Booth multiplier is utilized for the hybrid scheme to improve the partial product generation and compression, while the truncated implementation is applied to the divider unit. The proposed DHS and IDHS are compared with existing softmax designs. The results show that the proposed approximate softmax design reduces hardware by 48% and delay by 54% while retaining a high accuracy.","dblp","Computer Science","23","https://doi.org/10.1109/TVLSI.2022.3224011","10.1109/TVLSI.2022.3224011","2023-01-01","2026-04-08","",""
"doi:10.1109/TVLSI.2022.3218021","","6cc0576f6f40aed60519d2dc400e7db4bd086cc3","AxPPA: Approximate Parallel Prefix Adders","Morgana Macedo Azevedo da Rosa","2023","IEEE-TVLSI","Addition units are widely used in many computational kernels of several error-tolerant applications such as machine learning and signal, image, and video processing. Besides their use as stand-alone, additions are essential building blocks for other math operations such as subtraction, comparison, multiplication, squaring, and division. The parallel prefix adders (PPAs) is among the fastest adders. It represents a parallel prefix graph consisting of the carry operator nodes, called prefix operators (POs). The PPAs, in particular, are among the fastest adders because they optimize the parallelization of the carry generation ( $G$ ) and propagation ( $P$ ). In this work, we introduce approximate PPAs (AxPPAs) by exploiting approximations in the POs. To evaluate our proposal for approximate POs (AxPOs), we generate the following AxPPAs, consisting of a set of four PPAs: approximate Brent–Kung (AxPPA-BK), approximate Kogge–Stone (AxPPA-KS), Ladner-Fischer (AxPPA-LF), and Sklansky (AxPPA-SK). We compare four AxPPA architectures with energy-efficient approximate adders (AxAs) [i.e., Copy, error-tolerant adder I (ETAI), lower-part OR adder (LOA), and Truncation (trunc)]. We tested them generically in stand-alone cases and embedded them in two important signal processing application kernels: a sum of squared differences (SSDs) video accelerator and a finite impulse response (FIR) filter kernel. The AxPPA-LF provides a new Pareto front in both energy-quality and area-quality results compared to state-of-the-art energy-efficient AxAs.","dblp","Computer Science","55","https://doi.org/10.1109/TVLSI.2022.3218021","10.1109/TVLSI.2022.3218021","2023-01-01","2026-04-08","",""
"doi:10.1109/TVLSI.2022.3224084","","b68a133a283dde1179d5133cbb6175753ff5b8de","Low Routing Complexity Multiframe Pipelined LDPC Decoder Based on a Novel Pseudo Marginalized Min-Sum Algorithm for High Throughput Applications","Henry Lopez Davila","2023","IEEE-TVLSI","This article presents a high throughput and low routing complexity multiframe pipelined low-density parity check (LDPC) decoder design based on a novel pseudo marginalized min-sum (PMMS) message passing approach. The proposed PMMS approach reduces the required number of interconnections in the routing network allowing the design to be implemented with reduced hardware complexity, low power consumption and high throughput capability while supporting multiple coding rates with short and long codewords as defined in many application standards. Implementation results for IEEE802.11ad/ay standards show that the proposed design satisfies a target bit error rate (BER) requirement of $3 \times 10^{-7}$ with 64 quadrature amp mod (QAM) targeting high throughput applications. Furthermore, the proposed design is able to achieve a throughput of 62 and 101.8 Gb/s with two pipelining stages under 28-nm CMOS and 16-nm FinFET CMOS process, respectively. As compared to the existing NMS algorithm, the proposed design based on the PMMS approach reduces the number of wires in the routing network by 45.5%, and the wirelength of the overall decoder by 17%. The area and power consumption are also reduced by 9.4% and 12%, respectively, as compared to the conventional normalized min-sum (NMS) algorithm.","dblp","Computer Science","3","https://doi.org/10.1109/TVLSI.2022.3224084","10.1109/TVLSI.2022.3224084","2023-01-01","2026-04-08","",""
"doi:10.1109/TVLSI.2022.3223692","2109.12225","77b1d3e243788499a5d6d40513cbeb1f9be631a0","List-GRAND: A Practical Way to Achieve Maximum Likelihood Decoding","Syed Mohsin Abbas","2023","IEEE-TVLSI","Guessing random additive noise decoding (GRAND) is a recently proposed universal maximum likelihood (ML) decoder for short-length and high-rate linear block codes. Soft-GRAND (SGRAND) is a prominent soft-input GRAND variant, outperforming the other GRAND variants in decoding performance; nevertheless, SGRAND is not suitable for parallel hardware implementation. Ordered Reliability Bits-GRAND (ORBGRAND) is another soft-input GRAND variant that is suitable for parallel hardware implementation; however, it has lower decoding performance than SGRAND. In this article, we propose List-GRAND (LGRAND), a technique for enhancing the decoding performance of ORBGRAND to match the ML decoding performance of SGRAND. Numerical simulation results show that LGRAND enhances ORBGRAND’s decoding performance by 0.5–0.75 dB for channel codes of various classes at a target frame error rate (FER) of 10−7. For linear block codes of length 127/128 and different code rates, LGRAND’s VLSI implementation can achieve an average information throughput of 47.27–51.36 Gb/s. In comparison to ORBGRAND’s VLSI implementation, the proposed LGRAND hardware has a 4.84% area overhead.","dblp","Computer Science; Mathematics","43","https://doi.org/10.1109/TVLSI.2022.3223692","10.1109/TVLSI.2022.3223692","2021-09-24","2026-04-08","",""
"doi:10.1109/TVLSI.2022.3212271","2206.03440","3ebdce21cd0e3cb760b98308dece87a5d725cb77","Enhancing Strong PUF Security With Nonmonotonic Response Quantization","Kleber Stangherlin","2023","IEEE-TVLSI","Strong physical unclonable functions (PUFs) provide a low-cost authentication primitive for resource-constrained devices. However, most strong PUF architectures can be modeled through learning algorithms with a limited number of CRPs. In this article, we introduce the concept of nonmonotonic response quantization for strong PUFs. Responses depend not only on which path is faster but also on the distance between the arriving signals. Our experiments show that the resulting PUF has increased security against learning attacks. To demonstrate, we designed and implemented a nonmonotonically quantized ring oscillator-based PUF in 65-nm technology. Measurement results show nearly ideal uniformity and uniqueness with a bit error rate of 13.4% over the temperature range from 0 °C to 50 °C.","dblp","Engineering; Computer Science","5","https://doi.org/10.1109/TVLSI.2022.3212271","10.1109/TVLSI.2022.3212271","2022-06-07","2026-04-08","",""
"doi:10.1109/TVLSI.2022.3214724","","214adba09de33be8c9ca1c819b143814ed2a45c9","A Twofold Clock and Voltage-Based Detection Method for Laser Logic State Imaging Attack","Tasnuva Farheen","2023","IEEE-TVLSI","Powerful side-channel analysis (SCA) attacks based on failure analysis (FA) techniques can bypass conventional countermeasures on integrated circuits (ICs) and, therefore, break the entire system’s security. Laser logic state imaging (LLSI) from the IC backside is an example of such attacks, making the contactless probing of static on-die signals possible. Several countermeasures have been proposed to prevent optical probing attacks, such as LLSI. However, these schemes are designed according to the laser properties and its impact on transistors, and hence, they have complex fabrication steps and large area overhead. As a result, they are difficult to verify and implement. In this article, we propose a twofold detection self-timed sensor, which is the first attempt, to our knowledge, for an easy-to-implement circuit-based countermeasure to thwart LLSI attacks. To perform LLSI, the attacker needs to freeze the clock at a point of interest and modulate the voltage supply line at a known frequency to leak the state of transistors through laser light reflections. With these two attack requirements in mind, we design, simulate, and implement clock- and voltage-based sensors that can detect LLSI attacks with very high confidence.","dblp","Computer Science","13","https://doi.org/10.1109/TVLSI.2022.3214724","10.1109/TVLSI.2022.3214724","2023-01-01","2026-04-08","",""
"doi:10.1109/TVLSI.2022.3224582","2209.02661","4def06277ed846a3adee45b8ab9031af4d6a8f72","Hardware-Software Co-Design of Statistical and Deep-Learning Frameworks for Wideband Sensing on Zynq System on Chip","Rohith Rajesh","2023","IEEE-TVLSI","With the introduction of spectrum sharing and heterogeneous services in next-generation networks, the base stations need to sense the wideband spectrum and identify the spectrum resources to meet the quality-of-service, bandwidth, and latency constraints. Sub-Nyquist sampling (SNS) enables digitization for sparse wideband spectrum without needing Nyquist speed analog-to-digital converters (ADCs). However, SNS demands additional signal processing algorithms for spectrum reconstruction, such as the well-known orthogonal matching pursuit (OMP) algorithm. OMP is also widely used in other compressed sensing applications. The first contribution of this work is efficiently mapping the OMP algorithm on the Zynq system-on-chip (ZSoC) consisting of an ARM processor and field-programmable gate array (FPGA). Experimental analysis shows a significant degradation in OMP performance for sparse spectrum. Also, OMP needs prior knowledge of spectrum sparsity. We address these challenges via deep-learning (DL)-based architectures and efficiently map them on the ZSoC platform as a second contribution. Via hardware–software codesign (HSCD), different versions of the proposed architecture obtained by partitioning between software (SW) (ARM processor) and hardware (HW) (FPGA) are considered. The resource, power, and execution time comparisons for given memory constraints and a wide range of word lengths (WLs) are presented for these architectures.","dblp","Computer Science; Engineering","9","https://doi.org/10.1109/TVLSI.2022.3224582","10.1109/TVLSI.2022.3224582","2022-09-06","2026-04-08","",""
"doi:10.1109/TVLSI.2022.3221732","","90ce9535e13d64548f85de4c97b698a2590f2187","BitXpro: Regularity-Aware Hardware Runtime Pruning for Deep Neural Networks","Hongyan Li","2023","IEEE-TVLSI","Classic deep neural network (DNN) pruning mostly leverages software-based methodologies to tackle the accuracy/speed tradeoff, which involves complicated procedures such as critical parameter searching, fine-tuning, and sparse training to find the best plan. In this article, we explore the opportunities of hardware runtime pruning and propose a regularity-aware hardware runtime pruning methodology, termed “BitXpro” to empower versatile DNN inference. The method targets the bit-level sparsity and the sparsity irregularity in the parameters and pinpoints and prunes the useless bits on-the-fly in the proposed BitXpro accelerator. The versatility of BitXpro lies in: 1) software effortless; 2) orthogonal to the software-based pruning; and 3) multiprecision support (including both floating point and fixed point). Empirical studies on various domain-specific artificial intelligence (AI) tasks highlight the following results: 1) up to <inline-formula> <tex-math notation=""LaTeX"">$8.27\times $ </tex-math></inline-formula> speedup over the original nonpruned DNN and <inline-formula> <tex-math notation=""LaTeX"">$10.81\times $ </tex-math></inline-formula> speedup collaborated with the software-pruned DNN; 2) up to 0.3% and 0.04% higher accuracy for the floating- and fixed-point DNNs, respectively; and 3) <inline-formula> <tex-math notation=""LaTeX"">$6.01\times $ </tex-math></inline-formula> and <inline-formula> <tex-math notation=""LaTeX"">$8.20\times $ </tex-math></inline-formula> performance improvement over the state-of-the-art accelerators, with 0.068 mm2 and 74.82 mW (floating point 32) and 40.44 mW (16-bit fixed point) power consumption under the TSMC 28-nm technology library.","dblp","Computer Science","1","https://doi.org/10.1109/TVLSI.2022.3221732","10.1109/TVLSI.2022.3221732","2023-01-01","2026-04-08","",""
"doi:10.1109/TVLSI.2022.3213186","","c45724a2b7984f3e1cc79040fb10110441b5a852","Power-Efficient VLSI Architecture of a New Class of Dyadic Gabor Wavelets for Medical Image Retrieval","Aswini K. Samantaray","2023","IEEE-TVLSI","Gabor wavelet is widely used in the analysis of texture features. It is found that Gabor wavelet filter bank (FB) requires infinite precision (due to irrational coefficients) to extract accurate directional textural features for which it needs numerous computations and external memory access. Due to this, there is a requirement for huge digital hardware, increased dynamic power dissipation, and increased processing time. In order to solve these issues, this article presents the first dyadic Gabor wavelet FB (DGWFB) based on the slight alteration in orientation parameter without disturbing the remaining Gabor wavelet parameters. In addition, this article introduces a separable VLSI architecture for the proposed DGWFB. The proposed VLSI architecture is implemented in field-programmable gate array (FPGA) through Xilinx Kintex 7 platform. It is observed that the proposed DGWFB has reduced processing time, dynamic power dissipation and digital hardware requirement significantly. The effectiveness of the designed DGWFB is evaluated in medical image retrieval application using three different publicly available medical databases namely NEMA, OASIS, and EXACT09. The proposed DGWFB achieved better performance as compared to existing Gabor wavelet FBs with significantly reduced digital hardware and processing time.","dblp","Computer Science","6","https://doi.org/10.1109/TVLSI.2022.3213186","10.1109/TVLSI.2022.3213186","2023-01-01","2026-04-08","",""
"doi:10.1109/TVLSI.2022.3221390","","84b28077c88e7d938f4b56f8344b81ee2847fe26","A Heterogeneous and Programmable Compute-In-Memory Accelerator Architecture for Analog-AI Using Dense 2-D Mesh","Shubham Jain","2023","IEEE-TVLSI","We introduce a highly heterogeneous and programmable compute-in-memory (CIM) accelerator architecture for deep neural network (DNN) inference. This architecture combines spatially distributed CIM memory array “tiles” for weight-stationary, energy-efficient multiply–accumulate (MAC) operations, together with heterogeneous special-function compute cores for auxiliary digital computation. Massively parallel vectors of neuron activation data are exchanged over short distances using a dense and efficient circuit-switched 2-D mesh, offering full end-to-end support for a wide range of DNN workloads, including CNNs, long-short-term-memory (LSTM), and transformers. We discuss the design of the “analog fabric”—the 2-D grid of tiles and compute cores interconnected by the 2-D mesh—and address the efficiency in both mapping of DNNs onto the hardware and in pipelining of various DNN workloads across a range of batch sizes. We show, for the first time, system-level assessments using projected component parameters for a realistic “analog AI” system, based on dense crossbar arrays of low-power nonvolatile analog memory elements, while incorporating a single common analog fabric design that can scale to large networks by introducing data transport between multiple analog AI chips. Our performance estimates for several networks, including large LSTM and bidirectional encoder representations from transformers (BERT), show highly competitive throughput while offering $40\times $ – $140\times $ higher energy efficiency than NVIDIA A100—thus illustrating the strong promise of analog AI and the proposed architecture for DNN inference applications.","dblp","Computer Science","64","https://doi.org/10.1109/TVLSI.2022.3221390","10.1109/TVLSI.2022.3221390","2023-01-01","2026-04-08","",""
"doi:10.1109/TVLSI.2022.3219437","","452a416cbd7cde150f6ab33df7ada10a4c1ff162","A Low-Cost Reduced-Latency DRAM Architecture With Dynamic Reconfiguration of Row Decoder","Fujun Bai","2023","IEEE-TVLSI","DRAM latency has remained almost constant over decades and has become a performance bottleneck of computing systems. In this study, we propose a low-cost DRAM architecture enabling dynamic reconfiguring of row decoder to provide reduced latency with high flexibility and reliability. We apply minimum changes to row decoders and allow dynamic reconfiguration to switch array blocks between two modes: 1) normal mode, where the DRAM array behaves in the same manner as the conventional DRAM does and 2) low latency mode, where two DRAM cells in the neighbor array blocks are coupled to operate as a logical cell and reduce latency reliably according to the differential principle. On the basis of an industrial open bitline (BL) cell array, we only change the word-line decoding scheme but keep the cell array and sense amplifiers (SAs) untouched to avoid modifications to the DRAM process for cost and reliability considerations. Our circuit simulation shows that the low-latency mode can reduce row-to-column delay and row access strobe time by 25.7% and 23.2%, respectively. We evaluate the reduced-latency LPDDR4 DRAM on various workloads. Compared with the JEDEC standard DRAM, our proposal provides a maximum system performance improvement of 8.5%. We believe that our proposal is a reliable and cost-friendly solution to DRAM latency reduction.","dblp","Computer Science","8","https://doi.org/10.1109/TVLSI.2022.3219437","10.1109/TVLSI.2022.3219437","2023-01-01","2026-04-08","",""
"doi:10.1109/TVLSI.2022.3224137","","69ad925a6320cbcfb6389f457d5190919bf9a3b3","Reliability Evaluation and Fault Tolerance Design for FPGA Implemented Reed Solomon (RS) Erasure Decoders","Zhen Gao","2023","IEEE-TVLSI","Reed–Solomon erasure codes (RS-ECs) are widely applied in storage and packet communication systems to recover erasures. When implemented on a field-programmable gate array (FPGA) in a space platform, the RS-EC decoder will suffer single event upsets (SEUs) that can cause failures. In this brief, the reliability of an RS-EC decoder implemented on an FPGA to errors on the configuration memory is first studied based on hardware SEU injection experiments. We found that the reliability is lower for larger number of erased symbols, but there are still about 85% SEUs can be tolerated by the decoder itself even for the maximum number of erased symbols within the recovery capability. In addition, around 10%–25% SEUs on critical bits can cause system exceptions. Based on these results, a duplication with comparison (DWC) scheme is proposed for the protection of the RS-EC decoder. In particular, a checksum parity-based approach is proposed to detect the faulty decoder to reduce the computation overhead. Experimental results show that the reliability of the DWC protected RS-EC decoder to SEUs on the configuration memory is almost the same of a traditional triple modular redundancy (TMR) protection, and the resource usage is only about $2.15\times $ that of the unprotected decoder.","dblp","Computer Science","3","https://doi.org/10.1109/TVLSI.2022.3224137","10.1109/TVLSI.2022.3224137","2023-01-01","2026-04-08","",""
"doi:10.1109/TVLSI.2022.3218741","","4814a7c5f92a12622a62f3682d054213e5fd57eb","Implementation of a Multipath Fully Differential OTA in 0.18-μm CMOS Process","Meysam Akbari","2023","IEEE-TVLSI","[abstract unavailable]","dblp","Computer Science","16","https://doi.org/10.1109/TVLSI.2022.3218741","10.1109/TVLSI.2022.3218741","2023-01-01","2026-04-08","",""
"doi:10.1109/TVLSI.2022.3224237","","51fb07207b398b40dab30db54a00c03b90713099","A High-Speed Low-Noise Comparator With Auxiliary-Inverter-Based Common Mode-Self-Regulation for Low-Supply-Voltage SAR ADCs","Lei Qiu","2023","IEEE-TVLSI","A high-speed low-noise comparator with an auxiliary inverter-based (AIB) preamplifier is proposed in this brief. The preamplifier adopts an inverter-based input pair without tail transistors, which is well-suitable for low-supply-voltage applications, especially in deep submicrometer technologies. Moreover, it achieves high bandwidth and low noise with high current efficiency. Dynamic common-mode feedback combined with a secondary inverter-based input pair regulates the output common-mode (CM) voltage of the preamplifier by itself against PVT and input CM voltage sensitivity without complex control logic and quiescent current. Embedded in a 200 MS/s 16-bit successive-approximation-register (SAR) analog-to-digital converter (ADC) in standard 28-nm CMOS technology, the proposed comparator achieves a 68.1-ps delay at a 50-<inline-formula> <tex-math notation=""LaTeX"">$\mu \text{V}$ </tex-math></inline-formula> differential input voltage and a root-mean-square input-referred noise of 45.6 <inline-formula> <tex-math notation=""LaTeX"">$\mu \text{V}_{\mathrm {rms}}$ </tex-math></inline-formula> under the 1-V power supply.","dblp","Computer Science","27","https://doi.org/10.1109/TVLSI.2022.3224237","10.1109/TVLSI.2022.3224237","2023-01-01","2026-04-08","",""
"doi:10.1109/TVLSI.2022.3224357","","53825ae50f026038918c2812b8bd23094be96a66","Reliable Architectures for Finite Field Multipliers Using Cyclic Codes on FPGA Utilized in Classic and Post-Quantum Cryptography","Alvaro Cintas Canto","2023","IEEE-TVLSI","Fault detection is becoming greatly important in protecting cryptographic designs that can suffer from both natural or malicious faults. Finite fields over $\text {GF}(2^{m})$ are widely used in such designs, since their data are coded in binary form for practical reasons. Among the different finite field arithmetic, multiplication is the bottleneck operation for many cryptosystems due to its complexity. Therefore, in this work, fault detection schemes based on cyclic codes for finite field multipliers using different fields found in traditional and post-quantum cryptography are derived. Moreover, we implement such schemes by embedding them into the original architectures to perform an exhaustive study, benchmark the different overheads obtained, and prove their suitability for deeply constrained embedded systems. These implementations are performed on advanced micro devices (AMD)/Xilinx field-programmable gate array (FPGA) and provide a very high error coverage with acceptable overhead.","dblp","Computer Science","36","https://doi.org/10.1109/TVLSI.2022.3224357","10.1109/TVLSI.2022.3224357","2023-01-01","2026-04-08","",""
"doi:10.1109/TVLSI.2022.3229442","","d6afeeb5a3bd0c5555365f6423b4272feb1b1d3d","NS3K: A 3-nm Nanosheet FET Standard Cell Library Development and its Impact","Taehak Kim","2023","IEEE-TVLSI","Nanosheet FETs (NSFETs) are attracting attention as promising devices that can replace FinFETs beyond the 5-nm node. Despite the importance of the devices, few studies analyze the impact of NSFETs at the block-level. In this article, we introduce NS3K, the first 3-nm NSFET standard cell library, and examine the results on a block-level scale. In addition to the overall process of designing a full library, we extended the scope of the buried power rail (BPR) to better layout designs. We showed that BPR, originally proposed to overcome power delivery problems, is also an effective solution for standard cell hegith reductions. Using BPR, we highlight that 4-track height standard cell designs have a negligible impact on power delivery and signal routing. Overall chip results show that the 3-nm NSFET outperforms the 5-nm FinFET by −27.4% in power, −25.8% in total wirelength, −8.5% in the number of cells, −47.6% in area, and 34.7% performance, respectively, owing to better device performance and interconnect scaling. However, careful device/layout designs and new interconnect structures must be applied to continue the scaling trend and maximize the advantages of 3-nm technology.","dblp","Computer Science","13","https://doi.org/10.1109/TVLSI.2022.3229442","10.1109/TVLSI.2022.3229442","2023-02-01","2026-04-08","",""
"doi:10.1109/TVLSI.2022.3220339","","3de3d88a51aeed390689fa43341f50e256fc3e3a","Complementary FET (CFET) Standard Cell Design for Low Parasitics and Its Impact on VLSI Prediction at 3-nm Process","Eun-Bin Park","2023","IEEE-TVLSI","Complementary field-effect transistor (CFET) is a future transistor type with a high potential to be used beyond 3-nm technology nodes. Despite its high future value, studies related to CFETs mostly focused on the device aspects. In other words, the path of CFET full-chip IC design is not fully demystified, knowing that various design factors/steps (such as schematic, layout, parasitics, design flow) must be considered on top of device traits for full-chip level IC. Therefore, this study focuses on enlightening the remaining factors/steps for full-chip IC design. In detail, we notify the importance of parasitics from various aspects of CFET design and provide optimization solutions. Compared to nanosheet FET (NSFET) on the full-chip scale, CFET shows a reduction of the area by −48.2%, power by −29.4%, total wirelength by −32.5%, and the number of cells by −18.1%.","dblp","Computer Science","36","https://doi.org/10.1109/TVLSI.2022.3220339","10.1109/TVLSI.2022.3220339","2023-02-01","2026-04-08","",""
