"paper_id","arxiv_id","s2_paper_id","title","authors","year","venue","abstract","source","categories","citation_count","url","doi","published_date","crawled_date","keep","notes"
"doi:10.1007/978-3-031-41673-6_1","","0735c4be0daf9880bbac78712f7a7f52cedabf17","Automation of Programming for Promising High-Performance Computing Systems","Vladimir A. Bakhtin","2023","PACT","[abstract unavailable]","dblp","Computer Science","0","https://doi.org/10.1007/978-3-031-41673-6_1","10.1007/978-3-031-41673-6_1","","2026-04-08","",""
"doi:10.1007/978-3-031-41673-6_2","","f6a1cc3c69a180626ad8926c2442a19aaa50ae8e","Automatic Parallelization of Iterative Loops Nests on Distributed Memory Computing Systems","Anton P. Bagliy","2023","PACT","[abstract unavailable]","dblp","Computer Science","0","https://doi.org/10.1007/978-3-031-41673-6_2","10.1007/978-3-031-41673-6_2","","2026-04-08","",""
"doi:10.1007/978-3-031-41673-6_3","","705535cc9272e98a561d2d39709acdf0f0bf5146","Didal: Distributed Data Library for Development of Parallel Fragmented Programs","Victor Malyshkin","2023","PACT","[abstract unavailable]","dblp","Computer Science","0","https://doi.org/10.1007/978-3-031-41673-6_3","10.1007/978-3-031-41673-6_3","","2026-04-08","",""
"doi:10.1007/978-3-031-41673-6_4","","6934a9fddb841c79d3eab0918f261c8db758c425","Trace Balancing Technique for Trace Playback in LuNA System","Victor Malyshkin","2023","PACT","[abstract unavailable]","dblp","Computer Science","0","https://doi.org/10.1007/978-3-031-41673-6_4","10.1007/978-3-031-41673-6_4","","2026-04-08","",""
"doi:10.1007/978-3-031-41673-6_5","2305.09266","e64d0beeb4c29708388b4cec7c20b0f8f57acddd","Case Study for Running Memory-Bound Kernels on RISC-V CPUs","Valentin Volokitin","2023","PACT","The emergence of a new, open, and free instruction set architecture, RISC-V, has heralded a new era in microprocessor architectures. Starting with low-power, low-performance prototypes, the RISC-V community has a good chance of moving towards fully functional high-end microprocessors suitable for high-performance computing. Achieving progress in this direction requires comprehensive development of the software environment, namely operating systems, compilers, mathematical libraries, and approaches to performance analysis and optimization. In this paper, we analyze the performance of two available RISC-V devices when executing three memory-bound applications: a widely used STREAM benchmark, an in-place dense matrix transposition algorithm, and a Gaussian Blur algorithm. We show that, compared to x86 and ARM CPUs, RISC-V devices are still expected to be inferior in terms of computation time but are very good in resource utilization. We also demonstrate that well-developed memory optimization techniques for x86 CPUs improve the performance on RISC-V CPUs. Overall, the paper shows the potential of RISC-V as an alternative architecture for high-performance computing.","dblp","Computer Science","9","https://doi.org/10.1007/978-3-031-41673-6_5","10.1007/978-3-031-41673-6_5","2023-05-16","2026-04-08","",""
"doi:10.1007/978-3-031-41673-6_6","","d57af5415e8017afff379ee13d57326f8c474081","Pair of Genes: Technical Validation of Distributed Causal Role Attribution to Gene Network Expansion","Diana Dolgaleva","2023","PACT","[abstract unavailable]","dblp","Computer Science","0","https://doi.org/10.1007/978-3-031-41673-6_6","10.1007/978-3-031-41673-6_6","","2026-04-08","",""
"doi:10.1007/978-3-031-41673-6_7","","304f1694339c7362e935798a8687e700f24c6123","HiTViSc: High-Throughput Virtual Screening as a Service","Natalia Nikitina","2023","PACT","[abstract unavailable]","dblp","Computer Science","0","https://doi.org/10.1007/978-3-031-41673-6_7","10.1007/978-3-031-41673-6_7","","2026-04-08","",""
"doi:10.1007/978-3-031-41673-6_8","","e7ad355c8850fb4a03893d0958e112aba2507ccc","Expanding the Cellular Automata Topologies Library for Parallel Implementation of Synchronous Cellular Automata","Yuri Medvedev","2023","PACT","[abstract unavailable]","dblp","Computer Science","0","https://doi.org/10.1007/978-3-031-41673-6_8","10.1007/978-3-031-41673-6_8","","2026-04-08","",""
"doi:10.1007/978-3-031-41673-6_9","","","Parallel-Batched Interpolation Search Tree","Vitaly Aksenov","2023","PACT","[abstract unavailable]","dblp","","0","https://doi.org/10.1007/978-3-031-41673-6_9","10.1007/978-3-031-41673-6_9","","2026-04-08","",""
"doi:10.1007/978-3-031-41673-6_10","","92bb7c7680d95c1b9fbbd0e3f75c46827341871e","Parallel Generation and Analysis of Optimal Chordal Ring Networks Using Python Tools on Kunpeng Processors","Oleg G. Monakhov","2023","PACT","[abstract unavailable]","dblp","Computer Science","2","https://doi.org/10.1007/978-3-031-41673-6_10","10.1007/978-3-031-41673-6_10","","2026-04-08","",""
"doi:10.1007/978-3-031-41673-6_11","","9dd17bbf4bd971426f19959419197519d395cdb9","Combinatorial Aspect of Code Restructuring for Virtual Memory Computer Systems Under WS Swapping Strategy","Stepan Vyazigin","2023","PACT","[abstract unavailable]","dblp","Computer Science","0","https://doi.org/10.1007/978-3-031-41673-6_11","10.1007/978-3-031-41673-6_11","","2026-04-08","",""
"doi:10.1007/978-3-031-41673-6_12","","c007ce750626a1181df030e8c0d270790e94f243","Probabilistic Resources Allocation with Group Dependencies in Distributed Computing","Victor V. Toporkov","2023","PACT","[abstract unavailable]","dblp","Computer Science","0","https://doi.org/10.1007/978-3-031-41673-6_12","10.1007/978-3-031-41673-6_12","","2026-04-08","",""
"doi:10.1007/978-3-031-41673-6_13","","10778415ef8faf9ddbfb56c91baa24758c59d9ac","Multicriteria Task Distribution Problem for Resource-Saving Data Processing","Anna Klimenko","2023","PACT","[abstract unavailable]","dblp","Computer Science","2","https://doi.org/10.1007/978-3-031-41673-6_13","10.1007/978-3-031-41673-6_13","","2026-04-08","",""
"doi:10.1007/978-3-031-41673-6_14","","17e2bc27681f2e8a7a7e742dab686f99bc34b879","Scheduling of Workflows with Task Resource Requirements in Cluster Environments","Oleg V. Sukhoroslov","2023","PACT","[abstract unavailable]","dblp","Computer Science","0","https://doi.org/10.1007/978-3-031-41673-6_14","10.1007/978-3-031-41673-6_14","","2026-04-08","",""
"doi:10.1007/978-3-031-41673-6_15","","eb7272fb4c26c0b27fb357c5d8f0ea9d23ffcbfc","Verifying the Correctness of HPC Performance Monitoring Data","Danil Kashin","2023","PACT","[abstract unavailable]","dblp","Computer Science","0","https://doi.org/10.1007/978-3-031-41673-6_15","10.1007/978-3-031-41673-6_15","","2026-04-08","",""
