"paper_id","arxiv_id","s2_paper_id","title","authors","year","venue","abstract","source","categories","citation_count","url","doi","published_date","crawled_date","keep","notes"
"dblp:conf/usenix/LiMJTZG023","","","Bifrost: Analysis and Optimization of Network I/O Tax in Confidential Virtual Machines","Dingji Li","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/LiMJTZG023","","","2026-04-08","",""
"dblp:conf/usenix/MaZFZWFTYZW23","","","SecretFlow-SPU: A Performant and User-Friendly Framework for Privacy-Preserving Machine Learning","Junming Ma","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/MaZFZWFTYZW23","","","2026-04-08","",""
"dblp:conf/usenix/LaddVVFMWS23","","","Portunus: Re-imagining Access Control in Distributed Systems","Watson Ladd","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/LaddVVFMWS23","","","2026-04-08","",""
"dblp:conf/usenix/LaiYWLMSLZYQ00C23","","","GLogS: Interactive Graph Pattern Matching Query At Large Scale","Longbin Lai","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/LaiYWLMSLZYQ00C23","","","2026-04-08","",""
"dblp:conf/usenix/GuiL0023","","","Cyclosa: Redundancy-Free Graph Pattern Mining via Set Dataflow","Chuangyi Gui","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/GuiL0023","","","2026-04-08","",""
"dblp:conf/usenix/00130HTZF023","","","SOWalker: An I/O-Optimized Out-of-Core Graph Processing System for Second-Order Random Walks","Yutong Wu","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/00130HTZF023","","","2026-04-08","",""
"dblp:conf/usenix/QiuPXHWZL023","","","Light-Dedup: A Light-weight Inline Deduplication Framework for Non-Volatile Memory File Systems","Jiansheng Qiu","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/QiuPXHWZL023","","","2026-04-08","",""
"dblp:conf/usenix/OhLJYBWCY23","","","TiDedup: A New Distributed Deduplication Architecture for Ceph","Myoungwon Oh","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/OhLJYBWCY23","","","2026-04-08","",""
"dblp:conf/usenix/Zhang00JQ023","","","LoopDelta: Embedding Locality-aware Opportunistic Delta Compression in Inline Deduplication for Highly Efficient Data Reduction","Yucheng Zhang","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/Zhang00JQ023","","","2026-04-08","",""
"dblp:conf/usenix/WangFWHD23","","","TC-GNN: Bridging Sparse GNN Computation and Dense Tensor Cores on GPUs","Yuke Wang","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/WangFWHD23","","","2026-04-08","",""
"dblp:conf/usenix/SunSSSWWZLYZW23","","","Legion: Automatically Pushing the Envelope of Multi-GPU System for Billion-Scale GNN Training","Jie Sun","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/SunSSSWWZLYZW23","","","2026-04-08","",""
"dblp:conf/usenix/ShenYSWLTS0Y0ZZ23","","","Bridging the Gap between Relational OLTP and Graph-based OLAP","Sijie Shen","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/ShenYSWLTS0Y0ZZ23","","","2026-04-08","",""
"dblp:conf/usenix/RubambizaCRAMW23","","","Comosum: An Extensible, Reconfigurable, and Fault-Tolerant IoT Platform for Digital Agriculture","Gloire Rubambiza","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/RubambizaCRAMW23","","","2026-04-08","",""
"dblp:conf/usenix/BartolomeoYBHMO23","","","Oakestra: A Lightweight Hierarchical Orchestration Framework for Edge Computing","Giovanni Bartolomeo","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/BartolomeoYBHMO23","","","2026-04-08","",""
"dblp:conf/usenix/ShanCW23","","","Explore Data Placement Algorithm for Balanced Recovery Load Distribution","Yingdi Shan","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/ShanCW23","","","2026-04-08","",""
"dblp:conf/usenix/HeinlothWS23","","","Luci: Loader-based Dynamic Software Updates for Off-the-shelf Shared Objects","Bernhard Heinloth","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/HeinlothWS23","","","2026-04-08","",""
"dblp:conf/usenix/Tollner0ORL23","","","MELF: Multivariant Executables for a Heterogeneous World","Dominik Töllner","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/Tollner0ORL23","","","2026-04-08","",""
"dblp:conf/usenix/000123","","","APRON: Authenticated and Progressive System Image Renovation","Sangho Lee","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/000123","","","2026-04-08","",""
"dblp:conf/usenix/YasukataTAI23","","","zpoline: a system call hook mechanism based on binary rewriting","Kenichi Yasukata","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/YasukataTAI23","","","2026-04-08","",""
"dblp:conf/usenix/SongUEJC23","","","Sponge: Fast Reactive Scaling for Stream Processing with Serverless Frameworks","Won Wook Song","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/SongUEJC23","","","2026-04-08","",""
"dblp:conf/usenix/BrookerDGP23","","","On-demand Container Loading in AWS Lambda","Marc Brooker","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/BrookerDGP23","","","2026-04-08","",""
"dblp:conf/usenix/ArutyunyanBBDDE23","","","Decentralized and Stateful Serverless Computing on the Internet Computer Blockchain","Maksym Arutyunyan","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/ArutyunyanBBDDE23","","","2026-04-08","",""
"dblp:conf/usenix/HaoHWWZWZ23","","","Pinolo: Detecting Logical Bugs in Database Management Systems with Approximate Query Synthesis","Zongyin Hao","2023","USENIX-ATC","[abstract unavailable]","dblp","","0","https://dblp.org/rec/conf/usenix/HaoHWWZWZ23","","","2026-04-08","",""
